year,cls,service,n,p10,p25,median,p75,p90
2013-14,LB,adult_social_care,32,224.75,246.61,273.24,309.67,327.02
2013-14,LB,central,32,19.99,39.04,50.83,64.31,101.32
2013-14,LB,children_social_care,32,109.89,127.55,160.63,197.09,237.54
2013-14,LB,cultural,32,33.99,39.77,46.76,56.54,64.15
2013-14,LB,development_control,32,-0.21,1.78,3.53,5.70,8.63
2013-14,LB,education,32,553.17,625.17,741.44,978.11,1058.15
2013-14,LB,environmental_regulatory,32,50.92,64.38,88.07,104.94,129.83
2013-14,LB,fire_rescue,32,0.00,0.00,0.00,0.00,0.00
2013-14,LB,highways_transport,32,3.82,32.39,44.68,54.37,62.72
2013-14,LB,housing_gfra,32,30.77,43.58,60.53,91.22,108.58
2013-14,LB,libraries,32,13.29,15.10,18.27,22.87,26.58
2013-14,LB,other,32,-0.28,0.00,0.00,0.92,4.29
2013-14,LB,planning_development,32,7.40,12.02,19.56,31.91,37.34
2013-14,LB,police,32,0.00,0.00,0.00,0.00,0.00
2013-14,LB,public_health,32,36.12,38.81,60.24,79.70,110.20
2013-14,LB,recycling,32,0.00,3.40,10.44,14.64,24.03
2013-14,LB,refuse_and_recycling,32,16.86,23.40,27.70,36.12,44.38
2013-14,LB,street_cleansing,32,10.86,14.51,18.83,30.71,45.94
2013-14,LB,total_service_expenditure,32,1261.94,1304.46,1601.42,1864.67,2031.75
2013-14,LB,waste_collection,32,9.30,12.17,16.70,20.54,29.36
2013-14,LB,waste_disposal,32,0.00,1.08,9.33,32.28,42.99
2013-14,MD,adult_social_care,36,231.19,240.67,268.16,293.87,325.90
2013-14,MD,central,36,24.54,35.20,56.32,79.92,102.51
2013-14,MD,children_social_care,36,116.93,127.07,142.60,162.46,185.03
2013-14,MD,cultural,36,41.74,47.61,57.87,65.53,76.70
2013-14,MD,development_control,36,0.20,0.60,1.40,3.04,3.49
2013-14,MD,education,36,609.31,689.12,758.09,828.41,893.65
2013-14,MD,environmental_regulatory,36,41.76,54.52,67.11,83.02,90.70
2013-14,MD,fire_rescue,36,0.00,0.00,0.00,0.00,0.00
2013-14,MD,highways_transport,36,21.95,29.58,33.95,40.53,55.07
2013-14,MD,housing_gfra,36,15.79,23.03,34.42,39.59,55.88
2013-14,MD,libraries,36,10.84,13.62,15.81,17.94,21.27
2013-14,MD,other,36,-4.41,0.00,0.85,10.10,32.74
2013-14,MD,planning_development,36,7.67,15.08,21.14,26.87,44.93
2013-14,MD,police,36,0.00,0.00,0.00,0.00,0.00
2013-14,MD,public_health,36,43.66,51.95,60.10,68.82,74.88
2013-14,MD,recycling,36,0.00,0.74,8.34,13.07,15.69
2013-14,MD,refuse_and_recycling,36,17.56,20.89,24.95,27.89,35.80
2013-14,MD,street_cleansing,36,6.98,8.58,10.95,14.81,22.73
2013-14,MD,total_service_expenditure,36,1321.66,1448.10,1514.80,1611.31,1723.10
2013-14,MD,waste_collection,36,9.99,11.99,15.74,21.30,27.96
2013-14,MD,waste_disposal,36,0.00,0.00,19.18,30.32,37.82
2013-14,SC,adult_social_care,27,229.65,244.01,273.07,286.78,301.90
2013-14,SC,central,27,3.92,9.72,13.91,18.11,25.90
2013-14,SC,children_social_care,27,78.75,87.56,104.44,107.81,116.46
2013-14,SC,cultural,27,13.64,16.25,18.22,23.05,24.86
2013-14,SC,development_control,27,0.00,0.44,0.77,1.10,1.36
2013-14,SC,education,27,468.30,513.11,594.47,629.53,669.83
2013-14,SC,environmental_regulatory,27,35.38,39.91,49.11,52.32,58.81
