authority,ons_code,cls,population_mid2024,imd_avg_score,csc_net_per_head_real2425,csc_gross_per_head,csc_income_share_of_gross,asc_net_per_head_real2425,asc_gross_per_head,asc_income_share_of_gross,lib_net_per_head_real2425,lib_gross_per_head,lib_income_share_of_gross,lib_net_negative
Barking & Dagenham,E09000002,LB,234866.0,32.77,342.88,383.6,0.106,342.35,515.82,0.336,3.35,4.04,0.173,False
Barnet,E09000003,LB,406198.0,16.15,247.79,263.75,0.061,423.79,528.41,0.198,13.54,13.42,-0.009,False
Bexley,E09000004,LB,256288.0,16.27,248.19,253.44,0.021,330.11,489.95,0.326,10.91,11.97,0.088,False
Brent,E09000005,LB,355398.0,25.56,248.75,268.94,0.075,376.76,495.04,0.239,10.14,10.8,0.061,False
Bromley,E09000006,LB,334641.0,14.16,256.94,275.22,0.066,366.45,524.34,0.301,17.82,17.99,0.009,False
Camden,E09000007,LB,220558.0,20.13,418.06,456.81,0.085,581.27,827.88,0.298,31.13,43.06,0.277,False
Croydon,E09000008,LB,408636.0,22.48,340.67,372.43,0.085,421.78,562.72,0.25,8.36,8.58,0.025,False
Ealing,E09000009,LB,387680.0,22.71,233.7,275.9,0.153,314.09,463.86,0.323,8.87,9.66,0.082,False
Enfield,E09000010,LB,331421.0,25.78,253.94,265.98,0.045,390.1,571.34,0.317,6.03,11.3,0.467,False
Greenwich,E09000011,LB,301259.0,24.46,326.94,377.8,0.135,421.94,599.37,0.296,17.24,18.67,0.076,False
Hackney,E09000012,LB,268651.0,32.53,361.15,379.42,0.048,528.83,685.66,0.229,25.65,26.43,0.03,False
Hammersmith & Fulham,E09000013,LB,190803.0,22.27,309.99,354.19,0.125,508.6,650.48,0.218,16.45,18.49,0.11,False
Haringey,E09000014,LB,268524.0,27.96,307.07,348.3,0.118,488.95,633.61,0.228,17.39,18.42,0.056,False
Harrow,E09000015,LB,270987.0,15.03,182.91,187.94,0.027,370.13,500.45,0.26,10.35,10.99,0.058,False
Havering,E09000016,LB,277042.0,16.79,254.36,279.03,0.088,376.61,463.43,0.187,9.79,11.45,0.145,False
Hillingdon,E09000017,LB,327886.0,18.22,221.73,236.3,0.062,325.46,457.61,0.289,14.91,15.56,0.042,False
Hounslow,E09000018,LB,300047.0,21.49,255.03,267.35,0.046,369.91,510.82,0.276,12.38,13.7,0.096,False
Islington,E09000019,LB,226183.0,27.54,419.83,513.72,0.183,507.92,751.77,0.324,21.79,25.56,0.147,False
Kensington & Chelsea,E09000020,LB,147255.0,21.53,341.27,410.42,0.169,483.07,693.86,0.304,43.84,46.21,0.051,False
Kingston Upon Thames,E09000021,LB,172964.0,11.38,250.58,250.58,0.0,376.25,499.16,0.246,14.42,15.19,0.05,False
Lambeth,E09000022,LB,318864.0,25.42,383.88,393.25,0.024,456.42,655.79,0.304,13.49,14.58,0.075,False
Lewisham,E09000023,LB,302432.0,26.66,399.48,413.0,0.033,397.24,582.36,0.318,14.19,15.52,0.086,False
Merton,E09000024,LB,220020.0,14.65,232.95,235.62,0.011,341.83,472.13,0.276,15.9,18.73,0.151,False
Newham,E09000025,LB,379479.0,29.58,299.8,321.73,0.068,376.85,499.77,0.246,15.81,17.38,0.09,False
Redbridge,E09000026,LB,323006.0,17.2,223.1,227.09,0.018,330.13,442.32,0.254,10.15,10.15,0.0,False
Richmond upon Thames,E09000027,LB,196975.0,9.42,263.41,270.57,0.026,455.2,608.78,0.252,23.94,24.91,0.039,False
