ecode,ons_code,name,cls,council_tax_requirement,net_revenue_expenditure,ct_share_pct,ct_share_financing_pct,class_percentile,population,ctr_per_head,ct_share_pct_2013_14,ct_share_pp_change_2013_2024,excluded_from_rankings,share_artefact,fin_incomplete
E5039,E09000015,Harrow,LB,162208.0,201667.59,80.4,77.8,93.8,270987.0,598.58,53.6,26.8,False,False,False
E5047,E09000027,Richmond upon Thames,LB,160728.0,200955.0,80.0,83.3,100.0,196975.0,815.98,66.1,13.9,False,False,False
E5043,E09000021,Kingston Upon Thames,LB,124710.0,159806.83,78.0,80.2,96.9,172964.0,721.02,65.2,12.8,False,False,False
E5034,E09000006,Bromley,LB,200016.0,272181.35,73.5,76.9,90.6,334641.0,597.7,66.3,7.2,False,False,False
E5032,E09000004,Bexley,LB,141412.0,200474.0,70.5,70.0,84.4,256288.0,551.77,48.2,22.3,False,False,False
E5044,E09000024,Merton,LB,119569.0,170450.91,70.1,66.3,75.0,220020.0,543.45,50.9,19.2,False,False,False
E5048,E09000029,Sutton,LB,126512.0,182127.0,69.5,68.1,78.1,213672.0,592.09,50.3,19.2,False,False,False
E5040,E09000016,Havering,LB,158023.0,232897.56,67.9,65.7,68.8,277042.0,570.39,52.7,15.2,False,False,False
E5031,E09000003,Barnet,LB,229355.0,342815.55,66.9,71.8,87.5,406198.0,564.64,59.5,7.4,False,False,False
E5035,E09000008,Croydon,LB,259761.0,415166.43,62.6,68.3,81.2,408636.0,635.68,42.7,19.9,False,False,False
E5018,E09000023,Lewisham,LB,141641.0,227209.82,62.3,60.4,56.2,302432.0,468.34,27.6,34.7,False,False,False
E5036,E09000009,Ealing,LB,181825.0,299051.08,60.8,58.1,53.1,387680.0,469.01,38.5,22.3,False,False,False
E5046,E09000026,Redbridge,LB,147724.0,251242.53,58.8,63.7,59.4,323006.0,457.34,43.6,15.2,False,False,False
E5016,E09000020,Kensington & Chelsea,LB,104657.0,181655.0,57.6,65.1,65.6,147255.0,710.72,40.9,16.7,False,False,False
E5037,E09000010,Enfield,LB,164118.0,285892.61,57.4,56.9,50.0,331421.0,495.19,37.4,20.0,False,False,False
E5041,E09000017,Hillingdon,LB,145751.0,254864.88,57.2,63.8,62.5,327886.0,444.52,53.1,4.1,False,False,False
E5042,E09000018,Hounslow,LB,137830.0,264708.0,52.1,66.1,71.9,300047.0,459.36,47.0,5.1,False,False,False
E5049,E09000031,Waltham Forest,LB,138436.0,280383.66,49.4,53.3,46.9,283782.0,487.83,33.4,16.0,False,False,False
E5033,E09000005,Brent,LB,162062.0,332610.0,48.7,49.4,43.8,355398.0,456.0,33.0,15.7,False,False,False
E5014,E09000013,Hammersmith & Fulham,LB,78825.0,172120.0,45.8,42.3,25.0,190803.0,413.12,31.4,14.4,False,False,False
E5038,E09000014,Haringey,LB,133941.0,296760.35,45.1,47.8,37.5,268524.0,498.8,32.6,12.5,False,False,False
E5015,E09000019,Islington,LB,118221.0,265303.57,44.6,42.4,28.1,226183.0,522.68,28.5,16.1,False,False,False
E5011,E09000007,Camden,LB,141131.0,321770.0,43.9,48.1,40.6,220558.0,639.88,29.9,14.0,False,False,False
E5012,E09000011,Greenwich,LB,125556.0,292630.65,42.9,45.6,34.4,301259.0,416.77,25.4,17.5,False,False,False
E5017,E09000022,Lambeth,LB,159592.0,404007.57,39.5,45.5,31.2,318864.0,500.5,25.2,14.3,False,False,False
E5019,E09000028,Southwark,LB,148236.0,379402.55,39.1,40.1,17.2,317058.0,467.54,23.6,15.5,False,False,False
E5030,E09000002,Barking & Dagenham,LB,84097.0,220728.89,38.1,40.2,21.9,234866.0,358.06,30.7,7.4,False,False,False
E5020,E09000030,Tower Hamlets,LB,138168.0,392048.0,35.2,40.1,17.2,336153.0,411.03,23.0,12.2,False,False,False
E5021,E09000032,Wandsworth,LB,71379.0,223615.0,31.9,31.4,6.2,339727.0,210.11,24.4,7.5,False,False,False
E5013,E09000012,Hackney,LB,109338.0,366676.0,29.8,33.7,12.5,268651.0,406.99,19.0,10.8,False,False,False
E5045,E09000025,Newham,LB,110300.0,374883.0,29.4,33.1,9.4,379479.0,290.66,29.7,-0.3,False,False,False
E5022,E09000033,Westminster,LB,69145.0,249018.71,27.8,27.4,3.1,215694.0,320.57,29.2,-1.4,False,False,False
E5010,E09000001,City of London,LB,9015.0,171355.48,5.3,3.3,,15497.0,581.73,2.8,2.5,True,False,False
E4503,E08000022,North Tyneside,MD,125301.0,181587.81,69.0,70.9,100.0,214110.0,585.22,42.2,26.8,False,False,False
