scope,year,n_authorities,ctr_cash_bn,nre_cash_bn,ctr_real_bn,nre_real_bn,settlement_real_bn,ct_share_of_nre_pct,ct_share_of_financing_pct
SD,2013-14,201,1.43,2.45,1.96,3.35,1.82,58.6,51.7
SD,2018-19,201,1.74,2.52,2.2,3.2,1.28,68.9,62.6
SD,2024-25,164,1.87,2.79,1.87,2.79,1.17,67.0,60.2
UA,2013-14,56,4.46,9.48,6.1,12.98,7.42,47.0,45.0
UA,2018-19,56,5.74,9.13,7.29,11.59,4.46,62.9,61.4
UA,2024-25,62,10.2,15.39,10.2,15.39,4.85,66.3,67.5
MD,2013-14,36,3.44,9.62,4.72,13.18,9.13,35.8,34.0
MD,2018-19,36,4.42,9.14,5.61,11.6,6.06,48.3,47.7
MD,2024-25,36,6.07,12.12,6.07,12.12,5.74,50.1,50.6
LB,2013-14,33,2.57,7.04,3.52,9.64,6.4,36.5,35.0
LB,2018-19,33,3.28,6.49,4.16,8.23,4.31,50.5,48.2
LB,2024-25,33,4.5,8.89,4.5,8.89,3.74,50.7,52.5
SC,2013-14,27,7.87,13.51,10.77,18.5,7.99,58.2,57.2
SC,2018-19,27,10.0,13.35,12.69,16.94,4.34,74.9,73.5
SC,2024-25,21,11.53,15.08,11.53,15.08,3.23,76.5,77.8
