scope,year,n_authorities,earmarked_real_bn,unallocated_real_bn,reserves_total_real_bn,nre_real_bn,reserves_pct_of_nre
England (5 principal classes),2013-14,353,17.28,4.84,22.13,57.66,38.4
England (5 principal classes),2018-19,353,19.34,4.48,23.82,51.57,46.2
England (5 principal classes),2024-25,316,20.39,4.24,24.63,54.27,45.4
SD,2013-14,201,2.19,1.21,3.4,3.35,101.6
SD,2018-19,201,3.41,1.16,4.57,3.2,142.9
SD,2024-25,164,3.62,0.91,4.53,2.79,162.3
UA,2013-14,56,3.48,0.95,4.43,12.98,34.1
UA,2018-19,56,3.92,0.88,4.8,11.59,41.4
UA,2024-25,62,4.59,1.06,5.65,15.39,36.7
MD,2013-14,36,3.44,0.87,4.31,13.18,32.7
MD,2018-19,36,3.98,0.78,4.75,11.6,41.0
MD,2024-25,36,3.86,0.78,4.65,12.12,38.3
LB,2013-14,33,3.67,0.88,4.56,9.64,47.2
LB,2018-19,33,3.73,0.75,4.47,8.23,54.3
LB,2024-25,33,3.93,0.63,4.56,8.89,51.3
SC,2013-14,27,4.5,0.93,5.43,18.5,29.3
SC,2018-19,27,4.3,0.92,5.22,16.94,30.8
SC,2024-25,21,4.39,0.86,5.25,15.08,34.8
