service,service_label,ons_code,name,cls,cls_label,real_per_head_2013_14,real_per_head_2024_25,change_pct
libraries,Libraries,E09000002,Barking & Dagenham,LB,London borough,24.35,3.35,-86.3
libraries,Libraries,E09000010,Enfield,LB,London borough,28.62,6.03,-78.9
libraries,Libraries,E06000039,Slough UA,UA,Unitary,22.63,4.84,-78.6
libraries,Libraries,E08000024,Sunderland,MD,Met district,18.68,4.24,-77.3
libraries,Libraries,E06000052,Cornwall UA,UA,Unitary,15.9,3.75,-76.4
libraries,Libraries,E06000012,North East Lincolnshire UA,UA,Unitary,29.46,8.72,-70.4
libraries,Libraries,E06000003,Redcar & Cleveland UA,UA,Unitary,26.19,8.27,-68.4
libraries,Libraries,E08000028,Sandwell,MD,Met district,22.07,7.11,-67.8
libraries,Libraries,E08000002,Bury MBC,MD,Met district,22.24,7.49,-66.3
libraries,Libraries,E06000021,Stoke-on-Trent UA,UA,Unitary,20.31,7.12,-64.9
libraries,Libraries,E10000028,Staffordshire CC,SC,Shire county,21.43,7.73,-63.9
libraries,Libraries,E06000040,Windsor & Maidenhead UA,UA,Unitary,23.96,8.98,-62.5
libraries,Libraries,E08000032,Bradford,MD,Met district,22.23,8.47,-61.9
libraries,Libraries,E09000022,Lambeth,LB,London borough,34.64,13.49,-61.1
libraries,Libraries,E10000018,Leicestershire CC,SC,Shire county,16.15,6.37,-60.6
libraries,Libraries,E09000029,Sutton,LB,London borough,27.17,10.71,-60.6
libraries,Libraries,E06000007,Warrington UA,UA,Unitary,18.21,7.23,-60.3
libraries,Libraries,E09000004,Bexley,LB,London borough,27.37,10.91,-60.1
libraries,Libraries,E09000018,Hounslow,LB,London borough,30.96,12.38,-60.0
libraries,Libraries,E10000019,Lincolnshire CC,SC,Shire county,19.86,7.99,-59.8
libraries,Libraries,E06000051,Shropshire UA,UA,Unitary,19.73,7.96,-59.7
libraries,Libraries,E06000041,Wokingham UA,UA,Unitary,16.62,6.73,-59.5
libraries,Libraries,E06000042,Milton Keynes UA,UA,Unitary,14.66,5.95,-59.4
libraries,Libraries,E08000037,Gateshead,MD,Met district,24.4,9.93,-59.3
libraries,Libraries,E06000030,Swindon UA,UA,Unitary,23.2,9.43,-59.3
libraries,Libraries,E10000007,Derbyshire CC,SC,Shire county,21.8,8.95,-58.9
libraries,Libraries,E10000030,Surrey CC,SC,Shire county,20.8,8.73,-58.0
libraries,Libraries,E06000016,Leicester City UA,UA,Unitary,15.21,6.44,-57.7
libraries,Libraries,E09000023,Lewisham,LB,London borough,33.45,14.19,-57.6
libraries,Libraries,E06000045,Southampton UA,UA,Unitary,28.47,12.33,-56.7
libraries,Libraries,E08000012,Liverpool,MD,Met district,40.39,17.64,-56.3
libraries,Libraries,E09000026,Redbridge,LB,London borough,23.0,10.15,-55.9
libraries,Libraries,E06000057,Northumberland UA,UA,Unitary,18.47,8.17,-55.8
libraries,Libraries,E06000015,Derby City UA,UA,Unitary,15.57,6.9,-55.7
libraries,Libraries,E08000030,Walsall,MD,Met district,26.43,12.06,-54.4
libraries,Libraries,E06000055,Bedford UA,UA,Unitary,19.02,8.85,-53.5
libraries,Libraries,E09000016,Havering,LB,London borough,21.06,9.79,-53.5
libraries,Libraries,E08000034,Kirklees,MD,Met district,26.34,12.32,-53.2
libraries,Libraries,E09000009,Ealing,LB,London borough,18.9,8.87,-53.1
libraries,Libraries,E08000026,Coventry,MD,Met district,21.68,10.3,-52.5
libraries,Libraries,E08000025,Birmingham,MD,Met district,30.14,14.56,-51.7
libraries,Libraries,E09000005,Brent,LB,London borough,20.91,10.14,-51.5
libraries,Libraries,E08000009,Trafford,MD,Met district,22.36,10.86,-51.4
libraries,Libraries,E10000034,Worcestershire CC,SC,Shire county,26.97,13.33,-50.6
libraries,Libraries,E10000014,Hampshire CC,SC,Shire county,17.32,8.56,-50.6
libraries,Libraries,E06000020,Telford & the Wrekin UA,UA,Unitary,15.05,7.43,-50.6
libraries,Libraries,E06000027,Torbay UA,UA,Unitary,21.07,10.48,-50.2
libraries,Libraries,E06000001,Hartlepool UA,UA,Unitary,22.34,11.17,-50.0
libraries,Libraries,E10000008,Devon CC,SC,Shire county,15.93,8.01,-49.7
libraries,Libraries,E08000005,Rochdale,MD,Met district,17.66,8.91,-49.6
libraries,Libraries,E06000004,Stockton-on-Tees UA,UA,Unitary,21.94,11.07,-49.5
libraries,Libraries,E08000013,St Helens MBC,MD,Met district,21.58,10.97,-49.2
libraries,Libraries,E09000019,Islington,LB,London borough,42.39,21.79,-48.6
libraries,Libraries,E09000017,Hillingdon,LB,London borough,28.83,14.91,-48.3
libraries,Libraries,E08000021,Newcastle,MD,Met district,40.79,21.34,-47.7
