cls,cls_label,year,n_authorities,asc_share_pct,csc_share_pct,care_share_pct,residual_civic_share_pct,care_share_pct_of_reported_tse,tse_excl_fire_police_real_per_head,care_real_per_head,residual_civic_real_per_head
SD,Shire district,2013-14,201,0.4,0.0,0.4,99.6,0.4,169.45,0.66,168.8
SC,Shire county,2013-14,27,23.6,8.7,32.3,67.7,31.9,1568.18,506.1,1062.08
UA,Unitary,2013-14,56,19.4,9.7,29.1,70.9,29.0,1893.67,551.62,1342.05
MD,Met district,2013-14,36,17.6,9.6,27.2,72.8,27.2,2096.17,570.76,1525.41
LB,London borough,2013-14,33,16.8,10.2,27.0,73.0,26.8,2240.98,604.53,1636.45
SD,Shire district,2018-19,201,0.4,0.1,0.5,99.5,0.5,153.69,0.72,152.97
SC,Shire county,2018-19,27,25.9,12.5,38.4,61.6,37.9,1409.79,541.24,868.55
UA,Unitary,2018-19,56,23.2,13.3,36.5,63.5,36.4,1641.88,598.62,1043.26
MD,Met district,2018-19,36,19.6,13.3,32.9,67.1,32.9,1813.14,596.4,1216.74
LB,London borough,2018-19,33,17.8,13.1,30.9,69.1,30.7,1968.71,608.49,1360.22
SD,Shire district,2024-25,164,0.4,0.1,0.6,99.4,0.6,167.32,0.94,166.38
SC,Shire county,2024-25,21,27.6,14.1,41.6,58.4,41.1,1551.71,645.69,906.03
UA,Unitary,2024-25,62,24.9,15.6,40.5,59.5,40.4,1769.37,716.31,1053.06
MD,Met district,2024-25,36,22.5,16.0,38.5,61.5,38.5,1966.11,756.12,1209.99
LB,London borough,2024-25,33,19.2,13.5,32.7,67.3,32.4,2117.22,692.98,1424.24
