cls,cls_label,service,service_label,year,real_per_head,n_authorities,caveat
LB,London borough,adult_social_care,Adult social care,2013-14,376.6,33,
LB,London borough,adult_social_care,Adult social care,2018-19,350.97,33,
LB,London borough,adult_social_care,Adult social care,2024-25,406.83,33,
LB,London borough,central,Central services,2013-14,79.3,33,
LB,London borough,central,Central services,2018-19,62.15,33,
LB,London borough,central,Central services,2024-25,91.21,33,
LB,London borough,children_social_care,Children's social care,2013-14,227.93,33,
LB,London borough,children_social_care,Children's social care,2018-19,257.52,33,
LB,London borough,children_social_care,Children's social care,2024-25,286.15,33,
LB,London borough,cultural,Culture & heritage,2013-14,71.89,33,
LB,London borough,cultural,Culture & heritage,2018-19,48.07,33,
LB,London borough,cultural,Culture & heritage,2024-25,47.38,33,
LB,London borough,education,Education,2013-14,1100.44,33,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
LB,London borough,education,Education,2018-19,932.68,33,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
LB,London borough,education,Education,2024-25,922.63,33,"academisation moved schools off LA books over this period - NOT a cut, do not quote as one"
LB,London borough,environmental_regulatory,Environmental & regulatory,2013-14,127.4,33,
LB,London borough,environmental_regulatory,Environmental & regulatory,2018-19,100.6,33,
LB,London borough,environmental_regulatory,Environmental & regulatory,2024-25,109.06,33,
LB,London borough,highways_transport,Highways & transport,2013-14,50.94,33,
LB,London borough,highways_transport,Highways & transport,2018-19,19.15,33,
LB,London borough,highways_transport,Highways & transport,2024-25,-7.63,33,
LB,London borough,housing_gfra,Housing (GFRA),2013-14,93.3,33,
LB,London borough,housing_gfra,Housing (GFRA),2018-19,81.91,33,
LB,London borough,housing_gfra,Housing (GFRA),2024-25,142.5,33,
LB,London borough,libraries,Libraries,2013-14,27.24,33,
LB,London borough,libraries,Libraries,2018-19,19.57,33,
LB,London borough,libraries,Libraries,2024-25,16.29,33,
LB,London borough,planning_development,Planning & development,2013-14,29.23,33,
LB,London borough,planning_development,Planning & development,2018-19,20.65,33,
