series,imd_decile_2019,decile_label,lsoas_in_stratum,monitored_overflows,overflows_per_100_lsoas,spills_2025,spill_hours_2025,spills_per_lsoa,hours_per_lsoa,spills_per_overflow
all_england,1,1 most deprived,3284,1267,38.6,22546,83206.6,6.87,25.34,17.8
all_england,2,2,3284,1102,33.6,17816,68071.1,5.43,20.73,16.2
all_england,3,3,3285,1133,34.5,21560,113003.4,6.56,34.4,19.0
all_england,4,4,3284,1456,44.3,32605,208232.9,9.93,63.41,22.4
all_england,5,5,3285,1693,51.5,37394,276186.4,11.38,84.08,22.1
all_england,6,6,3284,1848,56.3,41991,303449.9,12.79,92.4,22.7
all_england,7,7,3284,1869,56.9,38879,280726.8,11.84,85.48,20.8
all_england,8,8,3285,1602,48.8,33253,224031.9,10.12,68.2,20.8
all_england,9,9,3284,1337,40.7,28413,213226.3,8.65,64.93,21.3
all_england,10,10 least deprived,3285,873,26.6,15667,94735.3,4.77,28.84,17.9
urban_only,1,1 most deprived,3230,1223,37.9,21614,78314.0,6.69,24.25,17.7
urban_only,2,2,3146,992,31.5,15828,56263.1,5.03,17.88,16.0
urban_only,3,3,3042,888,29.2,15099,63139.8,4.96,20.76,17.0
urban_only,4,4,2784,820,29.5,12798,48581.2,4.6,17.45,15.6
urban_only,5,5,2550,788,30.9,11959,47782.5,4.69,18.74,15.2
urban_only,6,6,2412,687,28.5,11266,49773.0,4.67,20.64,16.4
urban_only,7,7,2416,823,34.1,13461,65982.6,5.57,27.31,16.4
urban_only,8,8,2492,724,29.1,13439,66792.1,5.39,26.8,18.6
urban_only,9,9,2505,625,25.0,10500,48754.6,4.19,19.46,16.8
urban_only,10,10 least deprived,2669,534,20.0,9104,44597.5,3.41,16.71,17.0
