rank_net,ons_code,ecode,name,cls,class_label,net_gbp_per_head,gross_gbp_per_head,income_gbp_per_head,income_share_of_gross_pct,population,note
1,E09000020,E5016,Kensington & Chelsea,LB,London borough,43.84,46.21,2.36,5.1,147255.0,
2,E09000033,E5022,Westminster,LB,London borough,36.16,39.38,3.22,8.2,215694.0,
3,E09000007,E5011,Camden,LB,London borough,31.13,43.06,11.93,27.7,220558.0,
4,E09000028,E5019,Southwark,LB,London borough,27.94,29.27,1.32,4.5,317058.0,
5,E09000012,E5013,Hackney,LB,London borough,25.65,26.43,0.78,3.0,268651.0,
6,E09000027,E5047,Richmond upon Thames,LB,London borough,23.94,24.91,0.96,3.9,196975.0,
7,E09000030,E5020,Tower Hamlets,LB,London borough,22.3,26.18,3.88,14.8,336153.0,
8,E09000019,E5015,Islington,LB,London borough,21.79,25.56,3.77,14.7,226183.0,
9,E09000006,E5034,Bromley,LB,London borough,17.82,17.99,0.17,0.9,334641.0,
10,E09000014,E5038,Haringey,LB,London borough,17.39,18.42,1.03,5.6,268524.0,
11,E09000011,E5012,Greenwich,LB,London borough,17.24,18.67,1.43,7.6,301259.0,
12,E09000013,E5014,Hammersmith & Fulham,LB,London borough,16.45,18.49,2.03,11.0,190803.0,
13,E09000024,E5044,Merton,LB,London borough,15.9,18.73,2.83,15.1,220020.0,
14,E09000025,E5045,Newham,LB,London borough,15.81,17.38,1.57,9.0,379479.0,
15,E09000017,E5041,Hillingdon,LB,London borough,14.91,15.56,0.65,4.2,327886.0,
16,E09000032,E5021,Wandsworth,LB,London borough,14.89,15.16,0.26,1.7,339727.0,
17,E09000021,E5043,Kingston Upon Thames,LB,London borough,14.42,15.19,0.76,5.0,172964.0,
18,E09000023,E5018,Lewisham,LB,London borough,14.19,15.52,1.33,8.6,302432.0,
19,E09000003,E5031,Barnet,LB,London borough,13.54,13.42,-0.13,-0.9,406198.0,
20,E09000022,E5017,Lambeth,LB,London borough,13.49,14.58,1.09,7.5,318864.0,
21,E09000031,E5049,Waltham Forest,LB,London borough,13.2,15.63,2.43,15.5,283782.0,
22,E09000018,E5042,Hounslow,LB,London borough,12.38,13.7,1.32,9.6,300047.0,
23,E09000004,E5032,Bexley,LB,London borough,10.91,11.97,1.05,8.8,256288.0,
24,E09000029,E5048,Sutton,LB,London borough,10.71,11.75,1.04,8.8,213672.0,
25,E09000015,E5039,Harrow,LB,London borough,10.35,10.99,0.63,5.8,270987.0,
26,E09000026,E5046,Redbridge,LB,London borough,10.15,10.15,0.0,0.0,323006.0,
27,E09000005,E5033,Brent,LB,London borough,10.14,10.8,0.66,6.1,355398.0,
28,E09000016,E5040,Havering,LB,London borough,9.79,11.45,1.66,14.5,277042.0,
29,E09000009,E5036,Ealing,LB,London borough,8.87,9.66,0.79,8.2,387680.0,
30,E09000008,E5035,Croydon,LB,London borough,8.36,8.58,0.21,2.5,408636.0,
31,E09000010,E5037,Enfield,LB,London borough,6.03,11.3,5.27,46.7,331421.0,"CAUTION: income is ~47% of gross - low net is partly a charging/income artefact, not service size."
32,E09000002,E5030,Barking & Dagenham,LB,London borough,3.35,4.04,0.7,17.3,234866.0,
