rank_net,ons_code,ecode,name,cls,class_label,net_gbp_per_head,gross_gbp_per_head,income_gbp_per_head,income_share_of_gross_pct,population,note
1,E08000022,E4503,North Tyneside,MD,Metropolitan district,23.74,26.4,2.67,10.1,214110.0,
2,E08000021,E4502,Newcastle,MD,Metropolitan district,21.34,23.69,2.35,9.9,318852.0,
3,E08000033,E4702,Calderdale,MD,Metropolitan district,19.49,20.34,0.85,4.2,209828.0,
4,E08000004,E4204,Oldham,MD,Metropolitan district,18.72,21.0,2.28,10.8,250725.0,
5,E08000003,E4203,Manchester,MD,Metropolitan district,18.72,23.59,4.88,20.7,588597.0,
6,E08000023,E4504,South Tyneside,MD,Metropolitan district,17.89,21.2,3.31,15.6,150736.0,
7,E08000012,E4302,Liverpool,MD,Metropolitan district,17.64,18.83,1.19,6.3,508202.0,
8,E08000029,E4605,Solihull,MD,Metropolitan district,15.18,16.63,1.45,8.7,220299.0,
9,E08000016,E4401,Barnsley,MD,Metropolitan district,15.02,15.17,0.15,1.0,251325.0,
10,E08000025,E4601,Birmingham,MD,Metropolitan district,14.56,16.12,1.57,9.7,1182920.0,
11,E08000015,E4305,Wirral,MD,Metropolitan district,14.08,14.9,0.82,5.5,328209.0,
12,E08000036,E4705,Wakefield,MD,Metropolitan district,13.93,14.7,0.77,5.2,366925.0,
13,E08000007,E4207,Stockport MBC,MD,Metropolitan district,13.79,14.41,0.61,4.2,302184.0,
14,E08000018,E4403,Rotherham,MD,Metropolitan district,12.9,13.45,0.55,4.1,276332.0,
15,E08000001,E4201,Bolton,MD,Metropolitan district,12.42,14.33,1.91,13.3,308904.0,
16,E08000034,E4703,Kirklees,MD,Metropolitan district,12.32,12.87,0.55,4.3,445780.0,
17,E08000030,E4606,Walsall,MD,Metropolitan district,12.06,12.4,0.34,2.7,294626.0,
18,E08000035,E4704,Leeds,MD,Metropolitan district,11.96,16.85,4.89,29.0,842884.0,
19,E08000027,E4603,Dudley,MD,Metropolitan district,11.95,12.06,0.12,1.0,331239.0,
20,E08000031,E4607,Wolverhampton,MD,Metropolitan district,11.41,13.41,2.0,14.9,280541.0,
21,E08000013,E4303,St Helens MBC,MD,Metropolitan district,10.97,13.84,2.87,20.7,188397.0,
22,E08000017,E4402,Doncaster,MD,Metropolitan district,10.95,12.57,1.62,12.9,320248.0,
23,E08000009,E4209,Trafford,MD,Metropolitan district,10.86,22.13,11.27,50.9,239618.0,CAUTION: income >= 40% of gross - net reflects charging/recharges as much as service size.
24,E08000011,E4301,Knowsley,MD,Metropolitan district,10.52,11.16,0.63,5.7,161714.0,
25,E08000026,E4602,Coventry,MD,Metropolitan district,10.3,10.81,0.51,4.7,368707.0,
26,E08000037,E4501,Gateshead,MD,Metropolitan district,9.93,15.31,5.38,35.1,201422.0,
27,E08000019,E4404,Sheffield,MD,Metropolitan district,9.33,10.99,1.66,15.1,580235.0,
28,E08000008,E4208,Tameside,MD,Metropolitan district,9.11,9.37,0.26,2.8,238895.0,
29,E08000005,E4205,Rochdale,MD,Metropolitan district,8.91,11.42,2.52,22.0,234919.0,
30,E08000032,E4701,Bradford,MD,Metropolitan district,8.47,8.63,0.16,1.8,559818.0,
31,E08000010,E4210,Wigan MBC,MD,Metropolitan district,8.34,8.57,0.22,2.6,344245.0,CAUTION: 2013-14 library line was under 2 pounds/head real (trust/outsourced booking) - booked level may not capture full service cost.
32,E08000002,E4202,Bury MBC,MD,Metropolitan district,7.49,8.39,0.9,10.7,198136.0,
33,E08000014,E4304,Sefton,MD,Metropolitan district,7.41,7.93,0.52,6.5,285298.0,
34,E08000028,E4604,Sandwell,MD,Metropolitan district,7.11,8.71,1.61,18.4,353270.0,
35,E08000006,E4206,Salford,MD,Metropolitan district,6.36,7.79,1.43,18.4,293508.0,
36,E08000024,E4505,Sunderland,MD,Metropolitan district,4.24,4.28,0.04,0.9,286696.0,CAUTION: culture delivered via trust; the library line may understate the library share of the trust grant.
