rank_net,ons_code,ecode,name,cls,class_label,net_gbp_per_head,gross_gbp_per_head,income_gbp_per_head,income_share_of_gross_pct,population,note
1,E10000024,E3021,Nottinghamshire CC,SC,Shire county,15.64,15.71,0.08,0.5,855350.0,
2,E10000012,E1521,Essex CC,SC,Shire county,15.21,16.02,0.81,5.0,1558928.0,
3,E10000015,E1920,Hertfordshire CC,SC,Shire county,14.55,15.37,0.82,5.3,1233983.0,
4,E10000034,E1821,Worcestershire CC,SC,Shire county,13.33,19.31,5.98,31.0,620714.0,
5,E10000025,E3120,Oxfordshire CC,SC,Shire county,13.18,13.94,0.76,5.4,765123.0,
6,E10000017,E2321,Lancashire CC,SC,Shire county,12.71,13.4,0.69,5.2,1292439.0,
7,E10000013,E1620,Gloucestershire CC,SC,Shire county,12.23,13.12,0.89,6.8,668109.0,
8,E10000016,E2221,Kent CC,SC,Shire county,12.04,13.11,1.08,8.2,1639077.0,
9,E10000031,E3720,Warwickshire CC,SC,Shire county,11.18,11.6,0.41,3.5,633002.0,
10,E10000032,E3820,West Sussex CC,SC,Shire county,10.53,11.77,1.24,10.5,914100.0,
11,E10000020,E2620,Norfolk CC,SC,Shire county,10.34,11.48,1.14,9.9,940468.0,
12,E10000029,E3520,Suffolk CC,SC,Shire county,10.34,10.38,0.04,0.4,785501.0,
13,E10000011,E1421,East Sussex CC,SC,Shire county,9.36,10.75,1.39,12.9,560334.0,
14,E10000007,E1021,Derbyshire CC,SC,Shire county,8.95,9.23,0.27,3.0,820913.0,
15,E10000030,E3620,Surrey CC,SC,Shire county,8.73,9.44,0.7,7.5,1247792.0,
16,E10000003,E0521,Cambridgeshire CC,SC,Shire county,8.61,10.35,1.73,16.8,713218.0,
17,E10000014,E1721,Hampshire CC,SC,Shire county,8.56,11.05,2.49,22.5,1445170.0,
18,E10000008,E1121,Devon CC,SC,Shire county,8.01,8.87,0.86,9.7,842043.0,
19,E10000019,E2520,Lincolnshire CC,SC,Shire county,7.99,8.01,0.02,0.3,790533.0,
20,E10000028,E3421,Staffordshire CC,SC,Shire county,7.73,8.6,0.87,10.1,906397.0,
21,E10000018,E2421,Leicestershire CC,SC,Shire county,6.37,7.16,0.79,11.0,744477.0,
