rank_net,ons_code,ecode,name,cls,class_label,net_gbp_per_head,gross_gbp_per_head,income_gbp_per_head,income_share_of_gross_pct,population,note
1,E06000043,E1401,Brighton & Hove UA,UA,Unitary authority,22.34,24.21,1.87,7.7,285063.0,
2,E06000010,E2002,Kingston-upon-Hull UA,UA,Unitary authority,22.03,22.47,0.45,2.0,274727.0,
3,E06000033,E1501,Southend-on-Sea UA,UA,Unitary authority,20.0,22.03,2.03,9.2,184503.0,
4,E06000017,E2402,Rutland UA,UA,Unitary authority,17.66,20.47,2.8,13.7,41382.0,
5,E06000035,E2201,Medway Towns UA,UA,Unitary authority,16.09,16.51,0.42,2.6,291691.0,
6,E06000036,E0301,Bracknell Forest UA,UA,Unitary authority,15.76,16.38,0.62,3.8,130502.0,
7,E06000050,E0604,Cheshire West and Chester UA,UA,Unitary authority,15.19,17.23,2.03,11.8,370951.0,
8,E06000058,E1204,"Bournemouth, Christchurch and Poole UA",UA,Unitary authority,15.08,15.63,0.55,3.5,408009.0,
9,E06000044,E1701,Portsmouth UA,UA,Unitary authority,14.93,17.62,2.69,15.2,212936.0,
10,E06000026,E1101,Plymouth UA,UA,Unitary authority,14.8,16.59,1.79,10.8,271904.0,
11,E06000022,E0101,Bath & North East Somerset UA,UA,Unitary authority,14.12,16.08,1.96,12.2,200539.0,
12,E06000023,E0102,Bristol UA,UA,Unitary authority,14.08,15.08,1.0,6.6,494225.0,
13,E06000014,E2701,York UA,UA,Unitary authority,13.45,13.53,0.09,0.6,208237.0,
14,E06000006,E0601,Halton UA,UA,Unitary authority,13.27,13.99,0.72,5.1,131247.0,
15,E06000002,E0702,Middlesbrough UA,UA,Unitary authority,13.18,14.52,1.34,9.2,154700.0,
16,E06000066,E3301,Somerset,UA,Unitary authority,13.16,15.78,2.63,16.6,588173.0,
17,E06000059,E1203,Dorset UA,UA,Unitary authority,12.39,14.85,2.46,16.6,389341.0,
18,E06000045,E1702,Southampton UA,UA,Unitary authority,12.33,14.03,1.69,12.1,260604.0,
19,E06000018,E3001,Nottingham City UA,UA,Unitary authority,12.33,13.37,1.04,7.8,330561.0,
20,E06000054,E3902,Wiltshire UA,UA,Unitary authority,12.29,12.87,0.59,4.6,524001.0,
21,E06000047,E1302,Durham UA,UA,Unitary authority,11.92,13.02,1.11,8.5,536793.0,
22,E06000034,E1502,Thurrock UA,UA,Unitary authority,11.91,13.39,1.48,11.0,181287.0,
23,E06000049,E0603,Cheshire East UA,UA,Unitary authority,11.84,12.79,0.95,7.4,420472.0,
24,E06000005,E1301,Darlington UA,UA,Unitary authority,11.78,12.11,0.33,2.7,112150.0,
25,E06000008,E2301,Blackburn with Darwen UA,UA,Unitary authority,11.68,12.52,0.85,6.8,161618.0,
26,E06000064,E0902,Westmorland and Furness,UA,Unitary authority,11.53,11.96,0.44,3.6,229821.0,
27,E06000001,E0701,Hartlepool UA,UA,Unitary authority,11.17,12.71,1.54,12.1,97868.0,
