ons_code,name,cls,class_label,value,note
E09000002,Barking & Dagenham,LB,London borough,3.35,
E09000003,Barnet,LB,London borough,13.54,
E09000004,Bexley,LB,London borough,10.91,
E09000005,Brent,LB,London borough,10.14,
E09000006,Bromley,LB,London borough,17.82,
E09000007,Camden,LB,London borough,31.13,
E09000001,City of London,LB,London borough,351.36,Excluded from rankings project-wide (structurally unrepresentative per-head base).
E09000008,Croydon,LB,London borough,8.36,
E09000009,Ealing,LB,London borough,8.87,
E09000010,Enfield,LB,London borough,6.03,"CAUTION: income is ~47% of gross - low net is partly a charging/income artefact, not service size."
E09000011,Greenwich,LB,London borough,17.24,
E09000012,Hackney,LB,London borough,25.65,
E09000013,Hammersmith & Fulham,LB,London borough,16.45,
E09000014,Haringey,LB,London borough,17.39,
E09000015,Harrow,LB,London borough,10.35,
E09000016,Havering,LB,London borough,9.79,
E09000017,Hillingdon,LB,London borough,14.91,
E09000018,Hounslow,LB,London borough,12.38,
E09000019,Islington,LB,London borough,21.79,
E09000020,Kensington & Chelsea,LB,London borough,43.84,
E09000021,Kingston Upon Thames,LB,London borough,14.42,
E09000022,Lambeth,LB,London borough,13.49,
E09000023,Lewisham,LB,London borough,14.19,
E09000024,Merton,LB,London borough,15.9,
E09000025,Newham,LB,London borough,15.81,
E09000026,Redbridge,LB,London borough,10.15,
E09000027,Richmond upon Thames,LB,London borough,23.94,
E09000028,Southwark,LB,London borough,27.94,
E09000029,Sutton,LB,London borough,10.71,
E09000030,Tower Hamlets,LB,London borough,22.3,
E09000031,Waltham Forest,LB,London borough,13.2,
E09000032,Wandsworth,LB,London borough,14.89,
E09000033,Westminster,LB,London borough,36.16,
E08000016,Barnsley,MD,Metropolitan district,15.02,
E08000025,Birmingham,MD,Metropolitan district,14.56,
E08000001,Bolton,MD,Metropolitan district,12.42,
E08000032,Bradford,MD,Metropolitan district,8.47,
E08000002,Bury MBC,MD,Metropolitan district,7.49,
E08000033,Calderdale,MD,Metropolitan district,19.49,
E08000026,Coventry,MD,Metropolitan district,10.3,
E08000017,Doncaster,MD,Metropolitan district,10.95,
E08000027,Dudley,MD,Metropolitan district,11.95,
E08000037,Gateshead,MD,Metropolitan district,9.93,
E08000034,Kirklees,MD,Metropolitan district,12.32,
E08000011,Knowsley,MD,Metropolitan district,10.52,
E08000035,Leeds,MD,Metropolitan district,11.96,
E08000012,Liverpool,MD,Metropolitan district,17.64,
E08000003,Manchester,MD,Metropolitan district,18.72,
E08000021,Newcastle,MD,Metropolitan district,21.34,
E08000022,North Tyneside,MD,Metropolitan district,23.74,
E08000004,Oldham,MD,Metropolitan district,18.72,
E08000005,Rochdale,MD,Metropolitan district,8.91,
E08000018,Rotherham,MD,Metropolitan district,12.9,
E08000006,Salford,MD,Metropolitan district,6.36,
E08000028,Sandwell,MD,Metropolitan district,7.11,
E08000014,Sefton,MD,Metropolitan district,7.41,
E08000019,Sheffield,MD,Metropolitan district,9.33,
E08000029,Solihull,MD,Metropolitan district,15.18,
E08000023,South Tyneside,MD,Metropolitan district,17.89,
E08000013,St Helens MBC,MD,Metropolitan district,10.97,
E08000007,Stockport MBC,MD,Metropolitan district,13.79,
E08000024,Sunderland,MD,Metropolitan district,4.24,CAUTION: culture delivered via trust; the library line may understate the library share of the trust grant.
E08000008,Tameside,MD,Metropolitan district,9.11,
E08000009,Trafford,MD,Metropolitan district,10.86,CAUTION: income >= 40% of gross - net reflects charging/recharges as much as service size.
E08000036,Wakefield,MD,Metropolitan district,13.93,
E08000030,Walsall,MD,Metropolitan district,12.06,
E08000010,Wigan MBC,MD,Metropolitan district,8.34,CAUTION: 2013-14 library line was under 2 pounds/head real (trust/outsourced booking) - booked level may not capture full service cost.
E08000015,Wirral,MD,Metropolitan district,14.08,
E08000031,Wolverhampton,MD,Metropolitan district,11.41,
E10000003,Cambridgeshire CC,SC,Shire county,8.61,
E10000007,Derbyshire CC,SC,Shire county,8.95,
E10000008,Devon CC,SC,Shire county,8.01,
