ons_code,name,cls,class_label,real_2013_14,real_2018_19,real_2024_25,change_pct,note
E09000002,Barking & Dagenham,LB,London borough,24.35,6.18,3.35,-86.3,
E09000010,Enfield,LB,London borough,28.62,12.95,6.03,-78.9,"CAUTION: income is ~47% of gross - low net is partly a charging/income artefact, not service size."
E06000039,Slough UA,UA,Unitary authority,22.63,19.42,4.84,-78.6,
E08000024,Sunderland,MD,Metropolitan district,18.68,5.91,4.24,-77.3,CAUTION: culture delivered via trust; the library line may understate the library share of the trust grant.
E06000052,Cornwall UA,UA,Unitary authority,15.9,6.32,3.75,-76.4,
E06000012,North East Lincolnshire UA,UA,Unitary authority,29.46,12.06,8.72,-70.4,
E06000003,Redcar & Cleveland UA,UA,Unitary authority,26.19,14.1,8.27,-68.4,
E08000028,Sandwell,MD,Metropolitan district,22.07,15.76,7.11,-67.8,
E08000002,Bury MBC,MD,Metropolitan district,22.24,,7.49,-66.3,
E06000021,Stoke-on-Trent UA,UA,Unitary authority,20.31,12.35,7.12,-64.9,
E10000028,Staffordshire CC,SC,Shire county,21.43,,7.73,-63.9,
E06000040,Windsor & Maidenhead UA,UA,Unitary authority,23.96,27.83,8.98,-62.5,
E08000032,Bradford,MD,Metropolitan district,22.23,9.79,8.47,-61.9,
E09000022,Lambeth,LB,London borough,34.64,15.0,13.49,-61.1,
E09000029,Sutton,LB,London borough,27.17,18.73,10.71,-60.6,
E10000018,Leicestershire CC,SC,Shire county,16.15,,6.37,-60.6,
E06000007,Warrington UA,UA,Unitary authority,18.21,15.46,7.23,-60.3,
E09000004,Bexley,LB,London borough,27.37,20.97,10.91,-60.1,
E09000018,Hounslow,LB,London borough,30.96,21.91,12.38,-60.0,
E10000019,Lincolnshire CC,SC,Shire county,19.86,,7.99,-59.8,
E06000051,Shropshire UA,UA,Unitary authority,19.73,14.14,7.96,-59.7,
E06000041,Wokingham UA,UA,Unitary authority,16.62,9.69,6.73,-59.5,
E06000042,Milton Keynes UA,UA,Unitary authority,14.66,8.94,5.95,-59.4,
E06000030,Swindon UA,UA,Unitary authority,23.2,12.86,9.43,-59.3,
E08000037,Gateshead,MD,Metropolitan district,24.4,10.52,9.93,-59.3,
E10000007,Derbyshire CC,SC,Shire county,21.8,,8.95,-58.9,
E10000030,Surrey CC,SC,Shire county,20.8,,8.73,-58.0,
E06000016,Leicester City UA,UA,Unitary authority,15.21,4.86,6.44,-57.7,
E09000023,Lewisham,LB,London borough,33.45,14.72,14.19,-57.6,
E06000045,Southampton UA,UA,Unitary authority,28.47,14.69,12.33,-56.7,
E08000012,Liverpool,MD,Metropolitan district,40.39,29.15,17.64,-56.3,
E09000026,Redbridge,LB,London borough,23.0,11.32,10.15,-55.9,
E06000057,Northumberland UA,UA,Unitary authority,18.47,6.16,8.17,-55.8,
E06000015,Derby City UA,UA,Unitary authority,15.57,14.23,6.9,-55.7,
E08000030,Walsall,MD,Metropolitan district,26.43,12.79,12.06,-54.4,
E09000016,Havering,LB,London borough,21.06,13.36,9.79,-53.5,
E06000055,Bedford UA,UA,Unitary authority,19.02,14.33,8.85,-53.5,
E08000034,Kirklees,MD,Metropolitan district,26.34,17.64,12.32,-53.2,
E09000009,Ealing,LB,London borough,18.9,10.57,8.87,-53.1,
E08000026,Coventry,MD,Metropolitan district,21.68,11.26,10.3,-52.5,
E08000025,Birmingham,MD,Metropolitan district,30.14,16.05,14.56,-51.7,
E09000005,Brent,LB,London borough,20.91,17.09,10.14,-51.5,
E08000009,Trafford,MD,Metropolitan district,22.36,15.68,10.86,-51.4,
