company,overflows_england,spills_england_2025,hours_england_2025,share_of_england_hours_pct,overflows_seaside_league,spills_seaside_league,hours_seaside_league,share_of_seaside_hours_pct,overflows_coastal_5km_lsoa,spills_coastal_5km_lsoa,hours_coastal_5km_lsoa,share_of_coastal_5km_hours_pct
South West Water,1357,46164,407005.8,21.8,379,11957,96592.8,42.3,679,18791,141190.3,42.0
United Utilities,2270,60843,327452.4,17.6,239,8307,50279.9,22.0,392,11834,75219.0,22.4
Yorkshire Water,2174,51393,285585.6,15.3,1,7,41.5,0.0,100,2411,13502.2,4.0
Severn Trent Water,2431,36471,200361.4,10.7,0,0,0.0,0.0,19,691,5089.8,1.5
Wessex Water,1316,24147,187517.1,10.1,95,1279,8960.6,3.9,242,3396,14933.1,4.4
Northumbrian Water,1525,26895,119444.8,6.4,433,6833,28660.5,12.5,425,7850,33968.4,10.1
Southern Water,975,15554,114868.0,6.2,335,5187,37041.1,16.2,452,5586,31291.2,9.3
Thames Water,574,9118,106898.2,5.7,0,0,0.0,0.0,52,271,617.9,0.2
Anglian Water,1438,16779,101598.3,5.4,178,1745,5763.8,2.5,292,3827,11826.7,3.5
Dwr Cymru Welsh Water,120,2760,14139.0,0.8,12,193,1097.2,0.5,74,1754,8811.8,2.6
