rank,town,council_class,lon,lat,centroid_to_coast_km,overflows_within_10km,overflows_that_spilled,spills_2025,hours_2025
1,Plymouth,UA,-4.113,50.4049,2.59,163,151,4913,33274.8
2,Cumberland,UA,-3.3082,54.6858,11.43,39,38,2705,21276.1
3,East Devon,SD,-3.2236,50.7576,8.99,43,36,1461,16507.5
4,South Hams,SD,-3.82,50.372,10.12,30,25,1365,16425.7
5,South Tyneside,MD,-1.4469,54.9699,1.04,179,145,3358,13327.6
6,Torbay,UA,-3.5552,50.4709,1.49,101,88,2118,13223.1
7,North Tyneside,MD,-1.509,55.029,4.7,181,148,3179,12463.4
8,Wirral,MD,-3.067,53.3748,4.05,98,85,2323,11294.6
9,Torridge,SD,-4.2173,50.9074,11.67,28,26,1417,10657.6
10,Arun,SD,-0.65,50.8432,6.54,22,20,663,7688.7
11,Lancaster,SD,-2.6603,54.079,10.03,34,32,1148,7572.3
12,Sefton,MD,-2.9918,53.4821,3.58,56,51,1507,7046.5
13,Cornwall,UA,-4.6425,50.4502,11.78,14,14,683,6504.1
14,Sunderland,MD,-1.4337,54.8571,5.63,142,116,1819,6407.6
15,Hartlepool,UA,-1.2702,54.6761,4.6,49,44,939,5806.2
16,Isle of Wight,UA,-1.3337,50.6713,6.51,36,33,809,5490.1
17,Rother,SD,0.5429,50.9487,10.57,27,24,705,4742.3
18,Gosport,SD,-1.1673,50.8064,2.1,78,62,853,4466.8
19,Wyre,SD,-2.8036,53.8999,6.42,15,14,741,4023.3
20,Somerset,UA,-3.296,51.0718,11.96,20,19,457,4000.5
21,North Somerset,UA,-2.7544,51.3971,8.54,30,25,511,3990.8
22,Redcar & Cleveland,UA,-1.0066,54.5675,2.84,55,46,864,3932.3
23,Fylde,SD,-2.9191,53.7971,6.28,37,30,948,3846.1
24,Lewes,SD,0.0077,50.8334,5.28,17,11,383,3655.6
25,Hastings,SD,0.5784,50.8672,1.22,35,30,552,3471.7
26,Portsmouth,UA,-1.0701,50.808,2.2,69,50,612,3012.9
27,New Forest,SD,-1.5929,50.8575,9.23,11,10,279,2600.2
28,Blackpool,UA,-3.022,53.8216,2.15,28,21,612,2158.2
29,North East Lincolnshire,UA,-0.1391,53.5233,8.0,20,19,391,1766.9
30,Havant,SD,-1.004,50.8723,2.32,34,26,266,1400.4
31,Eastbourne,SD,0.2585,50.7739,2.73,24,18,364,1387.3
32,Brighton & Hove,UA,-0.1508,50.8465,3.65,10,6,150,1292.7
33,Castle Point,SD,0.5881,51.5616,2.38,68,54,346,1279.8
34,Worthing,SD,-0.4013,50.8331,1.98,19,11,183,1085.1
35,Adur,SD,-0.3242,50.8457,2.5,23,14,203,1021.2
36,"Bournemouth, Christchurch and Poole",UA,-1.8481,50.7461,3.68,45,32,311,969.2
37,Tendring,SD,1.109,51.8567,4.85,36,28,316,955.6
38,East Suffolk,SD,1.4562,52.2442,11.78,19,18,249,732.8
39,Folkestone & Hythe,SD,1.0008,51.0722,3.81,5,4,127,676.9
40,Southend-on-Sea,UA,0.7069,51.5492,2.26,59,44,351,566.5
41,Great Yarmouth,SD,1.6495,52.6844,4.38,9,6,178,526.8
42,Swale,SD,0.7769,51.3225,3.59,21,15,146,363.7
43,King's Lynn & West Norfolk,SD,0.5332,52.7129,10.24,6,6,41,152.4
44,Canterbury,SD,1.0963,51.281,9.79,10,8,42,137.6
45,Thanet,SD,1.3282,51.3525,3.77,12,10,51,96.1
46,Dover,SD,1.2769,51.2118,8.73,10,10,59,88.3
