town,council_class,overflows_within_10km,overflows_that_spilled,spills_2025,hours_2025,worst_site_name,worst_site_company,worst_site_spills,worst_site_hours,worst_site_km_from_centroid,caveat
Plymouth,UA,163,151,4913,33274.8,GRATTON WASTEWATER TREATMENT WORKS,South West Water,143,2484.5,8.79,
Cumberland,UA,39,38,2705,21276.1,BLENNERHASSET WW PUMPING STATION,United Utilities,172,2508.4,8.52,"large unitary; centroid circle covers the Workington/Maryport coast, not St Bees or Silloth"
East Devon,SD,43,36,1461,16507.5,SALCOMBE REGIS WWTW CSO,South West Water,235,5446.1,7.71,
South Hams,SD,30,25,1365,16425.7,HARBERTONFORD WWTW,South West Water,120,2494.4,8.68,
South Tyneside,MD,179,145,3358,13327.6,GLASSHOUSE STREET PS,Northumbrian Water,128,1353.5,8.37,
Torbay,UA,101,88,2118,13223.1,ILSHAM VALLEY PUMPING STATION,South West Water,104,1314.0,5.3,
North Tyneside,MD,181,148,3179,12463.4,GLASSHOUSE STREET PS,Northumbrian Water,128,1353.5,8.34,
Wirral,MD,98,85,2323,11294.6,BROMBOROUGH WWTW,United Utilities,122,1426.4,5.74,
Torridge,SD,28,26,1417,10657.6,SHEEPWASH WWTW,South West Water,139,1518.5,9.4,
Arun,SD,22,20,663,7688.7,LAVANT WWTW,Southern Water,166,3582.9,8.99,
Lancaster,SD,34,32,1148,7572.3,OVER KELLET WWTW,United Utilities,134,2402.0,7.42,
Sefton,MD,56,51,1507,7046.5,BIRKENHEAD WWTW BIRKE,United Utilities,105,1272.5,9.44,"10 km circle crosses the Mersey: includes Birkenhead WWTW (Wirral bank), ~9.4 km from the Sefton centroid - centroid-radius crudeness, disclosed"
Cornwall,UA,14,14,683,6504.1,ST NEOT STW,South West Water,167,2031.2,6.83,"one vast unitary; centroid sits mid-county - this row measures the centroid circle, not Newquay/St Ives/Penzance"
Sunderland,MD,142,116,1819,6407.6,SEDGELETCH STW,Northumbrian Water,44,526.2,4.47,
Hartlepool,UA,49,44,939,5806.2,GRAYTHORP STW,Northumbrian Water,94,1348.6,7.16,
Isle of Wight,UA,36,33,809,5490.1,BRIGHSTONE WWTW,Southern Water,48,692.6,6.11,
Rother,SD,27,24,705,4742.3,WESTFIELD WWTW,Southern Water,64,843.5,5.43,
Gosport,SD,78,62,853,4466.8,WICKHAM WWTW,Southern Water,59,1040.1,9.88,
Wyre,SD,15,14,741,4023.3,GARSTANG STW,United Utilities,53,732.8,2.48,
Somerset,UA,20,19,457,4000.5,WIVELISCOMBE (STYLE) STW,Wessex Water,75,810.6,2.88,"unitary centroid sits near Taunton, inland; this row mostly counts inland overflows, not Minehead/Burnham-on-Sea"
North Somerset,UA,30,25,511,3990.8,UBLEY WATER RECYCLING CENTRE,Wessex Water,50,945.9,9.5,
Redcar & Cleveland,UA,55,46,864,3932.3,MOORSHOLM SEWAGE TREATMENT WORKS,Northumbrian Water,113,586.8,6.18,
Fylde,SD,37,30,948,3846.1,NAZE LANE PUMPING STATION,United Utilities,77,803.1,7.31,
Lewes,SD,17,11,383,3655.6,HAM LANE LEWES SETTLES STORM TANK,Southern Water,155,2485.2,3.59,
Hastings,SD,35,30,552,3471.7,WESTFIELD WWTW,Southern Water,64,843.5,4.7,
Portsmouth,UA,69,50,612,3012.9,BUDDS FARM WWTW,Southern Water,52,628.4,8.18,
New Forest,SD,11,10,279,2600.2,LYNDHURST WASTEWATER TREATMENT WORK,Southern Water,60,609.4,3.24,
Blackpool,UA,28,21,612,2158.2,ANCHORSHOLME PS,United Utilities,49,611.7,6.92,
North East Lincolnshire,UA,20,19,391,1766.9,GRIMSBY PYEWIPE WRC AND TPS,Anglian Water,155,505.8,9.82,
Havant,SD,34,26,266,1400.4,HAMBLEDON PS,Southern Water,36,328.5,4.7,
Eastbourne,SD,24,18,364,1387.3,WILLINGDON CEO,Southern Water,52,241.1,4.35,
Brighton & Hove,UA,10,6,150,1292.7,DITCHLING WWTW,Southern Water,85,1140.9,9.2,
Castle Point,SD,68,54,346,1279.8,WICKFORD WATER RECYCLING CENTRE,Anglian Water,15,231.5,6.61,
Worthing,SD,19,11,183,1085.1,LITTLEHAMPTON WWPS,Southern Water,97,748.4,9.96,
Adur,SD,23,14,203,1021.2,SMALL DOLE WWTW,Southern Water,37,367.8,8.03,
"Bournemouth, Christchurch and Poole",UA,45,32,311,969.2,WIMBORNE WATER RECYCLING CENTRE,Wessex Water,22,165.3,9.78,
Tendring,SD,36,28,316,955.6,CLACTON (HOLLAND HAVEN) WRC,Anglian Water,58,262.0,9.82,
East Suffolk,SD,19,18,249,732.8,LEISTON VALLEY ROAD WRC,Anglian Water,16,214.1,9.64,"large district; centroid sits inland near Saxmundham - Lowestoft, Felixstowe and Southwold are outside or at the edge of the circle"
Folkestone & Hythe,SD,5,4,127,676.9,WEST HYTHE WWTW,Southern Water,90,541.8,5.6,
Southend-on-Sea,UA,59,44,351,566.5,SOUTHEND SEWAGE WORKS,Anglian Water,94,236.7,5.72,
Great Yarmouth,SD,9,6,178,526.8,CAISTER- HEADWORKS PS,Anglian Water,73,376.8,9.86,
Swale,SD,21,15,146,363.7,QUEENBOROUGH WWTW,Southern Water,18,107.6,8.59,
King's Lynn & West Norfolk,SD,6,6,41,152.4,GRIMSTON WATER RECYCLING CENTRE,Anglian Water,9,99.5,5.18,
Canterbury,SD,10,8,42,137.6,WESTBERE WWTW,Southern Water,7,45.0,4.99,
Thanet,SD,12,10,51,96.1,BULWARKS SEWAGE PUMPING STATION,Southern Water,20,48.0,8.76,
Dover,SD,10,10,59,88.3,BULWARKS SEWAGE PUMPING STATION,Southern Water,20,48.0,8.52,
