group,supplier_raw,publisher,expense_type_class,year,txns,gbp
Indesser/iDS,INDESSER,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2015,4,217461.0
Indesser/iDS,INDESSER,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2016,20,979182.0
Indesser/iDS,INDESSER,Department for Work and Pensions,CONTRACTED OUT OFFICE SERVICES,2017,15,761212.0
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,2017,10,547619.0
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,2017,2,87705.0
Indesser/iDS,INDESSER,Department for Work and Pensions,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,2017,2,108635.0
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,2018,27,1840623.27
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,2018,17,669427.89
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING NETWORKS,2018,2,74520.0
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,2019,3,202282.0
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,2019,21,1003315.0
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - CONTRACTED OUT OFFICE,2020,2,78579.0
Indesser/iDS,INDESSER,Department for Work and Pensions,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,2020,30,1633588.0
