pattern,expense_type,publisher,txns,gbp,n_suppliers,top_suppliers
ENFORCEMENT,Law Enforcement & Safety Equipment,Home Office,340,47620596.38,46,AIRWAVE SOLUTIONS LTD=8836348.34; TNT UK LTD=8714396.02; ASSOCIATED BRITISH PORTS=8441073.37; MINISTRY OF DEFENCE=3833375.98; SHRED STATION LTD=3392466.93
ENFORCEMENT,Law Enforcement & safety Equipment,Home Office,126,13749291.68,31,ASSOCIATED BRITISH PORTS=4226122.34; TNT UK LTD=2903024.22; MINISTRY OF DEFENCE=1278037.01; UNIVERSAL SECURITY SYSTEMS LTD=1099905.18; GATWICK AIRPORT LTD=1028973.6
ENFORCEMENT,"Law Enforcement & safety Equip.Haulage, Storage & Disp (HSD)",Home Office,74,11057809.23,5,ASSOCIATED BRITISH PORTS=6027340.49; TNT UK LTD=3864951.38; THAMESDOWN RECYCLING=827607.93; G4S CASH SERVICES (UK) LIMITED=269319.97; NOVUS ENVIRONMENTAL=68589.46
ENFORCEMENT,Law Enforcement & safety Equip.Surveillance & Det Equip- PROG,Home Office,111,7944992.04,5,HM REVENUE & CUSTOMS=3481340.0; AIRWAVE SOLUTIONS LTD=2563800.03; ARQIVA LTD=726008.22; FR AVIATION LTD=635953.48; GATWICK AIRPORT LTD=537890.31
ENFORCEMENT,Defense & Law Enforcement.Police Liaison Officers,Home Office,116,7111851.98,32,THE METROPOLITAN POLICE=2722769.23; WEST YORKSHIRE POLICE AUTHORITY=672765.12; SOUTH YORKSHIRE POLICE=444739.8; WEST MIDLANDS POLICE=376794.87; GREATER MANCHESTER POLICE=329091.31
ENFORCEMENT,OPS CFC DEBT ENFORCEMENT,Department for Work and Pensions,28,4104163.27,2,INDESSER=4104153.0; DA LANGUAGES LTD=10.27
ENFORCEMENT,Enforcement & Removals Vehicle & Conversion Costs,Home Office,51,3557397.14,2,DRIVE VAUXHALL=2430721.94; MERCEDES BENZ RETAIL CORPORATE SALES=1126675.2
ENFORCEMENT,Law Enforcement & safety Equip.Maint&Rep of Plant&Mach–PROG,Home Office,33,2308566.63,9,MORPHO UK LTD=801671.46; SERCO  LTD=552387.14; SECURITY SERVICES GROUP=401184.64; UNIVERSAL SECURITY SYSTEMS LTD=241726.78; QINETIQ LIMITED=148587.0
ENFORCEMENT,Law Enforcement & safety Equip.Security & Control Equip- PROG,Home Office,29,1902561.35,7,HM REVENUE & CUSTOMS=749999.88; CT CENTRE (MOD) T/A DSTL=705000.0; SAIC LIMITED=138926.85; AMERICAN SCIENCE & ENGINEERING INC=133276.74; HAMPSHIRE CONSTABULARY=85095.0
ENFORCEMENT,Defense & Law Enforcement,Home Office,31,1400110.17,17,S MACNEILLIE & SON LTD=357477.16; BRITISH TRANSPORT POLICE=156905.0; MAYORS OFFICE FOR POLICING AND CRIME (MOPC)=131140.12; WEST MIDLANDS OFFICE FOR POLICING & CRIME=117500.0; POLICE & CRIME COMMISSIONER FOR SOUTH YORKSHIRE=90125.47
ENFORCEMENT,"Law Enforcement & safety Equip.Haulage, Storage & Disp",Home Office,6,1111912.99,4,TNT UK LTD=764320.1; ASSOCIATED BRITISH PORTS=274234.39; THAMESDOWN RECYCLING=46459.44; G4S CASH SERVICES (UK) LIMITED=26899.06
ENFORCEMENT,Law Enforcement & safety Equip.Security & Control Equipment,Home Office,2,1085578.08,2,MINISTRY OF DEFENCE=1052927.28; STANSTED AIRPORT LTD=32650.8
ENFORCEMENT,Enforcement,"Department for Science, Innovation and Technology",2,996245.0,1,Department For Business And Trade (Dbt)=996245.0
ENFORCEMENT,Law Enforcement & safety Equip.Surveillance & Detection equipment,Home Office,4,813503.77,3,FR AVIATION LTD=391259.08; ARQIVA LTD=226688.69; HM REVENUE & CUSTOMS=195556.0
ENFORCEMENT,"Defence, Law Enforcement & Safety Equipment",Home Office,8,695411.66,5,ASSOCIATED BRITISH PORTS=285787.96; TNT UK LTD=264942.17; SHRED STATION LTD=69509.7; POLICE & CRIME COMMISSIONER FOR CLEVELAND=40000.0; G4S CASH SOLUTIONS (UK) LTD=35171.83
ENFORCEMENT,Law Enforcement & safety Equip,Home Office,11,671739.95,6,ASSOCIATED BRITISH PORTS=274234.39; SECURITY SERVICES GROUP=148238.74; SEPURA LTD=126672.0; UNIVERSAL SECURITY SYSTEMS LTD=62906.28; G4S CASH SERVICES (UK) LIMITED=32079.42
ENFORCEMENT,Law Enforcement & safety Equip.Surveillance & Detection equip,Home Office,2,668376.76,2,FR AVIATION LTD=391259.08; AIRWAVE SOLUTIONS LTD=277117.68
ENFORCEMENT,"Law Enforcement & safety Equip.Haulage, Storage & Disposal",Home Office,5,654509.67,4,TNT UK LTD=530916.14; THAMESDOWN RECYCLING=66849.5; NOVUS ENVIRONMENTAL=28653.55; G4S CASH SERVICES (UK) LIMITED=28090.48
