pattern,supplier_raw,publisher,txns,gbp,first,last,expense_types_sample
MARSTON,Marston Vale Middle School,Department for Education,196,12282385.82,2013-01,2022-03,"Grants expenditure,Grants Expenditure,Grants"
MARSTON,New Marston Primary School,Department for Education,60,5233793.95,2017-02,2022-03,"Grants expenditure,Grants Expenditure,Grants"
MARSTON,Marston Green Infant Academy,Department for Education,58,4520845.44,2016-12,2022-03,"Grants expenditure,Grants Expenditure,Grants"
MARSTON,MARSTON GROUP,Ministry of Justice,47,3375276.68,2010-05,2013-06,"130001-Other Income,111620-Bailiff Fees (NOS),610200-Debtors < 1 Year - VAT,223000-Other Expenditure"
MARSTON,MARSTON VALE MIDDLE SCHOOL,Department for Education,17,2258720.8,2012-07,2018-01,"Current Grants,Grants"
MARSTON,South Marston Church of England Primary School,Department for Education,51,1497215.05,2017-01,2022-03,"Grants expenditure,Grants Expenditure,Grants"
MARSTON,Marston Green Infant Academy Trust,Department for Education,50,1152668.03,2014-04,2015-02,Grants
MARSTON,MARSTON GREEN INFANT SCHOOL,Department for Education,4,387917.0,2014-01,2015-03,Grants
MARSTON,J Marston Engineers Ltd t/a Mortuary Solutions,Bristol City Council,2,310540.71,2024-04,2026-03,New Construction
MARSTON,MARSTON HOTELS LIMITED,Ministry of Defence,5,185798.32,2014-04,2014-09,"Transportation of personnel, freight and travel expenses"
MARSTON,MARSTON & GRUNDY LLP,Transport for Greater Manchester,39,163293.82,2011-04,2017-06,"Capital Costs - Capital Project Main Contract Works,Maintenance,Property & Equipment Maintenance,Capital Costs - Engineering Support Services,Capital Costs - Quantity Surveying Services,Capital Costs - Project Support Services,Capital Costs - Contract Administration Services,Metrolink Maintenance & "
MARSTON,MARSTON GROUP LTD,Department for Work and Pensions,8,155484.0,2012-11,2016-12,"BAILIFF OTHER,BAILIFF COMMISSION"
MARSTON,HS MARSTON AEROSPACE LTD,Ministry of Defence,3,152982.35,2010-11,2010-12,Purchase of inventory and services
