firm,supplier_raw,publisher,expense_type,year,txns,gbp,n_negative,gbp_negative,min_amt,max_amt
Marston,MARSTON GROUP,Ministry of Justice,130001-Other Income,,7,499573.1,0,0.0,25081.56,102225.34
Marston,MARSTON GROUP,Ministry of Justice,130001-Other Income,2010,12,809889.02,0,0.0,27031.89,99446.0
Marston,MARSTON GROUP,Ministry of Justice,610200-Debtors < 1 Year - VAT,2011,15,1196143.39,0,0.0,5258.0,142994.38
Marston,MARSTON GROUP,Ministry of Justice,130001-Other Income,2011,5,376920.23,0,0.0,25414.46,134383.99
Marston,MARSTON GROUP,Ministry of Justice,111620-Bailiff Fees (NOS),2011,4,328684.61,0,0.0,64048.54,106077.69
Marston,MARSTON GROUP,Ministry of Justice,610200-Debtors < 1 Year - VAT,2012,2,164066.33,0,0.0,71523.0,92543.33
Marston,MARSTON GROUP,Ministry of Justice,223000-Other Expenditure,2013,2,0.0,1,-239169.24,-239169.24,239169.24
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF OTHER,2012,1,22000.0,0,0.0,22000.0,22000.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF OTHER,2013,1,27395.0,0,0.0,27395.0,27395.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF COMMISSION,2014,1,21093.0,0,0.0,21093.0,21093.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF COMMISSION,2015,3,30396.0,0,0.0,0.0,23434.0
Marston,MARSTON GROUP LTD,Department for Work and Pensions,BAILIFF COMMISSION,2016,2,54600.0,0,0.0,26033.0,28567.0
Marston,MARSTON GROUP LIMITED,Royal Borough of Greenwich,Services Joint Authorities,2014,8,16919.7,0,0.0,1144.0,2803.03
Marston,MARSTON GROUP LIMITED,Royal Borough of Greenwich,Services Private Contractor,2014,4,0.0,2,-17088.44,-13548.44,13548.44
Marston,MARSTON GROUP LIMITED,Royal Borough of Greenwich,Services Private Contractor,2015,16,13151.97,8,-65759.86,-12358.3,14829.96
