firm,tier,flag,payer,supplier_raw,year,txns,gross_outflow_gbp,gross_inflow_gbp,net_gbp
Marston,debt_enforcement,,Ministry of Justice,MARSTON GROUP,,7,499573.1,0.0,499573.1
Marston,debt_enforcement,,Ministry of Justice,MARSTON GROUP,2010,12,809889.02,0.0,809889.02
Marston,debt_enforcement,,Ministry of Justice,MARSTON GROUP,2011,24,1901748.23,0.0,1901748.23
Marston,debt_enforcement,,Ministry of Justice,MARSTON GROUP,2012,2,164066.33,0.0,164066.33
Marston,debt_enforcement,,Ministry of Justice,MARSTON GROUP,2013,2,239169.24,-239169.24,0.0
Marston,debt_enforcement,,Department for Work and Pensions,MARSTON GROUP LTD,2012,1,22000.0,0.0,22000.0
Marston,debt_enforcement,,Department for Work and Pensions,MARSTON GROUP LTD,2013,1,27395.0,0.0,27395.0
Marston,debt_enforcement,,Department for Work and Pensions,MARSTON GROUP LTD,2014,1,21093.0,0.0,21093.0
Marston,debt_enforcement,,Department for Work and Pensions,MARSTON GROUP LTD,2015,3,30396.0,0.0,30396.0
Marston,debt_enforcement,,Department for Work and Pensions,MARSTON GROUP LTD,2016,2,54600.0,0.0,54600.0
Marston,debt_enforcement,,Royal Borough of Greenwich,MARSTON GROUP LIMITED,2014,12,34008.14,-17088.44,16919.7
Marston,debt_enforcement,,Royal Borough of Greenwich,MARSTON GROUP LIMITED,2015,24,125129.93,-104274.94,20854.99
Marston,debt_enforcement,,Royal Borough of Greenwich,MARSTON GROUP LIMITED,2016,28,152638.4,-125618.23,27020.17
Marston,debt_enforcement,,Royal Borough of Greenwich,MARSTON GROUP LIMITED,2017,13,111638.79,-92252.31,19386.48
Marston,debt_enforcement,,Bristol City Council,Marston (Holdings) Limited,2020,2,2525.34,-2525.34,0.0
Marston,debt_enforcement,,Bristol City Council,Marston (Holdings) Limited,2022,34,195873.97,-195873.97,0.0
Marston,debt_enforcement,,Bristol City Council,Marston (Holdings) Limited,2023,16,68906.79,-68906.79,0.0
Marston,debt_enforcement,,Bristol City Council,Marston (Holdings) Limited,2024,118,1117627.58,-1114559.82,3067.76
Marston,debt_enforcement,,Bristol City Council,Marston (Holdings) Limited,2025,121,409922.23,-368627.63,41294.6
Marston,debt_enforcement,,Bristol City Council,Marston (Holdings) Limited,2026,66,182250.41,-182250.41,0.0
Marston,debt_enforcement,,Bristol City Council,Marston Group Limited,2020,16,670030.92,-660073.37,9957.55
Marston,debt_enforcement,,Bristol City Council,Marston Group Limited,2022,6,96361.29,-96361.29,0.0
Marston,debt_enforcement,,Bristol City Council,Marston Group Limited,2023,22,817637.02,-817637.02,0.0
Marston,debt_enforcement,,Bristol City Council,Marston Group Limited,2024,18,3844655.98,-3844655.98,0.0
Marston,debt_enforcement,,Bristol City Council,Marston Group Limited,2026,4,267607.47,-267607.47,0.0
Marston,debt_enforcement,refund_row,Rushmoor Borough Council,Marston Group Ltd,2016,1,582.0,0.0,582.0
Marston,debt_enforcement,,North Yorkshire Council,MARSTON GROUP LTD,2025,2,27991.75,-27991.75,0.0
Marston,debt_enforcement,,North Yorkshire Council,MARSTON GROUP LTD,2026,8,93450.12,-93450.12,0.0
Marston,debt_enforcement,,"Department for Environment, Food and Rural Affairs",MARSTON GROUP LTD,2012,1,582.3,0.0,582.3
