publisher,supplier_raw,date,year_month,amount,expense_type,expense_area,source_file
North Yorkshire Council,BRISTOW & SUTOR,2025-10-17,2025-10,4084.59,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,1759cfb1830f033e71d54fb2d3596523cfd9a011.bin
North Yorkshire Council,BRISTOW & SUTOR,2025-10-17,2025-10,-4084.59,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,1759cfb1830f033e71d54fb2d3596523cfd9a011.bin
North Yorkshire Council,BRISTOW & SUTOR,2025-11-07,2025-11,2624.81,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,1759cfb1830f033e71d54fb2d3596523cfd9a011.bin
North Yorkshire Council,BRISTOW & SUTOR,2025-11-07,2025-11,-2624.81,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,1759cfb1830f033e71d54fb2d3596523cfd9a011.bin
North Yorkshire Council,BRISTOW & SUTOR,2025-11-28,2025-11,3232.96,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,1759cfb1830f033e71d54fb2d3596523cfd9a011.bin
North Yorkshire Council,BRISTOW & SUTOR,2025-11-28,2025-11,-3232.96,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,1759cfb1830f033e71d54fb2d3596523cfd9a011.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-01,2026-04,-3602.12,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-01,2026-04,3602.12,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-01,2026-04,403.84,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-01,2026-04,372.77,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-01,2026-04,-372.77,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-10,2026-04,2927.27,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-10,2026-04,-2927.27,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-29,2026-04,2752.42,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-04-29,2026-04,-2752.42,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-05-22,2026-05,3978.55,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-05-22,2026-05,-3978.55,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
North Yorkshire Council,BRISTOW & SUTOR,2026-05-29,2026-05,-4129.54,201600 Financial Services > Debt Collection & Recovery,Resources Directorate and Central Services - Revenue,e5e140c591fd8c09c35f0b8232ff5890332735b3.bin
