finding,publisher,supplier_raw,amount,date,expense_type,expense_area,source_file,dataset_title,source_url
panto_expenditure,Rushmoor Borough Council,Hopkins Associates Ltd,30003.0,2026-01-02,Panto Expenditure,Community,cdae0c2f520da078eae579dd7104d7c352802312.bin,Rushmoor £250 Spend,https://data.rushmoor.gov.uk/Datasets/Open/Spend/RushmoorSpend250_2026-01.csv
panto_expenditure,Rushmoor Borough Council,Evolution Productions (Plays) Ltd,13762.5,2019-10-17,Panto Expenditure,Community,74d1186a994a9319979fbcefdc39e5831666d236.bin,Rushmoor £250 Spend,https://data.rushmoor.gov.uk/Datasets/Open/Spend/RushmoorSpend250_2019-10.csv
panto_expenditure,Rushmoor Borough Council,Attle Costumiers Ltd,12941.63,2024-01-25,Panto Expenditure,Community,df1e0c2a6a12f6b4faea7daf595c1a8e597ff0ff.bin,Rushmoor £250 Spend,https://data.rushmoor.gov.uk/Datasets/Open/Spend/RushmoorSpend250_2024-01.csv
flag_flying,"Department for Digital, Culture, Media and Sport",Brophy Grounds Maintenance Ltd,26189.48,2011-04-13,Flag Flying,State Ceremonials Prog Costs,5429e6df9de094f5be6611413134ef693c4a945c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70611/DCMS_spend_data_over_25k_2011_121.csv
flag_flying,"Department for Digital, Culture, Media and Sport",Brophy Grounds Maintenance Ltd,30246.68,2011-08-01,Flag Flying,State Ceremonials Prog Costs,5429e6df9de094f5be6611413134ef693c4a945c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70611/DCMS_spend_data_over_25k_2011_121.csv
flag_flying,"Department for Digital, Culture, Media and Sport",Brophy Grounds Maintenance Ltd,24235.18,2011-08-01,Flag Flying,State Ceremonials Prog Costs,5429e6df9de094f5be6611413134ef693c4a945c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70611/DCMS_spend_data_over_25k_2011_121.csv
flag_flying,"Department for Digital, Culture, Media and Sport",Brophy Grounds Maintenance Ltd,25305.61,2011-09-02,Flag Flying,State Ceremonials Prog Costs,5429e6df9de094f5be6611413134ef693c4a945c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70611/DCMS_spend_data_over_25k_2011_121.csv
flag_flying,"Department for Digital, Culture, Media and Sport",Brophy Grounds Maintenance Ltd,21661.71,2011-10-20,Flag Flying,State Ceremonials Prog Costs,5429e6df9de094f5be6611413134ef693c4a945c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70611/DCMS_spend_data_over_25k_2011_121.csv
flag_flying,"Department for Digital, Culture, Media and Sport",Brophy Grounds Maintenance Ltd,26381.63,2012-01-18,Flag Flying,State Ceremonials Prog Costs,5429e6df9de094f5be6611413134ef693c4a945c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70611/DCMS_spend_data_over_25k_2011_121.csv
flag_flying,"Department for Digital, Culture, Media and Sport",The Flag Consultancy Ltd,56500.0,2011-05-10,Flag Flying,State Ceremonials Prog Costs,5429e6df9de094f5be6611413134ef693c4a945c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/70611/DCMS_spend_data_over_25k_2011_121.csv
flag_flying,"Department for Digital, Culture, Media and Sport",Piggotts Co Ltd,56667.27,2012-11-21,Flag Flying,State Ceremonials Prog Costs,203e7f74a31ef2ce3bed6237cdaa50e3a42c0f5c.bin,Spend over £25k: DCMS,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/246652/DCMS_2012-13_payments_over_25k.csv
trump_golf_card,Foreign and Commonwealth Office,TRUMP INTERNATIONAL GO,2360.0,2013-08-19,Public Golf Courses,,b2126ddd08d0de64021c88744b68099a41e452a9.bin,Government Procurement Card spend over £500,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/246293/Aug_2013_GPC_PU_BLE_VERSION.csv
trump_golf_card,Foreign and Commonwealth Office,TRUMP INTERNATIONAL GO,4545.0,2013-08-19,Public Golf Courses,,b2126ddd08d0de64021c88744b68099a41e452a9.bin,Government Procurement Card spend over £500,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/246293/Aug_2013_GPC_PU_BLE_VERSION.csv
trump_golf_card,Foreign and Commonwealth Office,TRUMP INTERNATIONAL GO,-4545.0,2013-09-16,Public Golf Courses,,39978e0a09a4d44715e6d0933b28335946ec3d24.bin,Government Procurement Card spend over £500,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/255540/Sept_GPC-_Publishable_csv.csv
wig_and_toupee,Foreign and Commonwealth Office,JAOKEN,634.16,2015-02-24,WIG AND TOUPEE SHOPS,,38b67b067459f4488f0ea404523becf2fdbf1772.bin,Government Procurement Card spend over £500,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/667093/February_2015_GPC_report_TU.csv
fortune_tellers_tivoli,"Foreign, Commonwealth and Development Office (FCDO)",D PRODUCCIONES,1149.19,2022-06-18,"AMUSEMENT PARKS,CARNIVALS,CIRCUS,FORTUNE TELLERS",,b658116de288c9b7aa4ed02bba0d01d589a59819.bin,"Foreign, Commonwealth and Development Office: Government procurement card spending over £500",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1101448/FCDO-GPC-_500-June-22.csv
