bucket,expense_area,n_txn,gbp_total,n_publishers,a_publisher
horse,1 HORSEGUARDS ROAD,10,20933644.34,1,Cabinet Office
honours,AWC BOSCOMBE DOWN MIL BUSINESS,1,913.54,1,Ministry of Defence
honours,AWC BOSCOMBE DOWN QQ BUSINESS,4,11917.44,1,Ministry of Defence
allotment,Allotments,1,3594.0,1,South Gloucestershire Council
animal,BCMS (British Cattle Movement Scheme),3,232273.13,1,"Department for Environment, Food and Rural Affairs"
horse,"Blackhorse Lane Primary, Emersons Green",1,2145.0,1,South Gloucestershire Council
horse,Blackhorse RAC,27,22449.33,1,South Gloucestershire Council
animal,British Cattle Movement,2,210059.61,1,"Department for Environment, Food and Rural Affairs"
animal,British Cattle Movement Services,6,330347.6,1,"Department for Environment, Food and Rural Affairs"
remembrancer,CAP : Kingswood Remembrance Park,2,3401.5,1,South Gloucestershire Council
mayor,CF Lord Mayors Stroke Fund,1,18105.75,1,Portsmouth Hospital NHS Trust
bunting_flags,CG- Green flags,3,402714.0,1,"Ministry of Housing, Communities and Local Government"
honours,CIO CSD FLSM NORTH EAST YORKS & HUMBERSIDE,122,17665.45,1,Department for Work and Pensions
honours,CPA12 YORKS AND HUMBER EOS WORKS LTD FORMERLY FOURSTAR,3150,9577079.33,1,Department for Work and Pensions
swan,CRC Swanswell Point,4,219938.72,1,Coventry and Warwickshire Partnership NHS Trust
wasps_bees,CSD EM BEESTON JOBCENTRE PLUS,28,3026.0,1,Department for Work and Pensions
honours,CSD LN CAMBERWELL GREEN JOBCENTRE PLUS,1,150.58,1,Department for Work and Pensions
honours,CSD NE N AND E YORKS AND HUMBER DISTRICT OFFICE,2,213187.0,1,Department for Work and Pensions
newt,CSD NE NEWTON AYCLIFFE JOBCENTRE PLUS,1,59.0,1,Department for Work and Pensions
swan,CSD NW LIVERPOOL OLD SWAN JOBCENTRE PLUS,1,32.0,1,Department for Work and Pensions
honours,CSD NW MORECAMBE JOBCENTRE PLUS,19,910.0,1,Department for Work and Pensions
newt,CSD NW NEWTON HEATH JOBCENTRE PLUS,35,3943.0,1,Department for Work and Pensions
honours,CSD SC CUMBERNAULD JOBCENTRE PLUS,5,247.0,1,Department for Work and Pensions
honours,CSD SE CAMBERLEY JOBCENTRE PLUS,3,142.0,1,Department for Work and Pensions
honours,CSD SE HIGH WYCOMBE ARIA HOUSE JOBCENTRE PLUS,33,4375.0,1,Department for Work and Pensions
newt,CSD SW NEWTON ABBOT JOBCENTRE PLUS,15,804.0,1,Department for Work and Pensions
morris,CSD WL MORRISTON JOBCENTRE PLUS,19,1012.1,1,Department for Work and Pensions
swan,CSD WL SWANSEA JOBCENTRE PLUS,36,3596.85,1,Department for Work and Pensions
ceremonial,Citizen Ceremonies,4,145929.47,1,Home Office
