expense_area,n_txn,gbp_total,n_publishers,a_publisher
#N/A,11523,22624234.27,6,Department for Work and Pensions
#REF!,1,35397.0,1,Cabinet Office
'CHG DIGITAL DEBT MANAGEMENT SERVICE',1,378.0,1,Department for Work and Pensions
(CLOSED) F&C OPS FIN CMG CF,1,-121.0,1,Department for Work and Pensions
(blank),6,315805.39,1,Ministry of Defence
*NP - Comms,1,35384.0,1,National Institute for Health and Care Excellence
0,2,148805.12,1,Home Office
09/10 Block Alloc - LTP Funded,2,1414.14,1,South Gloucestershire Council
09/10 Block Alloc. - Developer Funded,1,1161.3,1,South Gloucestershire Council
1,1,1545011.15,1,Cabinet Office
1 AMW ESS,3,1600.27,1,Ministry of Defence
1 HORSEGUARDS ROAD,10,20933644.34,1,Cabinet Office
1 SCOTS,1,773.44,1,Ministry of Defence
1 to 1 Tuition 10/11 - KS4,1,750.0,1,South Gloucestershire Council
10 GREAT GEORGE STREET,15,1678428.87,1,Cabinet Office
10 VICTORIA STREET,22,2085627.9,1,Cabinet Office
10/11 Block Alloc - LTP Funded,73,274246.44,1,South Gloucestershire Council
10/11 Block Alloc. - Developer Funded,22,51230.17,1,South Gloucestershire Council
10/11 Bridge Maintenance-LTP Mtce Funded,49,844218.18,1,South Gloucestershire Council
10/11 Public Rights Of Way LTP Mtce Fnd,10,27286.06,1,South Gloucestershire Council
10/11 Surface Rts to Schl LTP Mtce Fnded,3,10853.1,1,South Gloucestershire Council
12 Moravian Court,1,3833.28,1,South Gloucestershire Council
14 - 19 Reform Participation and Attainment,78,5314255979.81,1,Department for Education
14 - 19 Reform Qualification Standards and Reform,473,140725207.18,1,Department for Education
14 - 19 Reform Young People Guidance,46,4176089.16,1,Department for Education
14 Deercote Hollinswood Premises,831,186858.55,1,Shropshire Community Health NHS Trust
14 Deercote Hollinswood Premises Premises-Deercote Centre,24,2701.76,1,Shropshire Community Health NHS Trust
14 Deercotte Hortonwood Premises,30,7611.83,1,Shropshire Community Health NHS Trust
14 SIG REGT (EW),1,1743.75,1,Ministry of Defence
15 Deercote Hortonwood Premises,529,101880.01,1,Shropshire Community Health NHS Trust
1996 Mandatory Renovation Grants,21,104047.31,1,Eden District Council
2.8 Professional Fees,1,28500.0,1,UK Commission for Employment and Skills
2.85 Recruitment,1,33405.25,1,UK Commission for Employment and Skills
2.9 Accommodation,2,77109.38,1,UK Commission for Employment and Skills
2010-11 NVQ Centre costs,1,27343.0,1,National Offender Management Service
2010-11 staff costs,1,43111.0,1,National Offender Management Service
2011-12 Trust subscription,1,25633.0,1,National Offender Management Service
2011-12 contribution,1,54102.0,1,National Offender Management Service
2012 Inspire Regional Progmers,1,34000.0,1,"Department for Digital, Culture, Media and Sport"
2012 SCHEME ADVICE AND GUIDANCE,19,2936.0,1,Department for Work and Pensions
2012 SCHEME APPEALS,14,2119.0,1,Department for Work and Pensions
2012 SCHEME APPLICATIONS FALKIRK,34,6284.0,1,Department for Work and Pensions
2012 SCHEME APPLICATIONS LONGBENTON,80,21175.0,1,Department for Work and Pensions
2012 SCHEME COLLECTIONS,35,3834.0,1,Department for Work and Pensions
2012 SCHEME CONTRACTS COURT PRESENTING OFFICERS,4,399.0,1,Department for Work and Pensions
2012 SCHEME ESCALATED COMPLAINTS,1,207.0,1,Department for Work and Pensions
2012 SCHEME GENERAL INBOUND CALL HANDLING,16,2057.0,1,Department for Work and Pensions
2012 SCHEME NORTH BPAS,3,249.0,1,Department for Work and Pensions
2012 SCHEME NORTH WEST MAINTENANCE,17,6178.0,1,Department for Work and Pensions
2012 SCHEME NORTH WEST NEW CASE,31,6186.0,1,Department for Work and Pensions
2012 SCHEME NORTH WEST OPERATIONAL RESOURCE MANAGEMENT,2,36.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN 1,47,9056.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN 2,71,12702.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN AREA ADVICE CENTRE,21,1886.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN COMPLAINTS RESOLUTION,30,3389.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN ENFORCEMENT CASE MANAGEMENT,79,36222.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN MAINTENANCE,110,27661.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN MAINTENANCE MANAGEMENT OFFICE,12,1652.0,1,Department for Work and Pensions
2012 SCHEME NORTHERN NEW CASE,30,9522.0,1,Department for Work and Pensions
2012 SCHEME REACTIVE TRANSITION,38,5695.0,1,Department for Work and Pensions
2012 SCHEME SOUTH AREA ADVICE CENTRE,5,1126.69,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST AREA ADVICE CENTRE,3,484.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST COMPLAINTS RESOLUTION,3,313.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST MAINTENANCE,32,4488.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST MAINTENANCE MANAGEMENT OFFICE,69,10559.0,1,Department for Work and Pensions
2012 SCHEME SOUTH EAST NEW CASE,76,16496.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST 2,9,901.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST COMPLAINTS RESOLUTION,20,2603.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST CRIMINAL SUSPISION,1,73.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST MAINTENANCE,85,32144.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST MAINTENANCE MANAGEMENT OFFICE,78,20963.0,1,Department for Work and Pensions
2012 SCHEME SOUTH WEST NEW CASE,72,23289.0,1,Department for Work and Pensions
2012 SCHEME SPECIAL CLIENT RECORDS,4,835.0,1,Department for Work and Pensions
2012 SCHEME THIRD PARTY SERVICES,5,465.0,1,Department for Work and Pensions
2012 SCHEME WEST AREA ADVICE CENTRE,31,10557.0,1,Department for Work and Pensions
2012 SCHEME WLU,2,107.0,1,Department for Work and Pensions
212001-Agency staff,3,36694.73,1,Ministry of Justice
223000-Other Expenditure,9,268506.39,1,Ministry of Justice
245000-Grants in Aid to NDPBs,1,600000.0,1,Ministry of Justice
262000-SCA Costs,5,1601468.68,1,Ministry of Justice
263000-Other Contracted Out Services,2,50339.26,1,Ministry of Justice
265000-IT & Telecommunications,49,1119880.8,1,Ministry of Justice
3 Moravian Rd,1,720.0,1,South Gloucestershire Council
30 HOURS PROGRAMME,1,1143969.5,1,Department for Education
311100-Legal Aid,8,164000000.0,1,Ministry of Justice
35 GREAT SMITH STREET,11,4021450.0,1,Cabinet Office
39 SQN UK,4,7556.25,1,Ministry of Defence
39 SQN US,40,40304.26,1,Ministry of Defence
45 SQN - 1 AMW,2,1481.29,1,Ministry of Defence
5% Contraceptive Non Recoverab,4,839.02,1,The Pennine Acute Hospitals NHS Trust
5-19 School Nursing Dudley Service,888,346365.73,1,Shropshire Community Health NHS Trust
5-19 School Nursing Shropshire,360,79780.81,1,Shropshire Community Health NHS Trust
5-19 School Nursing Telford,64,5484.34,1,Shropshire Community Health NHS Trust
59,1,66666.67,1,The National Archives
60100 431,2,351295.01,1,National Offender Management Service
60100 431/60200 165/60200 265,5,324883.66,1,National Offender Management Service
60100 431/60200 165/60200265,2,124624.01,1,National Offender Management Service
610200-Debtors < 1 Year - VAT,124,3886416.9,1,Ministry of Justice
610400-Debtors <1 year - Prepayments & Accrued Income,12,4081826.01,1,Ministry of Justice
64700 412,4,240090.62,1,National Offender Management Service
67300 240,1,32952.5,1,National Offender Management Service
67300 601,2,60000.0,1,National Offender Management Service
67300-240,1,32952.5,1,National Offender Management Service
70 WHITEHALL,33,11877933.73,1,Cabinet Office
70120 301,1,119413.53,1,National Offender Management Service
710100-Creditors < 1 year - Other Taxation & Social Security,6,1931712.32,1,Ministry of Justice
710200-Creditors < 1 year - Trade & Other Creditors,1,1009033.92,1,Ministry of Justice
710600-Creditor < 1 year - Payable to Consolidated Fund,2,11681554.05,1,Ministry of Justice
"8 South View Rise, Coalpit Heath",1,21095.0,1,South Gloucestershire Council
811000-Interdepartmental - MoJHQ,2,128332.65,1,Ministry of Justice
A & I  PROGRAMME EXPENDITURE,5,299059.14,1,Cabinet Office
A & I PROGRAMME EXPENDITURE,7,443341.48,1,Cabinet Office
A&E Nursing,3,17524.96,1,Milton Keynes Hospital NHS Foundation Trust
A+E Med Staff,1,703.19,1,Milton Keynes Hospital NHS Foundation Trust
A.M.H.A.T,1,27496.0,1,Coventry and Warwickshire Partnership NHS Trust
A/DT LAND/AIR/IS,3,7284.52,1,Ministry of Defence
A/P recharge,4,222400.0,1,National Offender Management Service
A2HA Respiratory CLEAR,2,6017.14,1,Shropshire Community Health NHS Trust
"AA AND RAF STAFF, BDS-US",1,55.45,1,Ministry of Defence
AA499-HMCS Change Programme,17,2186870.91,1,Ministry of Justice
AAS PROGRAM,70,145.27,1,Salisbury NHS Foundation Trust
AB999-Court Improvement Directorate,29,2479666.11,1,Ministry of Justice
ACADEMIES AND REGIONAL DELIVERY TOTAL,1452,61236536.27,1,Department for Education
ACADEMIES DELIVERY DIRECTORATE,394,18732379.24,1,Department for Education
ACADEMY AND FREE SCHOOLS SIXTH FORMS,43269,3953081029.77,1,Department for Education
