bucket,supplier_raw,n_txn,gbp_total,n_publishers,a_publisher
sheep,011 TORCHYS SHEPHERD,1,1693.95,1,"Foreign, Commonwealth and Development Office (FCDO)"
pest,1ENV GLOBAL PEST CONTROL SERVICES,7,6371.13,1,North Yorkshire Council
zoo_farm,2Nd Chance Petting Farm,2,650.0,1,Rushmoor Borough Council
pest,A & H PEST CONTROL SERVICES,10,21141.6,1,Royal Borough of Greenwich
sausage,A TURNER & SONS SAUSAGE LTD,1,749.21,1,UK Trade and Investment
pest,A.P.C.S ACTIVE PEST CONTROL SOLUTIONS,1,535.0,1,North Yorkshire Council
aardvark,AARDVARK EM LIMITED,2,53594.58,1,Ministry of Defence
pest,ABSOLUTE PEST CONTROL LTD,1,34790.0,1,East Sussex Healthcare NHS Trust
cuckoo,ABSOLUTELY CUCKOO LTD,8,3925.11,1,UK Trade and Investment
circus,AIRCRAFT CIRCUS LIMITED,1,1400.0,1,Royal Borough of Greenwich
pest,AJ Pest Control Ltd,21,7622.0,1,Uttlesford District Council
coffin,ALEXANDRA SCOFFIN LIMITED,1,1312.0,1,Royal Borough of Greenwich
sheep,ALISON O'NEILL T/A ALISON O'NEILL SHEPHERDESS,2,3000.0,1,UK Trade and Investment
bell_ring,ALL SAINTS KIRKBYMOORSIDE BELL RINGERS,1,1000.0,1,North Yorkshire Council
reptile,AMPHIBIAN & REPTILE BOURNEMOUTH,1,566.5,1,"Department for Environment, Food and Rural Affairs"
sheep,ANNE SHEPHERD,7,3261.64,1,Shropshire Community Health NHS Trust
santa,ANTHONYS FISH GROTTO SAN,1,76.11,1,Natural History Museum
bees,APPLES AND PEARS APIARIES LTD,1,1250.0,1,UK Trade and Investment
pest,ARK PEST CONTROL LIMITED,3,1918.8,1,Royal Borough of Greenwich
armadillo,ARMADILLO MANAGED SERVICES LTD,1,63600.0,1,HM Treasury
armadillo,ARMADILLO MERINO,1,1295.08,1,Foreign and Commonwealth Office
circus,ASTRAL CIRCUS,1,700.0,1,Eden District Council
aardvark,Aardvark Planning Law,30,72607.2,1,Rushmoor Borough Council
pest,Action Pest Control Ltd,13,19950.0,1,Bristol City Council
pest,Advanced Pest Control,155,153477.0,1,Bristol City Council
brass_band,Alder Valley Brass Band,2,575.0,1,Rushmoor Borough Council
dolphin,Aldershot Dolphins Underwater Club,1,650.0,1,Rushmoor Borough Council
wrestl,All Star Superslam Wrestling,11,22648.85,1,Rushmoor Borough Council
alpaca,Alpacas Peopleton Brook Farm t/a Peopleton Farm,91,162870.5,1,Bristol City Council
reptile,Amphibian and Reptile Conservation,2,104500.0,1,"Department for Environment, Food and Rural Affairs"
circus,Amusement Parks/Circus,1,999.84,1,Ministry of Defence
snake,Apples and Snakes Ltd,1,641.6,1,Plymouth City Council
armadillo,Armadillo Managed Services Ltd,5,201433.67,1,Office of Rail and Road
armadillo,Armadillo Sec Ltd,10,18072.0,1,UK Shared Business Services
armadillo,Armadillo new media communications L,3,4300.0,1,Natural History Museum
windmill,Ashdon Windmill Trust Ltd,1,500.0,1,Uttlesford District Council
pest,Attack Pests Ltd T/AThe Bristol Pest Controller,19,19243.75,1,Bristol City Council
badger,BADGER HILL PRIMARY SCHOOL,1,27000.0,1,Department for Education
badger,BADGER PRINT AND DESIGN,2,227.0,1,Shropshire Community Health NHS Trust
badger,BADGER SOFTWARE LTD,5,135074.63,4,Foreign and Commonwealth Office
badger,BADGERS OF BOHEMIA LTD T/A TURN UP THE COLOUR (TUTC),1,4000.0,1,North Yorkshire Council
badger,BADGERS QUICK SKIPS,3,3608.04,1,Royal Borough of Greenwich
disco,"BAR,LOUNGE,DISCO,NIGHTCLUB,TAVERN-ALCOHOLIC DRINKS",249,284119.06,1,"Foreign, Commonwealth and Development Office (FCDO)"
owl,BARN OWL NESTBOX NETWORK,5,3850.0,1,North Yorkshire Council
alpaca,BEACON ALPACAS,1,9516.21,1,North Yorkshire Council
bees,BEE DESIGN CONSULTANCY LTD,2,2000.0,1,UK Trade and Investment
bees,BEE HAPPY PRINTS,1,561.5,1,North Yorkshire Council
bees,BEE PEDAL READY,3,17733.97,1,Transport for Greater Manchester
bees,BEE QS SERVICES LTD,1,904.97,1,North Yorkshire Council
bees,BEE SENG AIRCOND & ENG,2,1311.56,1,"Foreign, Commonwealth and Development Office (FCDO)"
bees,BEE TEE ALARMS LTD,1,522.0,1,"Department for Environment, Food and Rural Affairs"
bees,BEES (Bespoke Engaging Educational Services LTD),2,7156.0,1,Plymouth City Council
circus,BELL & BULLOCK CIRCUS THEATRE,1,2200.0,1,Royal Borough of Greenwich
towncrier,BELLMAN MEDIA LTD,218,717411.88,1,UK Trade and Investment
cheese,BELTON CHEESE LTD,4,4269.01,1,UK Trade and Investment
pest,BERMUDA PEST CONTROL,1,40067.0,1,Foreign and Commonwealth Office
otter,BISHOP OTTER ACADEMY TRUST,1,30000.0,1,Department for Education
sheep,BLACK SHEEP PRESS,117,4341.3,1,Shropshire Community Health NHS Trust
sheep,BLACK SHEEP WOOLS LTD,1,1766.75,1,UK Trade and Investment
swan,BLACK SWAN PNG LTD,6,10053.58,1,"Foreign, Commonwealth and Development Office (FCDO)"
swan,BLACK SWAN PRINTER,1,706.44,1,"Department for Environment, Food and Rural Affairs"
sheep,BLACKER SHEEP LTD,2,953.23,1,UK Trade and Investment
camel,BLUE CAMEL ENERGY,1,68989.54,1,Department for International Development
duck,BLUE DUCK EDUCATION LTD,2,2000.0,1,UK Trade and Investment
lobster,BLUE LOBSTER,1,39600.0,1,"Department for Environment, Food and Rural Affairs"
sheep,BLUE SHEEP LTD,11,1684591.05,1,Department for Education
sausage,BROAD OAK FARM SAUSAGE CO LTD,1,541.69,1,UK Trade and Investment
pest,BROMLEY PEST CONTROL,11,16510.0,1,Royal Borough of Greenwich
owl,BUSINESS OWL,1,2430.0,1,North Yorkshire Council
bees,BUSY BEE CLEANING SERVICES LTD,32,1843720.12,1,South Central Ambulance Service NHS Foundation Trust
bees,BUSY BEES CHILDCARE VOUCHERS,65,78871.26,1,Eden District Council
bees,BUSY BEES NURSERIES,31,1054730.84,2,Department for Education
bees,BUSY BEES NURSERIES LTD,148,8051382.83,1,Department for Education
pudding,BUXTON PUDDING CO LTD,1,532.25,1,UK Trade and Investment
lighthouse,Backwell CofE Junior School (Lighthouse Schools Partnership),3,1950.0,1,Bristol City Council
badger,Badger Design Ltd,1,1522.5,1,South Gloucestershire Council
badger,Badger Hill Academy,56,2843495.72,1,Department for Education
badger,Badger Hill Primary School,57,3137218.95,1,Department for Education
dolphin,Bakers Dolphin Coach Travel,2,3024.0,1,South Gloucestershire Council
disco,Bars/Taverns/Lounges/Discos,10,16484.38,2,Foreign and Commonwealth Office
bees,Bee Communications,1,504.72,1,Equality and Human Rights Commission
sheep,Ben Shepherd,2,11000.0,1,Department for International Development
falconry,Berkshire Birds Of Prey,9,4150.0,1,Rushmoor Borough Council
swan,Black Swan Training Solutions,15,29470.0,1,Rushmoor Borough Council
sheep,Blue Sheep Limited,2,83506.0,1,UK Commission for Employment and Skills
bouncy,Bouncy Jam Ltd,1,2000.0,1,UK Trade and Investment
pest,Brand Pest Control,184,155244.26,1,Rushmoor Borough Council
bees,Bright Bees Nursery Ltd,3,196206.85,1,Department for Education
pest,Bristol Pest Control Ltd,17,20122.5,1,Bristol City Council
pest,British Pest Control Association,1,544.5,1,Bristol City Council
bees,Busy Bee Day Nursery,9,186242.31,1,Bristol City Council
bees,Busy Bees Childcare Ltd,3,85141.76,1,Milton Keynes Hospital NHS Foundation Trust
bees,Busy Bees Day Nursery (Salisbury),1,570.0,1,Bristol City Council
bees,Busy Bees Education and Training,27,1431454.61,1,Department for Education
bees,Busy Bees at Plymouth,1,9330.9,1,Plymouth City Council
butterfly_farm,Butterfly Conservation,9,595651.05,1,"Department for Environment, Food and Rural Affairs"
swan,C.V. SWAN FAN MAKKUM,3,13025.0,1,Royal Borough of Greenwich
camel,CAMEL EVENT PRODUCTION,1,611.2,1,Former council of North Yorkshire
camel,CAMEL VALLEY LTD,9,13584.56,2,Foreign and Commonwealth Office
camel,CAMEL VALLEY VINEYARD,2,3000.0,1,UK Trade and Investment
flag,CAR FLAGPOLE CO,3,8670.09,1,"Foreign, Commonwealth and Development Office (FCDO)"
funfair,CAROUSEL RIDES LTD,4,17460.0,1,Royal Borough of Greenwich
sheep,CARTMELL SHEPHERD SOLICITORS,1,522.0,1,Eden District Council
pest,CENTRAL PEST CONTROL,2,535.0,1,Blaby District Council
cheese,CHEESE & WINE,1,584.28,1,"Foreign, Commonwealth and Development Office (FCDO)"
circus,CIRCUS COMMUNICATIONS LTD,1,9450.0,1,UK Trade and Investment
circus,CIRCUS FUNTASIA,1,553.5,1,Eden District Council
circus,CIRCUS MALABARISTAS LIMITED,2,7572.0,1,Royal Borough of Greenwich
circus,CIRCUS SPACE,1,42619.0,1,"Ministry of Housing, Communities and Local Government"
archery,CLICKERS ARCHERY LIMITED,1,425.83,1,Blaby District Council
sausage,CLIP MX SIMPLY SAUSAGE,2,2667.63,1,"Foreign, Commonwealth and Development Office (FCDO)"
sheep,CLIVE SHEPHERD & CO LLP,1,30390.25,1,Ministry of Justice
clown,CLOWNS NURSERY LTD,4,2362.5,1,North Yorkshire Council
pest,COMMAND PEST CONTROL LTD,1,644.4,1,"Department for Environment, Food and Rural Affairs"
santa,CORP CLUB SANTA MARTA,4,4425.96,1,Foreign and Commonwealth Office
santa,COSTCO SANTA FE,2,1041.08,1,"Foreign, Commonwealth and Development Office (FCDO)"
pudding,COUNTRY PUDDINGS LIMITED,1,1000.0,1,UK Trade and Investment
falconry,COUNTRYWIDE FALCONRY & PEST CONTROL SERVICES LTD,3,1560.0,1,Royal Borough of Greenwich
pest,COUNTRYWIDE FALCONRY & PEST CONTROL SERVICES LTD,3,1560.0,1,Royal Borough of Greenwich
crab,CRAB CLINICAL INFORMATICS LTD,2,63309.31,2,UK Trade and Investment
crab,CRAB LANE PRIMARY SCHOOL,1,849.0,1,Transport for Greater Manchester
wizard,CRAFTY WIZARDS LTD,52,174122.67,1,Royal Borough of Greenwich
knitting,CROCHET LUCIEN,1,638.26,1,"Foreign, Commonwealth and Development Office (FCDO)"
pest,CROSS PEST CONTROL SER,34,37015.18,1,"Department for Environment, Food and Rural Affairs"
pest,CROSS PEST CONTROL SERVICES,16,19586.09,1,"Department for Environment, Food and Rural Affairs"
cheese,CRYER & STOTT CHEESEMONGERS LTD,5,3105.45,1,North Yorkshire Council
cuckoo,CUCKOO HALL ACADEMIES TRUST,3,180787.0,1,Department for Education
cuckoo,CUCKOO HALL ACADEMY,14,2728827.75,1,Department for Education
cuckoo,CUCKOO HALL PRIMARY SCHOOL,1,25000.0,1,Department for Education
cuckoo,CUCKOO INTERNATIONAL,1,752.02,1,"Foreign, Commonwealth and Development Office (FCDO)"
cuckoo,CUCKOO INTERNATIONAL (,7,5418.47,1,"Foreign, Commonwealth and Development Office (FCDO)"
cuckoo,CUCKOO INTERNATIONAL S,5,3533.39,1,Foreign and Commonwealth Office
wrestl,CUMBERLAND AND WESTMORLAND WRESTLING ASSOCIATION LTD,1,750.0,1,Eden District Council
bees,CUMBERLAND BEEKEEPERS ASSOCIATION PENRITH BRANCH,2,2517.2,1,Eden District Council
ferret,CURIOUS FERRET LTD,2,3000.0,1,UK Trade and Investment
duck,CYBER-DUCK LTD,3,2000.0,1,UK Trade and Investment
lighthouse,Carla Keyte t/a Lighthouse Childcare Consortium Ltd,14,29400.0,1,Bristol City Council
sheep,Cartmell Shepherd,2,220000.0,1,Eden District Council
pest,Chew Valley Pest Control Ltd,1,624.0,1,Bristol City Council
lighthouse,Chew Valley School (Lighthouse Schools Partnership),39,231075.34,1,Bristol City Council
juggle,Chris Welford Juggler,2,720.0,1,Rushmoor Borough Council
sheep,Church Of The Good Shepherd,8,3456.77,1,Rushmoor Borough Council
circus,Circus City t/a Handstand Arts,1,4050.0,1,Bristol City Council
bees,Community Beekeeping,1,1323.0,1,Natural History Museum
cuckoo,Cuckoo Hall Academies Trust,68,568389.13,1,Department for Education
cuckoo,Cuckoo Hall Academy,174,13205044.47,1,Department for Education
cuckoo,Cuckoo Hall Primary Academy,69,12227691.29,1,Department for Education
hedgehog,Curious Hedgehogs,45,648704.9,1,Bristol City Council
duck,Cyber Duck Ltd,1,32975.0,1,"Department for Science, Innovation and Technology"
goat,DANCING GOAT COFFEE LTD,43,18793.04,2,Former council of North Yorkshire
wizard,DATABASE WIZARD INC,1,548.44,1,Foreign and Commonwealth Office
dolphin,DDC DOLPHIN LTD,1,952.78,1,UK Trade and Investment
dinosaur,DETTREX MEDIA LTD,2,7600.0,1,UK Trade and Investment
bees,DEVON BEEKEEPERS 550,1,1021.5,1,"Department for Environment, Food and Rural Affairs"
pigeon,DIGIPIGEON LTD,3,4618.34,1,UK Trade and Investment
dinosaur,DINOSAUR,48,510190.7,1,Transport for Greater Manchester
dinosaur,DINOSAUR PILE-UP LTD,2,825.0,1,UK Trade and Investment
dinosaur,DINOSAUR RESOURCE CENTER,3,2273.48,1,"Department for Digital, Culture, Media and Sport"
pest,DISPATCH PEST CONTROL,2,1237.85,1,North Yorkshire Council
wizard,DISPLAY WIZARD,1,705.18,1,Foreign and Commonwealth Office
wizard,DISPLAY WIZARD LTD,7,8536.88,1,Royal Borough of Greenwich
dolphin,DOLPHIN CLUB,16,17236.92,1,"Foreign, Commonwealth and Development Office (FCDO)"
dolphin,DOLPHIN COMMUNICATIONS (VOICE SYSTEMS) LTD,9,497890.8,1,Ministry of Justice
dolphin,DOLPHIN COMPUTER ACCES,1,600.6,1,Foreign and Commonwealth Office
dolphin,DOLPHIN COMPUTER ACCESS,1,1050.0,1,Charity Commission for England and Wales
dolphin,DOLPHIN COMPUTER ACCESS LTD,7,93973.86,2,Department for Education
dolphin,DOLPHIN HOTEL,1,3035.15,1,"Department for Environment, Food and Rural Affairs"
dolphin,DOLPHIN HOUSE,1,32110.0,1,"Ministry of Housing, Communities and Local Government"
dolphin,DOLPHIN HOUSE SURGERY,275,5600064.88,1,NHS East and North Hertfordshire CCG
dolphin,DOLPHIN INTERNATIONAL COMMUNICATIONS LTD,2,2336.22,1,UK Trade and Investment
dolphin,DOLPHIN MOBILITY LTD,73,271899.2,1,Royal Borough of Greenwich
dolphin,DOLPHIN MOBILITY YORKSHIRE & CUMBRIA LTD,38,120433.55,2,Eden District Council
dolphin,DOLPHIN MOVERS,3,1801.74,1,HM Treasury
dolphin,DOLPHIN SOLUTIONS LIMITED,1,501.72,1,Royal Borough of Greenwich
dolphin,DOLPHIN STAIR LIFTS,4,18791.0,1,Eden District Council
dolphin,DOLPHIN STAIRLIFTS (NORTH EAST) LIMITED,1,7870.0,1,North Yorkshire Council
dolphin,DOLPHIN TELECOMMUNICATIONS LTD,3,-51222.79,1,Home Office
dolphin,DOLPHIN VILLAGE,3,4082.66,1,"Foreign, Commonwealth and Development Office (FCDO)"
windmill,DRAPERS WINDMILL TRUST,1,1386.0,1,"Ministry of Housing, Communities and Local Government"
duck,DUCK-2-WATER LTD         02380 339996,1,561.0,1,"Department for Environment, Food and Rural Affairs"
allotment,Dig It Community Allotment,14,27694.0,1,Uttlesford District Council
dinosaur,Dinosaur Adventure Live Ltd,3,13761.32,1,Rushmoor Borough Council
disco,Dk Discos,1,300.0,1,Rushmoor Borough Council
circus,Do Good Things Limited t/a Circus Journal,2,2260.0,1,Bristol City Council
dolphin,Dolphin Driling Ltd.,1,350000.0,1,HM Revenue and Customs
dolphin,Dolphin Drilling Ltd c/o Ernst & Young LLP,1,150000.0,1,HM Revenue and Customs
dolphin,Dolphin Enterprises Europe,1,420.7,1,South Gloucestershire Council
dolphin,Dolphin Lifts (Western) Ltd,178,877186.06,1,Bristol City Council
dolphin,Dolphin Mobility,3,12828.0,1,Rushmoor Borough Council
dolphin,Dolphin Mobility Chobham,1,6625.0,1,Uttlesford District Council
dolphin,Dolphin Square,2,10440.0,1,Department for International Development
dolphin,Dolphin Stairlifts South-West,35,161537.78,1,Plymouth City Council
duck,Ducks In A Row,1,1200.0,1,Rushmoor Borough Council
panto,Dunmow Pantomime Group,1,500.0,1,Uttlesford District Council
pest,EAST COAST PEST CONTROL,5,7789.2,1,North Yorkshire Council
toad_frog,EAT THAT FROG CIC,3,117764.0,1,Department for Work and Pensions
puppet,EB *PUPPET CAMP LONDON,1,62.34,1,The National Archives
elvis,ELVIS BERNARD CARTY,3,133578.98,1,"Foreign, Commonwealth and Development Office (FCDO)"
emu,EMU LTD,5,278555.8,1,"Department for Environment, Food and Rural Affairs"
owl,EXHIBITOR APPLICATION SYSTEMS LTD T/A EVENT OWL,2,720.0,1,Former council of North Yorkshire
lighthouse,Easton Church of England Primary (Lighthouse Schools Partnership),36,792643.18,1,Bristol City Council
pest,Eastwick Pest Control Solutions,1,275.0,1,Uttlesford District Council
toad_frog,Eat That Frog C.I.C.,82,3019119.52,1,Department for Education
toad_frog,Eat That Frog CIC,1,7866.67,1,Bristol City Council
pest,Elimination Pest Control,1,600.0,1,Bristol City Council
elvis,Elvis Kargbo,2,2934.0,1,Department for International Development
falconry,FALCON COMMUNICATIONS LTD,1,3190.0,1,UK Trade and Investment
falconry,FALCON CONSTRUCTION & JOINERY COMPANY,1,7185.0,1,Royal Borough of Greenwich
falconry,FALCON COPIERS PLC,1,525.61,1,Royal Borough of Greenwich
falconry,FALCON EDUCATION ACADEMIES TRUST,2,674166.0,1,Department for Education
falconry,FALCON FOODSERVICE EQUIPMENT,59,3362493.92,1,National Offender Management Service
falconry,FALCON GLOBAL LTD,1,1000.0,1,UK Trade and Investment
falconry,FALCON HOTEL CARMARTHEN,1,560.0,1,"Department for Environment, Food and Rural Affairs"
falconry,FALCON INNOVATIONS LTD,2,364.15,1,UK Trade and Investment
falconry,FALCON INSURANCE LTD,1,924.01,1,Foreign and Commonwealth Office
falconry,FALCON PANEL PRODUCTS LTD,6,6821.98,1,Royal Borough of Greenwich
falconry,FALCON PROMOTIONS,1,1972.8,1,Royal Borough of Greenwich
falconry,FALCON SELF DRIVE LTD,1,640.0,1,Charity Commission for England and Wales
falconry,FALCON SUPPORT SERVICES LIMITED,599,175709890.76,1,Ministry of Defence
falconry,FALCONS PRIMARY SCHOOL,8,1090783.96,1,Department for Education
alpaca,FALLOWFIELD ALPACAS,1,1000.0,1,UK Trade and Investment
spider_org,FARMSTRONGS LTD T/A SPIDER TOURING,1,5000.0,1,North Yorkshire Council
blacksmith,FARRIER HOUSE SURGERY,2,66.0,1,Shropshire Community Health NHS Trust
badger,FAT BADGER HARROGATE (UK) LTD,1,350.0,1,Former district of Harrogate
ferret,FERRET INFORMATION SYSTEMS,6,2851.0,1,Blaby District Council
ferret,FERRET INFORMATION SYSTEMS LTD,2,1722.44,1,North Yorkshire Council
ferret,FERRETS INCORPORATED LTD,1,134848.73,1,Ministry of Defence
sheep,FFL TRADING (BIG SHEEP & LITTLE COW FARM),1,1680.0,1,North Yorkshire Council
bunting,FLAG AND BUNTING LTD,2,3000.0,1,Foreign and Commonwealth Office
flag,FLAGPOLE EXPRESS LTD,1,1170.7,1,Eden District Council
flamingo,FLAMINGO RESEARCH LI,2,59000.0,1,Department of Health and Social Care
flamingo,FLAMINGO RESEARCH LIMITED,2,56000.0,1,Department of Health and Social Care
flamingo,FLAMINGO SWIMMING POOL,5,4024.13,1,Foreign and Commonwealth Office
toad_frog,FROG BY ADAM,1,1400.0,1,Foreign and Commonwealth Office
toad_frog,FROG BY ADAM HANDL,4,4250.0,1,Foreign and Commonwealth Office
toad_frog,FROG LIFE 631,1,1468.8,1,"Department for Environment, Food and Rural Affairs"
fudge,FUDGE KITCHEN LTD,1,1500.0,1,UK Trade and Investment
santa,FUNDACION SANTA FE DE,2,4245.99,1,"Foreign, Commonwealth and Development Office (FCDO)"
bouncy,FUNHOUSE BOUNCY CASTLES,1,650.0,1,Blaby District Council
falconry,Falcon & Partner Limited DO NOT USE,2,1367.24,1,South Gloucestershire Council
falconry,Falcon & Partner Ltd,8,6014.26,1,South Gloucestershire Council
falconry,Falcon & Partner Ltd Consulting Structural Engineer,29,22064.39,1,Bristol City Council
falconry,Falcon Copiers PLC,1,565.55,1,Plymouth City Council
falconry,Falcon Document Solutions Ltd,1,690.9,1,Plymouth City Council
falconry,Falcon Education Academies Trust,13,1767254.89,1,Department for Education
falconry,Falcon Engineering Enterprises,7,6527.83,1,Department for International Development
falconry,Falcon Facilities Management Services Limited,4,4177.12,1,Bristol City Council
falconry,Falcon Pest Control Ltd,6,23395.0,1,Bristol City Council
pest,Falcon Pest Control Ltd,6,23395.0,1,Bristol City Council
falconry,Falcon Services,22,13257.25,1,South Gloucestershire Council
falconry,Falcons Primary School,61,5298892.31,1,Department for Education
ferret,Ferret Information Systems Ltd,15,5444.0,2,Rushmoor Borough Council
lighthouse,Fishponds Church Of England Academy (Lighthouse Schools Partnership),32,584854.0,1,Bristol City Council
bees,Fleet & District Beekeepers Association,2,1300.0,1,Rushmoor Borough Council
toad_frog,Frog Cables,1,2481.36,1,Department for International Development
toad_frog,Frog Software Training Ltd,23,25734.6,1,Uttlesford District Council
wrestl,G LITTLEWOOD (FIRST CLASS WRESTLING),1,1049.6,1,North Yorkshire Council
giraffe,GIRAFFE,6,97.9,1,Natural History Museum
giraffe,GIRAFFE 1779,1,14.2,1,The National Archives
giraffe,GIRAFFE CONCEPTS,2,344.92,1,Natural History Museum
giraffe,GIRAFFE JUICE BAR,1,15.0,1,Natural History Museum
pest,GLADE PEST CONTROL SER,5,10362.0,1,"Department for Environment, Food and Rural Affairs"
pest,GLADE PEST CONTROL SERVICE,1,1848.0,1,"Department for Environment, Food and Rural Affairs"
