firm,supplier_raw,txns,gbp,n_publishers,publishers
Deloitte,DELOITTE LLP,1323,254708545.41,23,"George Eliot Hospital NHS Trust,Department for Education,Transport for Greater Manchester,Shropshire Community Health NHS Trust,Portsmouth Hospital NHS Trust,Eden District Council,Royal Borough of Greenwich,Maidstone and Tunbridge Wells NHS Trust,East Sussex Healthcare NHS Trust,Milton Keynes Hospital NHS Foundation Trust,United Lincolnshire Hospitals NHS Trust,Cabinet Office,National Institute for Health and Care Excellence,Department for Work and Pensions,Foreign, Commonwealth and Development Office (FCDO),HM Revenue and Customs,Home Office,Ministry of Defence,Department of Health and Social Care,HM Treasury,Ministry of Housing, Communities and Local Government,Ministry of Justice,UK Trade and Investment"
Deloitte,DELOITTE,371,207897350.3,9,"Department for Education,Former council of North Yorkshire,North Yorkshire Council,Salisbury NHS Foundation Trust,The Pennine Acute Hospitals NHS Trust,Department for Work and Pensions,Department of Health and Social Care,HM Revenue and Customs,Home Office"
Deloitte,DELOITTE LLP (L),400,140218628.22,1,HM Revenue and Customs
Deloitte,DELOITTE MCS LTD,249,27025390.91,11,"Cabinet Office,National Institute for Health and Care Excellence,Department for Education,Department for International Development,HM Revenue and Customs,Department for Work and Pensions,Home Office,Department of Health and Social Care,HM Treasury,Ministry of Housing, Communities and Local Government,National Offender Management Service"
Deloitte,Deloitte LLP,201,18187961.85,12,"Animal and Plant Health Agency,UK Shared Business Services,Natural History Museum,Coventry and Warwickshire Partnership NHS Trust,Tate,Department for Digital, Culture, Media and Sport,Department for Energy Security and Net Zero,Department for Education,Department for International Development,Department for Science, Innovation and Technology,HM Revenue and Customs,Equality and Human Rights Commission"
Deloitte,DELOITTE MCS LIMITED,83,13172233.66,5,"The National Archives,Department of Health and Social Care,Foreign, Commonwealth and Development Office (FCDO),Ministry of Defence,Home Office"
Deloitte,DELOITTE TOUCHE TOHAMATSU INDIA PRIVATE LTD (DTTIPL),114,11576191.45,1,Department for International Development
Deloitte,Deloitte MCS Ltd,80,7405028.66,1,Department for Education
Deloitte,Deloitte Llp,46,6458144.09,4,"Pennine Care NHS Foundation Trust,Department for Energy Security and Net Zero,Department for Environment, Food and Rural Affairs,Department for Science, Innovation and Technology"
Deloitte,Deloitte Consulting Pvt Ltd Co.,29,6350475.59,1,Department for International Development
Deloitte,DELOITTE (UGANDA) LTD,3,6200000.0,1,Department for International Development
Deloitte,Deloitte M C S Ltd,35,5985800.52,1,HM Revenue and Customs
Deloitte,DRIVERS JONAS DELOITTE,123,4737639.1,6,"Transport for Greater Manchester,Cabinet Office,Foreign and Commonwealth Office,Home Office,Ministry of Justice,National Offender Management Service"
Deloitte,DELOITTE AND TOUCHE LLP,38,4402558.76,1,"Foreign, Commonwealth and Development Office (FCDO)"
Deloitte,Deloitte Touche Tohmatsu India Private Limited,85,4088863.46,1,Department for International Development
Deloitte,DELOITTE TOUCHE TOHMATSU INDIA PRIVA,160,3812580.23,1,Department for International Development
Deloitte,DELOITTE TOUCHE TOHMATSU INDIA LLP,84,2515742.97,1,Department for International Development
Deloitte,DELOITTE & TOUCHE LLP,13,2252786.4,1,Department for Work and Pensions
Deloitte,DELOITTE (UGANDA) LIMITED,18,1629520.98,1,Department for International Development
Deloitte,Deloitte & Touche,12,1518985.28,3,"Department for Environment, Food and Rural Affairs,Department for International Development,HM Revenue and Customs"
Deloitte,DELOITTE MSC LTD,11,817507.89,1,Department for Education
Deloitte,Deloitte,32,667367.07,5,"Whittington Hospital NHS Trust,Office of Rail and Road,The Pennine Acute Hospitals NHS Trust,Department for International Development,Home Office"
Deloitte,Deloitte Touche Tohmatsu India LLP,32,490613.14,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
Deloitte,DELOITTE MCS,11,482249.67,1,Home Office
Deloitte,Deloitte Kenya,12,399358.01,1,Department for International Development
Deloitte,Deloitte MCS Limited,5,350166.4,3,"Department for International Development,HM Revenue and Customs,Ministry of Defence"
Deloitte,DELOITTE CONSULTING LLP,5,301681.0,1,Foreign and Commonwealth Office
Deloitte,Akintola Williams Deloitte Consultin,4,220716.46,1,Department for International Development
Deloitte,DELOITTE CONSULTING (PTY) LTD,6,215711.95,1,Department for International Development
Deloitte,DELOITTE & TOUCHE,4,197344.74,3,"Department for Work and Pensions,Home Office,Ministry of Housing, Communities and Local Government"
Deloitte,Deloitte Touche Tohmatsu India Pvt. Ltd.,10,172334.1,1,Department for International Development
Deloitte,Drivers Jonas Deloitte,79,159839.12,3,"Department for Digital, Culture, Media and Sport,Natural History Museum,Victoria & Albert Museum"
Deloitte,Rank Group PLC c/o Deloittes,1,111892.0,1,HM Revenue and Customs
Deloitte,Deloitte Mcs Ltd,2,104430.0,1,Bristol City Council
Deloitte,Wm Morrisons Supermarkets PLC c/o Deloitte LLP,1,95000.0,1,HM Revenue and Customs
Deloitte,DELOITTE CONSULTING LTD,1,84000.0,1,Cabinet Office
Deloitte,Deloitte and Touche LLP~114191649,2,82381.6,1,"Department for Environment, Food and Rural Affairs"
Deloitte,Deloitte MCS,3,75104.77,1,Victoria & Albert Museum
Deloitte,Deloitte  Llp,2,69018.85,1,The Pennine Acute Hospitals NHS Trust
Deloitte,Deloitte Real Estate (LLP No 3 a/c),2,64946.4,1,"Department for Digital, Culture, Media and Sport"
Deloitte,Deloitte  LLP,1,51772.85,1,"Department for Environment, Food and Rural Affairs"
Deloitte,Deloitte Limited,2,50719.12,1,Department for International Development
Deloitte,DELOITTES LLP,1,48950.0,1,Milton Keynes Hospital NHS Foundation Trust
Deloitte,WGIS c/o Deloitte Legal,1,40000.0,1,HM Revenue and Customs
Deloitte,DELOITTE TOUCHE FINANCIAL ADVISORY SERVICES LIMITED,1,40000.0,1,Foreign and Commonwealth Office
Deloitte,PT DELOITTE ADVIS INDONESIA,1,39988.56,1,"Foreign, Commonwealth and Development Office (FCDO)"
Deloitte,Deloitte Malawi Advisory Services,2,35900.39,1,Department for International Development
Deloitte,Deloitte Touche LLP,1,34740.0,1,National Offender Management Service
Deloitte,DELOITTE LLP NO 2 ACCOUNT,1,34050.0,1,National Offender Management Service
Deloitte,Deloitte & Touche LLP,1,29375.0,1,"Department for Environment, Food and Rural Affairs"
Deloitte,Drivers Jonas Deloitte LLP,1,26050.26,1,Tate
Deloitte,DELOITTE  LLP,4,23757.91,1,"Ministry of Housing, Communities and Local Government"
Deloitte,DRIVERS JONAS (DELOITTE LLP),13,23206.88,1,"Ministry of Housing, Communities and Local Government"
Deloitte,Deloitte Yousuf Adil  Chartered Accountants,7,19984.11,1,Department for International Development
Deloitte,Deloitte Malawi,3,19023.09,1,Department for International Development
Deloitte,Deloitte & Touche (Mocambique)  Lda,4,18806.46,1,Department for International Development
Deloitte,Deloitte & Touche Zambia,1,8226.87,1,Department for International Development
Deloitte,DELOITTE KOSOVA SHPK,8,6598.69,1,"Foreign, Commonwealth and Development Office (FCDO)"
Deloitte,"Deloitte Yousuf Adil, Chartered Accountants",2,2930.45,1,Department for International Development
PwC,PWC GEC Client Account,40,463013846.92,1,Department for International Development
PwC,PRICEWATERHOUSECOOPERS,2181,380465610.82,7,"Royal Borough of Greenwich,Transport for Greater Manchester,Department for International Development,Department for Education,Foreign and Commonwealth Office,HM Treasury,Ministry of Housing, Communities and Local Government"
PwC,PRICEWATERHOUSECOOPERS LLP,1249,193683245.88,18,"East Sussex Healthcare NHS Trust,Department for Education,Royal Borough of Greenwich,Cabinet Office,Maidstone and Tunbridge Wells NHS Trust,Eden District Council,The Pennine Acute Hospitals NHS Trust,Salisbury NHS Foundation Trust,Department for Energy Security and Net Zero,Department of Health and Social Care,Foreign, Commonwealth and Development Office (FCDO),HM Revenue and Customs,Ministry of Defence,Home Office,Ministry of Housing, Communities and Local Government,Ministry of Justice,National Offender Management Service,UK Trade and Investment"
PwC,PWC Gec Client Account,18,166559488.0,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
PwC,Pricewaterhousecoopers,217,42554873.26,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
PwC,PRICEWATERHOUSE COOPERS LLP,214,30643517.25,8,"NHS Business Services Authority,Cabinet Office,Former council of North Yorkshire,East Sussex Healthcare NHS Trust,North Yorkshire Council,Department for Work and Pensions,Foreign and Commonwealth Office,Ministry of Justice"
PwC,PricewaterhouseCoopers Pvt.Ltd,224,23868484.25,1,Department for International Development
PwC,PRICE WATERHOUSE COOPERS LLP,130,14686346.81,4,"Blaby District Council,Department for Education,Department for Work and Pensions,Home Office"
PwC,Pricewaterhousecoopers Llp,29,9158382.91,3,"Whittington Hospital NHS Trust,Department for Energy Security and Net Zero,Department for Science, Innovation and Technology"
PwC,PricewaterhouseCoopers Limited (KENYA3),67,7922891.21,1,Department for International Development
PwC,PRICE WATERHOUSE COOPER LLP,63,7420876.25,2,"Department for Work and Pensions,Department for Education"
PwC,PRICEWATERHOUSE COOPERS,35,7060803.43,5,"Cabinet Office,Milton Keynes Hospital NHS Foundation Trust,Department for Education,Department for Work and Pensions,HM Treasury"
PwC,Pricewaterhouse Coopers LLP,106,6781332.17,4,"UK Shared Business Services,Plymouth City Council,Cabinet Office,National Offender Management Service"
PwC,PRICEWATERHOUSECOOPER LLP - SPF CLIENT MONEY,1,5390077.0,1,Department of Health and Social Care
PwC,PRICEWATERHOUSECOOPERS PRIVATE LTD,54,4451584.3,1,Department for International Development
PwC,PRICE WATERHOUSE COOPER,16,4193699.12,1,Department for Work and Pensions
PwC,Pricewaterhousecoopers Pvt Ltd,34,4016727.0,1,Department for International Development
PwC,PRICEWATERHOUSECOOPERS DEVELOPMENT,118,3864534.0,1,Department for International Development
PwC,Price Waterhouse Coopers,44,3527995.08,2,"Department for Environment, Food and Rural Affairs,Home Office"
PwC,Pricewaterhousecoopers Limited (Kenya3),19,3348418.21,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
PwC,PricewaterhouseCoopers Private Limited,30,1875521.5,1,"Foreign, Commonwealth and Development Office (FCDO)"
PwC,Pricewaterhousecoopers (Global),10,1760426.71,1,"Foreign, Commonwealth and Development Office (FCDO)"
PwC,PricewaterhouseCoopers LLP,23,1733143.96,3,"Uttlesford District Council,UK Sport,HM Revenue and Customs"
PwC,PWC LLP (HMRC GRANTS),7,1672643.15,1,HM Revenue and Customs
PwC,Pricewaterhousecoopers LLP,16,1348619.0,1,Bristol City Council
PwC,PRICEWATERHOUSECOOPE,4,1114037.43,1,Department of Health and Social Care
PwC,Phoenix Group Holdings Ltd c/o PWC,1,1100000.0,1,HM Revenue and Customs
PwC,Pricewaterhouse Coopers,11,837348.72,2,"Department for Environment, Food and Rural Affairs,Government Legal Department"
PwC,Price Waterhouse Coopers LLp,23,784968.65,1,South Gloucestershire Council
PwC,Pricewaterhousecoopers Pvt. Ltd.,64,756457.29,1,Department for International Development
PwC,"PRICEWATERHOUSECOOPERS, GHANA",18,631019.85,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
PwC,PricewaterhouseCoopers,12,595296.42,3,"Department for Digital, Culture, Media and Sport,Natural History Museum,Department for Education"
PwC,PRICEWATERHOUSECOOPERS  GHANA,30,511428.68,2,"Department for International Development,Foreign, Commonwealth and Development Office (FCDO)"
PwC,PRICEWATERHOUSE,15,398682.5,1,"Ministry of Housing, Communities and Local Government"
PwC,PwC UK,9,357382.16,1,Department for International Development
PwC,PRICEWATERHOUSE COOPERS PRIVATE LIMITED,10,306203.0,2,"Foreign and Commonwealth Office,Foreign, Commonwealth and Development Office (FCDO)"
PwC,PRICEWATERHOUSECOOPERS AFRICA,5,305568.0,1,Department for International Development
PwC,St. George's University  c/o PWC,1,300000.0,1,HM Revenue and Customs
PwC,Price Waterhouse Coopers LLP,7,285063.0,1,Coventry and Warwickshire Partnership NHS Trust
PwC,PRICEWATERHOUSECOOPERS PVT LTD,6,280336.0,2,"Foreign, Commonwealth and Development Office (FCDO),Foreign and Commonwealth Office"
PwC,RPM Ltd c/o PWC LLP,1,250000.0,1,HM Revenue and Customs
PwC,Worldpay (UK) c/o PWC LLP,1,240989.8,1,HM Revenue and Customs
PwC,PRICE WATERHOUSE COOPERS,5,238334.7,2,"Department for Environment, Food and Rural Affairs,Foreign and Commonwealth Office"
PwC,PRICEWATERHOUSECOOPERS (KENYA),14,227489.3,1,Department for International Development
PwC,PRICEWATERHOUSECOOPERS MANAGEMENT CONSULTING (SHANGHAI) LIMITED BEIJING BRANCH,4,221710.27,1,Foreign and Commonwealth Office
PwC,PRICEWATERHOUSECOOPERS SERVICES,4,219351.48,1,Ministry of Justice
PwC,PwC Rwanda Limited,15,182100.96,1,Department for International Development
PwC,Baring Asset Management Ltd c/o PWC,1,130371.95,1,HM Revenue and Customs
PwC,PricewaterhouseCoopers (SA),6,121818.81,1,Department for International Development
PwC,PRICEWATERHOUSECOOPERS DRC SAS (PWC RDC SAS),4,119526.4,1,Department for International Development
PwC,PricewaterhouseCoopers Incorporated,2,101545.0,1,"Foreign, Commonwealth and Development Office (FCDO)"
PwC,"PRICEWATERHOUSECOOPERS CONSULTANTS (SHENZHEN) LIMITED, BEIJING BRANCH",1,95001.06,1,Foreign and Commonwealth Office
PwC,PRICE WATERHOUSECOOPERS DUBAI BRANCH,1,87338.28,1,"Foreign, Commonwealth and Development Office (FCDO)"
PwC,PricewaterhouseCoopers NGN,6,82395.55,1,Department for International Development
PwC,PricewaterhouseCoopers Advisory Ltd,7,75338.5,1,Department for International Development
PwC,Sojourn Hotels Ltd c/o PwC,1,75000.0,1,HM Revenue and Customs
PwC,PRICEWATERHOUSE COOPERS ASSOCIATES AFRICA LTD,2,74682.72,1,Foreign and Commonwealth Office
PwC,Price Waterhouse Coopers Llp,2,73437.5,1,Coventry and Warwickshire Partnership NHS Trust
PwC,PricewaterhouseCoopers Inc.,2,73067.16,1,Department for International Development
PwC,PRICEWATERHOUSECOOPERS PRIVATE LIMIT,2,70753.72,1,Department for International Development
PwC,PriceWaterhouseCoopers,9,69138.45,2,"Department for Digital, Culture, Media and Sport,Department for International Development"
PwC,Pricewaterhouse Coopers Llp,6,67945.7,2,"Milton Keynes Hospital NHS Foundation Trust,Rushmoor Borough Council"
PwC,Hippodrome Casino Ltd c/o PWC,1,60000.0,1,HM Revenue and Customs
PwC,PricewaterhouseCoopers (Ghana) Limited,5,55934.49,1,Department for International Development
PwC,PWC,1,51839.0,1,Cabinet Office
PwC,PRICEWATERHOUSE COOPERS PRIVATE LIMI,4,50386.16,1,Department for International Development
PwC,Ã–hrlings PricewaterhouseCoopers AB,2,43486.59,1,Department for International Development
PwC,PWC POLAND,1,36143.28,1,"Foreign, Commonwealth and Development Office (FCDO)"
PwC,PWC UK,3,35551.76,1,Department for International Development
PwC,PricewaterhouseCoopers LLP Total,1,34565.0,1,Ministry of Defence
PwC,PriceWaterhouseCoopers Afrique,1,33204.24,1,Department for International Development
PwC,PRICE WATERHOUSE COOPERS DOO BEOGRAD,1,31407.63,1,"Foreign, Commonwealth and Development Office (FCDO)"
PwC,PRICEWATERHOUSECOOPERS LLP (PWC),2,28370.4,1,Ministry of Justice
PwC,PRICEWATERHOUSECOOPERS CONSULTORES AUDITORES Y COMPANIA LIMITADA,1,28195.98,1,Foreign and Commonwealth Office
PwC,PricewaterhouseCoopers (Tanzania) Limited,1,27843.73,1,Department for International Development
PwC,PriceWaterhouseCooper,1,26150.0,1,National Offender Management Service
PwC,PricewaterhouseCoopers Ltd,1,25267.73,1,Department for International Development
PwC,PricewaterhouseCoopers Rwanda Limited,3,19669.63,1,Department for International Development
PwC,Price Waterhouse Chartered Accountants LLP,1,18950.0,1,Department for International Development
PwC,PriceWaterhouseCoopers (KENYA2),2,16898.95,1,Department for International Development
PwC,PricewaterhouseCoopers Ltd.,2,12617.73,1,Department for International Development
PwC,PriceWaterHouseCoopers,1,8354.24,1,Department for International Development
PwC,Price Waterhouse,1,7902.0,1,Department for International Development
PwC,PricewaterhouseCoopers inc,5,6461.8,1,Department for International Development
PwC,PWC Vietnam,2,2747.86,1,Department for International Development
PwC,PricewaterhouseCoopers Uganda,1,2209.91,1,Department for International Development
PwC,Price Waterhouse Cooper,1,1394.03,1,Department for International Development
PwC,PWC ACADEMY LLC 148520,1,1295.91,1,Foreign and Commonwealth Office
PwC,PRICE WATERHOUSE COOPER V,1,616.45,1,"Department for Digital, Culture, Media and Sport"
PwC,PRICEWATERHOUSE COOPER,1,594.0,1,HM Treasury
EY,ERNST & YOUNG LLP,1427,262398850.33,21,"NHS Norfolk and Suffolk ICB - 25k Expenditure Report,Portsmouth Hospital NHS Trust,NHS Thames Valley ICB,Department for Education,East Sussex Healthcare NHS Trust,The Pennine Acute Hospitals NHS Trust,Shropshire Community Health NHS Trust,Cabinet Office,Blaby District Council,Milton Keynes Hospital NHS Foundation Trust,Isle of Wight NHS Trust,Department for Work and Pensions,HM Revenue and Customs,Ministry of Defence,Department of Health and Social Care,Foreign and Commonwealth Office,HM Treasury,Home Office,Ministry of Housing, Communities and Local Government,Ministry of Justice,UK Trade and Investment"
EY,ERNST AND YOUNG LLP,683,78331291.81,5,"United Lincolnshire Hospitals NHS Trust,Department of Health and Social Care,Foreign, Commonwealth and Development Office (FCDO),Home Office,Foreign and Commonwealth Office"
EY,ERNST & YOUNG,503,56600355.73,8,"Transport for Greater Manchester,Department for Education,North Yorkshire Council,Department for Work and Pensions,Department for International Development,Foreign, Commonwealth and Development Office (FCDO),HM Revenue and Customs,Ministry of Defence"
EY,Ernst & Young LLP,182,22337408.27,9,"Department for Education,Uttlesford District Council,Cheltenham Borough Council,Office of Rail and Road,Bristol City Council,Department for Digital, Culture, Media and Sport,Department for International Development,Foreign, Commonwealth and Development Office (FCDO),HM Revenue and Customs"
EY,ERNST &  YOUNG PRIVATE LTD,302,10666659.02,1,Department for International Development
EY,Ernst And Young Llp,149,10198358.76,3,"Rushmoor Borough Council,Department for Energy Security and Net Zero,Department for Science, Innovation and Technology"
EY,Ernst and Young LLP,20,6225258.47,3,"Department for Energy Security and Net Zero,Department for International Development,Department for Science, Innovation and Technology"
EY,EY LLP,89,2275839.04,1,Department for International Development
EY,Levitt Bernstein Associates Ltd,101,1327953.81,2,"Bristol City Council,Whittington Hospital NHS Trust"
EY,ERNST AND YOUNG_001,5,1138906.81,1,Home Office
EY,Ernst & Young,29,831201.46,5,"Department for Environment, Food and Rural Affairs,Cabinet Office,Department for International Development,The Pennine Acute Hospitals NHS Trust,HM Revenue and Customs"
EY,Vale Europe Ltd c/o Ernst & Young LLP,1,485000.0,1,HM Revenue and Customs
EY,ERNST&YOUNG LLP,2,483232.8,1,NHS Business Services Authority
EY,ERNST AND YOUNG SAS,5,403891.64,2,"Foreign, Commonwealth and Development Office (FCDO),Foreign and Commonwealth Office"
EY,Ernst And  Young,3,345584.22,1,United Lincolnshire Hospitals NHS Trust
EY,Ernst & Young Llp,2,193445.22,1,Whittington Hospital NHS Trust
EY,EY PROFESSIONAL SERVICES LIMITED,1,178575.0,1,Maidstone and Tunbridge Wells NHS Trust
EY,Dolphin Drilling Ltd c/o Ernst & Young LLP,1,150000.0,1,HM Revenue and Customs
EY,HOWARD BERNSTEIN SOLICITORS,2,132346.02,1,Ministry of Justice
EY,Ernst & Young Ford Rhodes Sidat  Hyder,21,126963.9,1,Department for International Development
