firm,supplier_raw,category,scope,txns,gbp
Reed,REED IN PARTNERSHIP LTD,welfare_to_work,uk,37874,667774508.84
PwC,PWC GEC Client Account,routed_fund,uk,40,463013846.92
PwC,PRICEWATERHOUSECOOPERS,consulting,uk,2181,380465610.82
KPMG,KPMG LLP,consulting,uk,2215,290839318.53
EY,ERNST & YOUNG LLP,consulting,uk,1427,262398850.33
Deloitte,DELOITTE LLP,consulting,uk,1313,253360887.01
Deloitte,DELOITTE,consulting,uk,371,207897350.3
PwC,PRICEWATERHOUSECOOPERS LLP,consulting,uk,1247,191905245.88
PA Consulting,PA CONSULTING GROUP LTD,consulting,uk,1683,178459218.89
PwC,PWC Gec Client Account,routed_fund,uk,18,166559488.0
PA Consulting,PA CONSULTING SERVICES LTD,consulting,uk,1261,161838481.24
Deloitte,DELOITTE LLP (L),consulting,uk,400,140218628.22
Manpower,MANPOWER UK LTD,agency_staff,uk,598,109841598.98
KPMG,KPMG East Africa Limited,routed_fund,overseas_member,42,102360557.0
KPMG,KPMG DEVELOPMENT SERVICE,routed_fund,overseas_member,100,83265581.03
EY,ERNST AND YOUNG LLP,consulting,uk,683,78331291.81
McKinsey,MCKINSEY & COMPANY INC  UNITED KINGDOM,consulting,overseas_member,66,64414806.15
EY,ERNST & YOUNG,consulting,uk,503,56600355.73
KPMG,KPMG EAST AFRICA LTD,routed_fund,overseas_member,48,46607203.57
McKinsey,MCKINSEY AND CO INC UK,consulting,overseas_member,66,46393757.5
KPMG,KPMG,consulting,uk,574,43820782.44
PwC,Pricewaterhousecoopers,consulting,uk,217,42554873.26
KPMG,CSL - KPMG LLP,consulting,uk,1068,39073233.09
KPMG,KPMG LLP,routed_fund,uk,48,38965609.1
Comensura,Comensura Ltd,agency_staff,uk,227,35942311.67
McKinsey,McKinsey and Company Inc East Africa Pty Ltd,consulting,overseas_member,107,32647382.58
KPMG,KPMG EAST AFRICA LTD,consulting,overseas_member,192,32309063.37
BCG,THE BOSTON CONSULTING GROUP UK LLP,consulting,uk,25,31211510.8
McKinsey,McKinsey Development Partners,consulting,overseas_member,26,31200748.36
PwC,PRICEWATERHOUSE COOPERS LLP,consulting,uk,214,30643517.25
Reed,REED IN PARTNERSHIP HACKNEY LTD,welfare_to_work,uk,102,29538826.08
Deloitte,DELOITTE MCS LTD,consulting,uk,249,27025390.91
PA Consulting,PA CONSULTING GROUP,consulting,uk,186,25645586.62
PwC,PricewaterhouseCoopers Pvt.Ltd,consulting,uk,224,23868484.25
Reed,REED IN PARTNERSHIP,welfare_to_work,uk,554,23701173.93
Bain,BAIN & COMPANCY INC UNITED KINGDOM,consulting,overseas_member,29,23470312.15
McKinsey,McKinsey & Co  Inc UK,consulting,overseas_member,66,21654622.5
McKinsey,McKINSEY & COMPANY,consulting,uk,49,19710065.93
Deloitte,Deloitte LLP,consulting,uk,201,18187961.85
EY,Ernst & Young LLP,routed_fund,uk,90,17403784.92
KPMG,KPMG FIDUCIAIRE,consulting,overseas_member,163,17170286.38
PwC,PRICE WATERHOUSE COOPERS LLP,consulting,uk,130,14686346.81
Gartner,GARTNER UK LTD,consulting,uk,107,14368152.11
PA Consulting,PA CONSULTING SERVICES LIMITED,consulting,uk,36,13845453.43
Matrix SCM,MATRIX SCM LTD,agency_staff,uk,218,13706724.0
Deloitte,DELOITTE MCS LIMITED,consulting,uk,83,13172233.66
Deloitte,DELOITTE TOUCHE TOHAMATSU INDIA PRIVATE LTD (DTTIPL),consulting,overseas_member,114,11576191.45
Hays,HAYS SPECIALIST RECRUITMENT LTD,agency_staff,uk,4674,11543563.75
McKinsey,Mckinsey And Company Inc East Africa Pty Ltd,consulting,overseas_member,25,11151929.8
EY,ERNST &  YOUNG PRIVATE LTD,consulting,uk,302,10666659.02
Reed,REED SPECIALIST RECRUITMENT LTD,agency_staff,uk,2605,10510794.34
PA Consulting,PA Consulting Services Limited,consulting,uk,46,10362135.39
Hays,Hays Specialist Recruitment Ltd,agency_staff,uk,3458,10320880.34
KPMG,KPMG Advisory Limited,consulting,uk,75,10242164.17
EY,Ernst And Young Llp,consulting,uk,149,10198358.76
BCG,The Boston Consulting Group UK LLP,consulting,uk,41,9694077.31
KPMG,CSL KPMG LLP,consulting,uk,192,9382735.39
PwC,Pricewaterhousecoopers Llp,consulting,uk,29,9158382.91
PwC,PricewaterhouseCoopers Limited (KENYA3),consulting,overseas_member,67,7922891.21
KPMG,KPMG Advisory Limited,routed_fund,uk,35,7907224.02
PwC,PRICE WATERHOUSE COOPER LLP,consulting,uk,63,7420876.25
McKinsey,Mckinsey Development Partners Limited,consulting,overseas_member,12,7098663.27
PwC,PRICEWATERHOUSE COOPERS,consulting,uk,35,7060803.43
PwC,Pricewaterhouse Coopers LLP,consulting,uk,106,6781332.17
Deloitte,Deloitte MCS Ltd,consulting,uk,69,6626666.01
Deloitte,Deloitte Llp,consulting,uk,46,6458144.09
Deloitte,Deloitte Consulting Pvt Ltd Co.,consulting,uk,29,6350475.59
EY,Ernst and Young LLP,consulting,uk,20,6225258.47
Deloitte,DELOITTE (UGANDA) LTD,consulting,overseas_member,3,6200000.0
Deloitte,Deloitte M C S Ltd,consulting,uk,35,5985800.52
PA Consulting,PA Consulting Services Ltd,consulting,uk,45,5749473.01
PwC,PRICEWATERHOUSECOOPER LLP - SPF CLIENT MONEY,routed_fund,uk,1,5390077.0
Reed,Reed Solutions,agency_staff,uk,98,5259700.48
KPMG,Kpmg Llp,consulting,uk,46,5104764.05
Gartner,GARTNER,consulting,uk,39,5102531.56
EY,Ernst & Young LLP,consulting,uk,92,4933623.35
Deloitte,DRIVERS JONAS DELOITTE,consulting,uk,123,4737639.1
McKinsey,"McKinsey & Co, Inc UK",consulting,overseas_member,22,4577205.69
PwC,PRICEWATERHOUSECOOPERS PRIVATE LTD,consulting,uk,54,4451584.3
KPMG,KPMG (Registered),consulting,uk,122,4412456.0
Deloitte,DELOITTE AND TOUCHE LLP,consulting,uk,38,4402558.76
PwC,PRICE WATERHOUSE COOPER,consulting,uk,16,4193699.12
Manpower,MANPOWER UK LIMITED,agency_staff,uk,49,4176975.7
KPMG,KPMG (KASPL),consulting,overseas_member,62,4112379.5
KPMG,KPMG CIO ADVISORY LTD,consulting,uk,18,4108934.84
Deloitte,Deloitte Touche Tohmatsu India Private Limited,consulting,overseas_member,85,4088863.46
PwC,Pricewaterhousecoopers Pvt Ltd,consulting,uk,34,4016727.0
PwC,PRICEWATERHOUSECOOPERS DEVELOPMENT,consulting,uk,118,3864534.0
Deloitte,DELOITTE TOUCHE TOHMATSU INDIA PRIVA,consulting,overseas_member,160,3812580.23
KPMG,KPMG East Africa Limited,consulting,overseas_member,6,3779971.0
PwC,Price Waterhouse Coopers,consulting,uk,44,3527995.08
PA Consulting,PA CONSULTING,consulting,uk,20,3496942.91
