year_month,category,sector,gbp
2010-02,agency_staff,central_gov,919.4
2010-04,agency_staff,central_gov,495554.6
2010-04,agency_staff,councils,12471.1
2010-04,consulting,central_gov,13465073.34
2010-04,consulting,nhs,48537.29
2010-04,routed_fund,central_gov,2140037.33
2010-04,welfare_to_work,central_gov,3293855.0
2010-05,agency_staff,central_gov,864250.83
2010-05,agency_staff,councils,11409.7
2010-05,consulting,central_gov,8957288.72
2010-05,consulting,nhs,418405.29
2010-05,routed_fund,central_gov,1581175.09
2010-05,welfare_to_work,central_gov,2030650.05
2010-06,agency_staff,central_gov,576247.4
2010-06,agency_staff,councils,7374.7
2010-06,consulting,central_gov,13797147.32
2010-06,consulting,councils,2295.0
2010-06,routed_fund,central_gov,2720389.7
2010-06,welfare_to_work,central_gov,5752886.0
2010-07,agency_staff,central_gov,627560.6
2010-07,agency_staff,councils,11305.3
2010-07,consulting,central_gov,18192578.89
2010-07,consulting,nhs,69710.75
2010-07,routed_fund,central_gov,2496946.53
2010-07,welfare_to_work,central_gov,4305716.62
2010-08,agency_staff,central_gov,1149480.95
2010-08,agency_staff,councils,10193.3
2010-08,consulting,central_gov,9223832.41
2010-08,welfare_to_work,central_gov,1965203.25
2010-09,agency_staff,central_gov,729358.91
2010-09,agency_staff,councils,7931.1
2010-09,consulting,central_gov,13731944.41
2010-09,consulting,nhs,655978.29
2010-09,welfare_to_work,central_gov,5647996.96
2010-10,agency_staff,central_gov,564005.57
2010-10,agency_staff,councils,47331.38
2010-10,consulting,central_gov,8588971.38
2010-10,consulting,councils,73225.85
2010-10,consulting,nhs,36718.75
2010-10,routed_fund,central_gov,3495279.51
2010-10,welfare_to_work,central_gov,2969455.0
2010-11,agency_staff,central_gov,343529.27
2010-11,agency_staff,councils,53788.11
2010-11,consulting,central_gov,6833524.93
2010-11,consulting,councils,14288.8
2010-11,routed_fund,central_gov,2949419.57
2010-11,welfare_to_work,central_gov,2588124.61
2010-12,agency_staff,central_gov,963871.3
2010-12,agency_staff,councils,50803.79
2010-12,consulting,central_gov,8241136.81
2010-12,consulting,nhs,181662.5
2010-12,routed_fund,central_gov,509179.79
2010-12,welfare_to_work,central_gov,3694126.73
2011-01,agency_staff,central_gov,320654.5
2011-01,agency_staff,councils,25000.85
2011-01,consulting,central_gov,12490490.73
2011-01,consulting,councils,76190.0
2011-01,consulting,nhs,74462.1
2011-01,routed_fund,central_gov,4361775.49
2011-01,welfare_to_work,central_gov,1172949.23
2011-02,agency_staff,central_gov,313633.89
2011-02,agency_staff,councils,56653.48
2011-02,consulting,central_gov,6867492.45
2011-02,consulting,councils,850.0
2011-02,consulting,nhs,41400.0
2011-02,routed_fund,central_gov,1094389.76
2011-02,welfare_to_work,central_gov,4930555.64
2011-03,agency_staff,central_gov,783219.29
2011-03,agency_staff,councils,55562.47
2011-03,consulting,central_gov,7710606.49
2011-03,consulting,councils,89817.18
2011-03,consulting,nhs,836776.1
2011-03,routed_fund,central_gov,4486283.99
2011-03,welfare_to_work,central_gov,3003294.78
2011-04,agency_staff,central_gov,499962.17
2011-04,agency_staff,councils,45410.13
2011-04,agency_staff,other_local,25248.54
2011-04,consulting,central_gov,7825024.55
2011-04,consulting,councils,53000.0
2011-04,consulting,nhs,417400.0
2011-04,consulting,other_local,363092.76
2011-04,routed_fund,central_gov,2202888.4
2011-04,welfare_to_work,central_gov,2038617.36
2011-05,agency_staff,central_gov,485182.08
2011-05,agency_staff,councils,42923.18
2011-05,agency_staff,other_local,38379.65
2011-05,consulting,central_gov,4977045.38
2011-05,consulting,nhs,41400.0
2011-05,consulting,other_local,138008.17
2011-05,routed_fund,central_gov,3393278.95
2011-05,welfare_to_work,central_gov,2912490.82
2011-06,agency_staff,central_gov,656728.58
2011-06,agency_staff,councils,56623.92
2011-06,agency_staff,other_local,19901.74
2011-06,consulting,central_gov,9632610.27
