year,service,group,real_gbp_per_head,real_total_gbp_m
2013-14,adult_social_care,corpus_councils,173.4,182.9
2013-14,adult_social_care,england,264.44,19945.2
2013-14,children_social_care,corpus_councils,105.92,111.7
2013-14,children_social_care,england,125.54,9468.5
2013-14,cultural,corpus_councils,55.73,58.8
2013-14,cultural,england,49.18,3709.0
2013-14,environmental_regulatory,corpus_councils,84.38,89.0
2013-14,environmental_regulatory,england,84.07,6340.7
2013-14,libraries,corpus_councils,10.08,10.6
2013-14,libraries,england,14.6,1100.9
2013-14,planning_development,corpus_councils,27.66,29.2
2013-14,planning_development,england,22.92,1728.4
2013-14,street_cleansing,corpus_councils,30.11,31.8
2013-14,street_cleansing,england,13.01,981.2
2013-14,total_service_expenditure,corpus_councils,1087.57,1147.2
2013-14,total_service_expenditure,england,1385.62,104509.8
2018-19,adult_social_care,corpus_councils,241.51,413.7
2018-19,adult_social_care,england,260.51,20404.4
2018-19,children_social_care,corpus_councils,117.78,201.7
2018-19,children_social_care,england,151.92,11899.6
2018-19,cultural,corpus_councils,35.51,60.8
2018-19,cultural,england,34.56,2707.3
2018-19,environmental_regulatory,corpus_councils,82.08,140.6
2018-19,environmental_regulatory,england,74.14,5806.8
2018-19,libraries,corpus_councils,10.72,18.4
2018-19,libraries,england,10.57,828.0
2018-19,planning_development,corpus_councils,19.8,33.9
2018-19,planning_development,england,16.67,1305.6
2018-19,street_cleansing,corpus_councils,12.63,21.6
2018-19,street_cleansing,england,11.32,887.0
2018-19,total_service_expenditure,corpus_councils,1215.05,2081.2
2018-19,total_service_expenditure,england,1221.59,95682.6
2024-25,adult_social_care,corpus_councils,333.31,520.5
2024-25,adult_social_care,england,321.37,25164.5
2024-25,children_social_care,corpus_councils,151.66,236.8
2024-25,children_social_care,england,198.06,15508.8
2024-25,cultural,corpus_councils,52.82,82.5
2024-25,cultural,england,32.39,2536.1
2024-25,environmental_regulatory,corpus_councils,105.95,165.5
2024-25,environmental_regulatory,england,77.01,6030.2
2024-25,libraries,corpus_councils,10.51,16.4
2024-25,libraries,england,8.98,703.5
2024-25,planning_development,corpus_councils,34.47,53.8
2024-25,planning_development,england,22.22,1740.1
2024-25,street_cleansing,corpus_councils,15.66,24.5
2024-25,street_cleansing,england,11.62,909.7
2024-25,total_service_expenditure,corpus_councils,1454.59,2271.5
2024-25,total_service_expenditure,england,1385.25,108471.5
