amount,firm,category,supplier_raw,publisher,date,expense_type,expense_area,source_file
44014030.69,Deloitte,consulting,DELOITTE,Department of Health and Social Care,2021-06-28,Consultancy/Professional Advice,Global Health,b71ecc9f4673d9288e00d24a8575c20da6eb1b00.bin
42048977.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2016-01-05,Project delivery costs â€“ supplier services,Policy Division,235267d6a3ddbd753bb9c85acacdc23f35056112.bin
42048977.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2016-01-05,Project delivery costs â€“ supplier services,Policy Division,235267d6a3ddbd753bb9c85acacdc23f35056112.bin
35196154.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2017-01-04,Fund monies to be managed and dispersed by the supplier,Policy Division,8b788d0c9717513e9827d8f655486923123a0c1d.bin
34843243.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2014-12-15,Project delivery costs â€“ supplier services,Policy Division,c2061ceabf345111f6e7f949a128fa63d5acc9ee.bin
32486027.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2013-11-21,Project delivery costs - supplier services,Policy Division,2ee8eb9082b381bbdce900c17abc46c8562ed287.bin
28932011.0,PwC,routed_fund,PWC Gec Client Account,Department for International Development,2020-01-03,Fund monies to be managed and dispersed by the supplier,Policy Division,81e2ce61df17c8b47ceacdc798bdfa2fd0e65932.bin
24606062.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2019-05-10,Fund monies to be managed and dispersed by the supplier,Policy Division,52c3dade8dbd63f817bffefccc22f47eeb3a4959.bin
21695144.0,PwC,routed_fund,PWC Gec Client Account,Department for International Development,2020-05-14,Fund monies to be managed and dispersed by the supplier,Policy Division,8a1a76bcdab3ed1de5d9f65279975f8ecc2bd811.bin
21373410.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2019-02-12,Fund monies to be managed and dispersed by the supplier,Policy Division,f4235ae3afa8a352bf77c8572c68da023eb70147.bin
20263517.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2018-11-14,Fund monies to be managed and dispersed by the supplier,Policy Division,ba9fc8441669f9a0c32597e01e1bf4209feb0345.bin
19419273.51,Deloitte,consulting,DELOITTE,Department of Health and Social Care,2020-07-22,Delivery of NHS Transaction related operational efficiency,GLOBAL AND PUBLIC HEALTH,905abe3fa890063f6253ed435f70a4ed28886041.bin
17625948.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2019-08-13,Fund monies to be managed and dispersed by the supplier,Policy Division,6c435db5782fbcdaf192d9a9387437f4c0809059.bin
16915784.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2016-08-03,Fund monies to be managed and dispersed by the supplier,Policy Division,7a0cc0e204d96b1884a80cdd26888ffe5bcb7966.bin
16890075.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2016-11-07,Fund monies to be managed and dispersed by the supplier,Policy Division,ab96ef58bd820d29498864acf1a235d39ded1bf6.bin
16040089.0,PwC,routed_fund,PWC Gec Client Account,"Foreign, Commonwealth and Development Office (FCDO)",2021-01-14,None,FCDO,fdc89abdea652e6a6560601317188280a918e5da.bin
15959626.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2014-05-13,Project delivery costs - supplier services,Policy Division,c535d7975b5043770a495e2cd4e57dd948b03ec9.bin
15740218.0,PwC,routed_fund,PWC GEC Client Account,Department for International Development,2015-11-10,Project delivery costs â€“ supplier services,Policy Division,567d28d6b9df4641aaebb53e7e5eb935873c72a2.bin
