firm_matched,supplier_raw,txns,gbp,reason
Reed,Alec Reed Academy,159,42931663.06,"academy school (named after Reed founder), DfE grant funding"
Bain,MCBAINS LTD,229,23600669.45,"McBains, construction consultancy, unrelated"
Reed,The Alec Reed Academy,153,16012007.55,"academy school, DfE grant funding"
Bain,Baines' Endowed Primary School & Children's Centre,77,8667639.48,school
Reed,Reedswood E-ACT Academy,77,8549246.5,school
Reed,Reedswood E-ACT Primary School,139,5164660.5,school
Reed,Reed Business School Ltd,65,2669630.65,"Reed family business school; DfE rows are grant funding, not services"
Matrix SCM,MATRIX BOOKING LTD,12,1631525.87,"Matrix-named firm, not Matrix SCM"
Manpower,Manpower Direct UK Ltd,24,1539177.04,"ManpowerDirect UK, security guarding firm, not ManpowerGroup"
Bain,BAINES SIMMONS LIMITED,49,1370202.66,"aviation safety consultancy, unrelated"
Reed,Freedom Group Of Companies Ltd,5,1330328.17,"'REED' inside Freedom/Freedman/etc, unrelated"
EY,Levitt Bernstein Associates Ltd,101,1327953.81,architects; 'ERNST' substring inside 'Bernstein'
Reed,Genus Breeding Ltd.,29,1213382.46,cattle breeding
Reed,WOMENS INTERNATIONAL LEAGUE FOR PEACE AND FREEDOM,8,1179614.45,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REED EXHIBITIONS LTD,42,1168080.75,"RELX (Reed Elsevier) exhibitions, different company"
Bain,NORBAIN SD LTD (CO REG 06248590),20,1120955.09,CCTV distributor
PwC,Phoenix Group Holdings Ltd c/o PWC,1,1100000.0,payment to Phoenix Group via PwC as agent (c/o)
Hays,HAYS TRAVEL LIMITED,29,1000810.32,"Hays Travel (Sunderland travel agent), different company"
Reed,Breedon Southern Ltd,22,830112.68,aggregates
Reed,FREEDOM HOME CARE LTD,28,818259.55,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REEDS SOLICITORS LTD,15,793754.52,solicitors
Bain,NORBAIN SD LTD,10,714299.39,CCTV distributor
Reed,STERNBERG REED SOLICITORS,14,607615.34,solicitors
KPMG,Hiscox PLC c/o KPMG LLP,2,550000.0,payment to Hiscox via KPMG (c/o)
Bain,McBains Ltd,10,542751.77,"McBains, construction consultancy, unrelated"
EY,Vale Europe Ltd c/o Ernst & Young LLP,1,485000.0,payment to Vale Europe via EY (c/o)
Manpower,MANPOWER DIRECT (UK) LTD,13,406575.16,"ManpowerDirect UK, security guarding firm, not ManpowerGroup"
Reed,FREEDOM TAXIS HARROGATE LTD,126,379736.33,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REED LOCATION,568,375197.9,"Greenwich housing disturbance/relocation payments, not the recruiter"
Matrix SCM,MATRIX RESEARCH & CONSULTANCY LTD,7,325798.18,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX DISPLAY SYSTEMS LTD,7,313741.0,"Matrix-named firm, not Matrix SCM"
PwC,St. George's University  c/o PWC,1,300000.0,payment to St George's University via PwC (c/o)
Reed,Creedy Court,27,297180.5,care home/venue
KPMG,Delinian Ltd c/o KPMG Law,2,296255.0,payment to Delinian via KPMG Law (c/o)
Matrix SCM,Biomatrix Water Solutions Limited,4,280840.56,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX EVIDENCE LTD,14,268721.18,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Matrix Moulding Systems Ltd,7,264274.12,"Matrix-named firm, not Matrix SCM"
Reed,THE FREEDOM FUND (G),4,262775.0,"'REED' inside Freedom/Freedman/etc, unrelated"
KPMG,CITY OF LONDON KPMG ACADEMY HACKNEY,5,251336.75,"academy school (KPMG-sponsored), not KPMG"
PwC,RPM Ltd c/o PWC LLP,1,250000.0,payment to RPM Ltd via PwC (c/o)
Reed,The Freedom Fund,2,250000.0,"'REED' inside Freedom/Freedman/etc, unrelated"
PwC,Worldpay (UK) c/o PWC LLP,1,240989.8,payment to Worldpay via PwC (c/o)
Reed,FREEDOM TRANSPORT SOLUTIONS LTD,85,235625.94,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REED BUSINESS INFORMATION LTD,24,233726.22,RELX publishing
Matrix SCM,MATRIX ACADEMY TRUST,3,232900.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Matrix Booking Ltd,3,228880.61,"Matrix-named firm, not Matrix SCM"
Matrix SCM,CASE MATRIX NETWORK,6,226555.75,"Matrix-named firm, not Matrix SCM"
Reed,Breedon Cement Ltd,2,220197.01,aggregates
Bain,COBAINS SOLICITORS,7,219405.96,solicitors
KPMG,Associated Newspapers Ltd c/o KPMG,1,207770.22,payment to Associated Newspapers via KPMG (c/o)
Matrix SCM,KMATRIX DATA SERVICES LTD,7,187000.0,"Matrix-named firm, not Matrix SCM"
Reed,FREEDOM COMMUNICATIONS (UK) LTD,6,179223.53,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,FREEDOM COMMUNICATIONS (IUK) LTD,6,174047.5,"'REED' inside Freedom/Freedman/etc, unrelated"
Matrix SCM,MATRIX BOOKING LIMITED,5,173656.08,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX INSIGHT,4,162352.86,"Matrix-named firm, not Matrix SCM"
Matrix SCM,PURPLE MATRIX LTD,4,161952.86,"Matrix-named firm, not Matrix SCM"
EY,Dolphin Drilling Ltd c/o Ernst & Young LLP,1,150000.0,payment to Dolphin Drilling via EY (c/o)
Bain,Baines' Endowed Primary School,3,147576.0,school
Reed,CREED LANE LAW GROUP,2,147047.44,law firm
Matrix SCM,MATRIX CHAMBERS,5,145597.0,"Matrix-named firm, not Matrix SCM"
Bain,Baines School,2,136462.0,school
Reed,REED BUSINESS INFORMATION,13,132501.49,RELX publishing
EY,HOWARD BERNSTEIN SOLICITORS,2,132346.02,solicitors; Bernstein false match
PwC,Baring Asset Management Ltd c/o PWC,1,130371.95,payment to Barings via PwC (c/o)
KPMG,Poundland Ltd. c/o KPMG Law,1,130000.0,payment to Poundland via KPMG Law (c/o)
Reed,REED BUSINESS INFORMATION (EAST GRIN,13,127062.0,RELX publishing
KPMG,HBOS PLC & Lloyds Bank c/o KPMG LLP,1,125000.0,payment to HBOS/Lloyds via KPMG (c/o)
Bain,Bell & Bain Ltd,1,124897.7,"printers, Glasgow"
KPMG,Delinian Ltd. c/o KPMG Law,1,114400.0,payment to Delinian via KPMG Law (c/o)
Deloitte,Rank Group PLC c/o Deloittes,1,111892.0,payment to Rank Group via Deloitte as agent (c/o)
Reed,Lexis Nexis Reed Elsevier (Uk) Ltd T/A,6,111864.0,RELX / LexisNexis
Bain,THE GOVERNORS OF BAINES SCHOOL GRANT ACCOUNT,2,110405.0,school grant account
Reed,FREEDOM GROUP,3,109312.54,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,REED EXHIBITIONS FZ-LLC,3,102063.23,RELX exhibitions
Reed,Reed Exhibitions Ltd,5,98746.44,RELX exhibitions
Deloitte,Wm Morrisons Supermarkets PLC c/o Deloitte LLP,1,95000.0,payment to Morrisons via Deloitte as agent (c/o)
Reed,MESSRS CREED LANE LAW GROUP#EC4V 5BR,2,91243.45,law firm
Bain,BAINS SOLICITORS,3,90000.0,solicitors
Matrix SCM,MATRIX SECURITY WATCHDOG,81,87615.44,"Matrix-named firm, not Matrix SCM"
Reed,WOMENS INTERNATIONAL LEAGUE FOR PEACE + FREEDOM,2,85502.55,"'REED' inside Freedom/Freedman/etc, unrelated"
Matrix SCM,Matrix Academy Trust,1,80000.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX BOOKING LIMIT,2,79545.6,"Matrix-named firm, not Matrix SCM"
Matrix SCM,KNOWLEDGE MATRIX LTD,5,79000.0,"Matrix-named firm, not Matrix SCM"
Reed,Fourth Freedom Forum Inc.,3,76852.67,"'REED' inside Freedom/Freedman/etc, unrelated"
PwC,Sojourn Hotels Ltd c/o PwC,1,75000.0,payment to Sojourn Hotels via PwC (c/o)
Matrix SCM,Matrix Development Consultants,2,73771.76,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Matrix Evidence Ltd,2,73615.68,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Matrix Control Solutions Limited,8,70225.8,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX CHAMBERS LTD,2,65280.0,"Matrix-named firm, not Matrix SCM"
Deloitte,Deloitte Real Estate (LLP No 3 a/c),2,64946.4,"client-money account, likely routed payment"
Bain,THE GOVERNORS OF BAINES SCHOOL GRANT ACC,1,61431.8,school grant account
PwC,Hippodrome Casino Ltd c/o PWC,1,60000.0,payment to Hippodrome via PwC (c/o)
Bain,GILES D BAIN,1,57312.0,individual
Reed,SABINA BOWLER-REED,2,57262.64,individual
Reed,Rare Breeds Survival Trust,3,57000.0,charity
Matrix SCM,CAMBRIDGE MATRIX LIMITED,2,54988.0,"Matrix-named firm, not Matrix SCM"
Reed,WILLIAM REED BUSINESS MEDIA LTD,12,52122.0,"William Reed, trade publisher, unrelated"
EY,ERNST HEINE,1,43826.09,individual/unrelated; not EY
Bain,BAINBRIDGE BUILDING CONTRACT,1,42294.65,builder
Reed,Fiona Reed Associates Ltd,1,41400.0,unrelated consultancy (individual)
Reed,Freedom Fire  Security Maintenance Ltd,1,40440.0,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,STERNBERG REED,1,40165.08,solicitors
Deloitte,WGIS c/o Deloitte Legal,1,40000.0,payment to WGIS via Deloitte Legal as agent (c/o)
EY,HOWARD BERNSTEIN SOLICITORS [ADVOCATE],1,38963.41,solicitors; Bernstein false match
Matrix SCM,MATRIX GLOBAL NETWORKS,22,37549.64,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Bellamatrix ICt Foundation,1,36706.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX RESEARCH AND CONSULTANCY LTD,1,35177.15,"Matrix-named firm, not Matrix SCM"
PwC,PricewaterhouseCoopers LLP Total,1,34565.0,"ledger 'Total' artifact row, double-count risk"
Reed,STERNBERG REED SOLICITORS-ADVOCATE,1,34261.74,solicitors
Deloitte,DELOITTE LLP NO 2 ACCOUNT,1,34050.0,"client-money account, likely routed payment"
Reed,REED EXPOSITIONS FRANCE,2,33734.35,RELX exhibitions
Reed,MESSRS FREEDMAN SHARMAN & COMPANY#DX 45603,1,33199.01,"'REED' inside Freedom/Freedman/etc, unrelated"
Matrix SCM,MATRIX LAW,1,33000.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX PRINT CONSULTANTS LIMITED,8,32225.0,"Matrix-named firm, not Matrix SCM"
Reed,CREED LANE LAW GROUP-ADVOCATE,1,31337.62,law firm
Matrix SCM,GEOMATRIX EARTH SCIENCE LIMITED,1,30898.8,"Matrix-named firm, not Matrix SCM"
Reed,RARE BREEDS SURVIVAL TRUST,1,30000.0,charity
Matrix SCM,MATRIX EVIDENCE LTD#RB30510167,1,29779.5,"Matrix-named firm, not Matrix SCM"
Reed,Reed Business Information Ltd.,1,29375.0,RELX publishing
Matrix SCM,MATRIX INSIGHT LTD,1,28911.0,"Matrix-named firm, not Matrix SCM"
Matrix SCM,Enable Infomatrix Ltd,1,28860.94,"Matrix-named firm, not Matrix SCM"
Bain,Bainbridge Building Contractors,1,28296.44,builder
Reed,MICHAEL J REED LTD,1,28140.0,unrelated
Matrix SCM,MATRIX TRAFFIC & TRANSPORT DATA LTD,39,28120.0,"Matrix-named firm, not Matrix SCM"
Reed,GISHA - Legal Centre For Freedom of Movement,1,27629.33,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,SHREEDAR MOTORS LIMITED,1,27309.51,"motors, SHREEDar false match"
Reed,GRAMPOUND-WITH-CREED COFE SCHOOL,1,25154.1,school
Reed,Reed Elsevier (UK) Ltd,1,25030.17,RELX
Hays,HAYSFIELD GIRLS SCHOOL,1,25000.0,school
Reed,GRAMPOUND WITH CREED C OF E PRIMARY SCHOOL,1,25000.0,school
Bain,GILES BAIN,17,24204.0,individual
Hays,Chaysestar Entertainment CIC,5,22101.16,unrelated CIC
Reed,FREEDMAN&TURNER,9,21679.01,"'REED' inside Freedom/Freedman/etc, unrelated"
Bain,BIRCH BAINBRIDGE BUILDING & INTERIORS,3,21558.81,builder
Matrix SCM,Purple Matrix Ltd,3,20430.0,"Matrix-named firm, not Matrix SCM"
Reed,Freedom Health Centre,1,17329.42,"'REED' inside Freedom/Freedman/etc, unrelated"
Reed,Freedom of Speech Ltd,14,16995.25,"'REED' inside Freedom/Freedman/etc, unrelated"
Matrix SCM,STRATAMATRIX LTD,15,12755.26,"Matrix-named firm, not Matrix SCM"
Matrix SCM,MATRIX PRINT CONSULTANTS,3,12045.0,"Matrix-named firm, not Matrix SCM"
Reed,REED EXPO FRANCE,4,12036.52,RELX exhibitions
Reed,Reed Engineering Building Services L,3,11782.32,building services
Reed,H&H REEDS PRINTERS LTD,14,11708.0,printers
Matrix SCM,Matrix Vocational Associates Limited,13,11070.0,"Matrix-named firm, not Matrix SCM"
Hays,HAYSAM ABOU-DOMA,5,10997.0,individual
Reed,Freedom Electronics,5,10867.29,"'REED' inside Freedom/Freedman/etc, unrelated"
Bain,BAINBRIDGE PARISH COUNCIL,4,10512.5,parish council
Reed,REEDERJ VLAUN HOLDING B.V. /V&S CHARTERS,2,10000.0,Dutch charter firm
Reed,REEDMAN SERVICES LTD,12,9876.85,unrelated
Reed,Reeds Solicitors LLP,5,9785.96,solicitors
Reed,Reed Business Informations Ltd,6,9383.23,RELX publishing
