fy,category,sector,gbp
2009-10,agency_staff,central_gov,919.4
2010-11,agency_staff,central_gov,7731367.11
2010-11,agency_staff,councils,349825.28
2010-11,consulting,central_gov,128100087.88
2010-11,consulting,councils,256666.83
2010-11,consulting,nhs,2363651.07
2010-11,routed_fund,central_gov,25834876.76
2010-11,welfare_to_work,central_gov,41354813.87
2011-12,agency_staff,central_gov,7063076.7
2011-12,agency_staff,councils,2566583.19
2011-12,agency_staff,other_local,477234.36
2011-12,consulting,central_gov,115643617.83
2011-12,consulting,councils,603237.6
2011-12,consulting,nhs,3383970.0
2011-12,consulting,other_local,2250090.94
2011-12,routed_fund,central_gov,29708523.48
2011-12,welfare_to_work,central_gov,18886632.76
2012-13,agency_staff,central_gov,5567101.26
2012-13,agency_staff,councils,21046063.45
2012-13,agency_staff,other_local,370572.41
2012-13,consulting,central_gov,163835959.31
2012-13,consulting,councils,375172.36
2012-13,consulting,nhs,1304511.32
2012-13,consulting,other_local,3329200.26
2012-13,routed_fund,central_gov,26570928.44
2012-13,welfare_to_work,central_gov,13693146.43
2013-14,agency_staff,central_gov,4037817.03
2013-14,agency_staff,councils,27182534.48
2013-14,agency_staff,other_local,593331.27
2013-14,consulting,central_gov,222087960.06
2013-14,consulting,councils,527823.55
2013-14,consulting,nhs,3569771.47
2013-14,consulting,other_local,2900485.17
2013-14,routed_fund,central_gov,69320373.75
2013-14,welfare_to_work,central_gov,23271851.82
2014-15,agency_staff,central_gov,3449694.02
2014-15,agency_staff,councils,17959164.32
2014-15,agency_staff,other_local,560408.21
2014-15,consulting,central_gov,268378130.84
2014-15,consulting,councils,416711.35
2014-15,consulting,nhs,4420121.84
2014-15,consulting,other_local,1483267.5
2014-15,routed_fund,central_gov,85395212.82
2014-15,welfare_to_work,central_gov,18303548.0
2015-16,agency_staff,central_gov,2610542.98
2015-16,agency_staff,councils,24060273.54
2015-16,agency_staff,nhs,74062.2
2015-16,agency_staff,other_local,710229.83
2015-16,consulting,central_gov,250260148.76
2015-16,consulting,councils,362601.52
2015-16,consulting,nhs,4125906.0
2015-16,consulting,other_local,2305403.39
2015-16,routed_fund,central_gov,139278814.37
2015-16,welfare_to_work,central_gov,9243151.44
2016-17,agency_staff,central_gov,2656669.99
2016-17,agency_staff,councils,16566627.07
2016-17,agency_staff,nhs,6511.26
2016-17,agency_staff,other_local,629983.08
2016-17,consulting,central_gov,206657947.38
2016-17,consulting,councils,299250.99
2016-17,consulting,nhs,3190167.12
2016-17,consulting,other_local,2651553.84
2016-17,routed_fund,central_gov,126189856.47
2016-17,welfare_to_work,central_gov,5145719.0
2017-18,agency_staff,central_gov,3410576.56
2017-18,agency_staff,councils,1033927.21
2017-18,agency_staff,nhs,15689.43
2017-18,agency_staff,other_local,717403.11
2017-18,consulting,central_gov,208487362.94
2017-18,consulting,councils,109782.4
2017-18,consulting,nhs,2066069.0
2017-18,consulting,other_local,2324911.8
2017-18,routed_fund,central_gov,50277460.65
2017-18,welfare_to_work,central_gov,8798159.47
2018-19,agency_staff,central_gov,1175737.5
2018-19,agency_staff,councils,97495.45
2018-19,agency_staff,nhs,49660.46
2018-19,agency_staff,other_local,719618.0
2018-19,consulting,central_gov,186553568.4
2018-19,consulting,councils,85577.0
2018-19,consulting,nhs,7143494.92
2018-19,consulting,other_local,3158091.81
2018-19,routed_fund,central_gov,97619448.47
2018-19,welfare_to_work,central_gov,18504285.77
2019-20,agency_staff,central_gov,527741.29
2019-20,agency_staff,councils,62275.18
2019-20,agency_staff,nhs,21656.77
2019-20,agency_staff,other_local,803652.42
2019-20,consulting,central_gov,136975096.87
2019-20,consulting,councils,221495.9
2019-20,consulting,nhs,1381298.54
2019-20,consulting,other_local,2255503.34
2019-20,routed_fund,central_gov,124683677.1
2019-20,welfare_to_work,central_gov,13338261.12
2020-21,agency_staff,central_gov,7016862.91
2020-21,agency_staff,councils,26386.25
2020-21,agency_staff,nhs,34166.53
2020-21,agency_staff,other_local,295265.52
2020-21,consulting,central_gov,322760096.63
2020-21,consulting,councils,762097.34
2020-21,consulting,nhs,1680643.12
2020-21,consulting,other_local,2613816.38
2020-21,routed_fund,central_gov,89889305.13
2020-21,welfare_to_work,central_gov,35651201.0
2021-22,agency_staff,central_gov,3975863.92
2021-22,agency_staff,councils,23845.0
2021-22,agency_staff,nhs,94174.08
2021-22,agency_staff,other_local,537781.08
2021-22,consulting,central_gov,347498957.37
2021-22,consulting,councils,105415.0
2021-22,consulting,nhs,1782545.51
2021-22,consulting,other_local,2823154.14
2021-22,routed_fund,central_gov,69592696.95
2021-22,welfare_to_work,central_gov,112445568.0
2022-23,agency_staff,central_gov,1061921.77
2022-23,agency_staff,councils,6959122.61
2022-23,agency_staff,nhs,36207.12
2022-23,agency_staff,other_local,697833.11
2022-23,consulting,central_gov,120002796.08
2022-23,consulting,councils,1011343.47
2022-23,consulting,nhs,2558508.0
2022-23,consulting,other_local,4031016.37
2022-23,routed_fund,central_gov,5720612.0
2022-23,welfare_to_work,central_gov,120736236.0
2023-24,agency_staff,central_gov,2941712.21
2023-24,agency_staff,councils,5462397.88
2023-24,agency_staff,other_local,849394.15
2023-24,consulting,central_gov,122153794.41
2023-24,consulting,councils,2921397.31
2023-24,consulting,nhs,2475832.22
2023-24,consulting,other_local,3360210.64
2023-24,routed_fund,central_gov,49500.0
2023-24,welfare_to_work,central_gov,87907310.0
2024-25,agency_staff,central_gov,1998448.08
2024-25,agency_staff,councils,16783575.45
2024-25,agency_staff,other_local,784567.31
2024-25,consulting,central_gov,109373189.11
2024-25,consulting,councils,1489330.34
2024-25,consulting,nhs,1446964.35
2024-25,consulting,other_local,2530002.14
2024-25,welfare_to_work,central_gov,93405253.0
2025-26,agency_staff,central_gov,348144.18
2025-26,agency_staff,councils,20734820.63
2025-26,agency_staff,nhs,231954.0
2025-26,agency_staff,other_local,832324.4
2025-26,consulting,central_gov,108374141.98
2025-26,consulting,councils,1037915.61
2025-26,consulting,nhs,1968543.54
2025-26,consulting,other_local,3843744.22
2025-26,welfare_to_work,central_gov,86799503.11
2026-27,agency_staff,central_gov,130274.0
2026-27,agency_staff,councils,3253475.8
2026-27,agency_staff,nhs,64240.0
2026-27,consulting,central_gov,25540915.94
2026-27,consulting,councils,256897.0
2026-27,consulting,nhs,980700.0
2026-27,welfare_to_work,central_gov,20555119.14
unknown,agency_staff,central_gov,4342769.04
unknown,consulting,central_gov,23599271.59
unknown,consulting,councils,1375.0
unknown,consulting,nhs,1034873.62
