fy,firm,category,sector,gbp,txns
2009-10,Adecco,agency_staff,central_gov,919.4,1
2010-11,Adecco,agency_staff,central_gov,828560.09,90
2010-11,Deloitte,consulting,central_gov,24093200.22,240
2010-11,EY,consulting,central_gov,9364898.92,84
2010-11,EY,consulting,nhs,1875301.0,8
2010-11,Gartner,consulting,central_gov,1563780.68,27
2010-11,Hays,agency_staff,central_gov,2144279.36,833
2010-11,Hays,agency_staff,councils,312586.61,359
2010-11,KPMG,consulting,central_gov,21000321.31,154
2010-11,KPMG,consulting,councils,8817.18,1
2010-11,KPMG,consulting,nhs,350611.87,8
2010-11,KPMG,routed_fund,central_gov,25834876.76,27
2010-11,Manpower,agency_staff,central_gov,635005.15,22
2010-11,McKinsey,consulting,central_gov,1783512.5,11
2010-11,Michael Page,agency_staff,central_gov,375204.24,151
2010-11,Michael Page,agency_staff,councils,16649.67,14
2010-11,PA Consulting,consulting,central_gov,25885355.58,279
2010-11,PwC,consulting,central_gov,44409018.67,364
2010-11,PwC,consulting,councils,247849.65,11
2010-11,PwC,consulting,nhs,137738.2,5
2010-11,Reed,agency_staff,central_gov,3748318.27,1101
2010-11,Reed,agency_staff,councils,20589.0,36
2010-11,Reed,welfare_to_work,central_gov,41354813.87,172
2011-12,Adecco,agency_staff,central_gov,1090415.18,61
2011-12,Adecco,agency_staff,councils,7712.54,8
2011-12,Comensura,agency_staff,other_local,304850.01,53
2011-12,Deloitte,consulting,central_gov,13624288.32,225
2011-12,Deloitte,consulting,nhs,40000.0,1
2011-12,EY,consulting,central_gov,11453065.49,181
2011-12,EY,consulting,nhs,2935078.0,10
2011-12,EY,consulting,other_local,1339400.22,48
2011-12,Gartner,consulting,central_gov,658160.0,17
2011-12,Hays,agency_staff,central_gov,2412896.1,1452
2011-12,Hays,agency_staff,councils,440948.49,479
2011-12,Hays,agency_staff,other_local,172384.35,62
2011-12,KPMG,consulting,central_gov,21383897.72,244
2011-12,KPMG,consulting,nhs,319830.0,9
2011-12,KPMG,consulting,other_local,910690.72,55
2011-12,KPMG,routed_fund,central_gov,29708523.48,39
2011-12,Manpower,agency_staff,central_gov,39728.53,11
2011-12,Manpower,agency_staff,councils,2078777.02,9
2011-12,McKinsey,consulting,central_gov,1140000.0,7
2011-12,Michael Page,agency_staff,central_gov,394475.42,189
2011-12,Michael Page,agency_staff,councils,16186.33,18
2011-12,PA Consulting,consulting,central_gov,29108173.66,272
2011-12,PA Consulting,consulting,councils,16632.0,1
2011-12,PwC,consulting,central_gov,38276032.64,343
2011-12,PwC,consulting,councils,586605.6,16
