year_month,txns,gbp,expense_types
2020-03,1,500.0,Room Hire
2020-04,7,97824.0,TPP - Accommodation Based Support
2020-05,12,144986.7,TPP - Accommodation Based Support
2020-06,13,155596.24,TPP - Accommodation Based Support
2020-07,13,159901.84,TPP - Accommodation Based Support
2020-08,11,136778.01,TPP - Accommodation Based Support
2020-09,15,114632.49,TPP - Accommodation Based Support
2020-10,12,87986.83,TPP - Accommodation Based Support
2020-11,6,197891.66,TPP - Accommodation Based Support
2022-06,2,1500.0,Services - Supplies and Services to service users
2022-07,3,1164.09,TPP - Accommodation Based Support
2022-11,1,900.0,Room Hire
2023-01,2,4200.0,Room Hire
2023-05,1,3825.0,Room Hire
2023-11,8,537529.83,TPP – Supported Accommodation
2023-12,5,1200466.5,Room Hire
2024-01,4,157571.0,Room Hire
2024-02,9,523405.0,Room Hire
2024-03,8,721855.5,Room Hire
2024-04,3,36547.5,Room Hire
2024-08,1,793.33,Accommodation Costs
2025-08,1,668.34,R&M - Departmental response (external)
