supplier,txns,gbp,first_month,last_month
CONNOLLY & CALLAGHAN LTD T/A BRISTOL FAMILY HOUSING,6658,17332607.4,2020-01,2026-05
ALEX FRY RENTAL PROPERTIES LTD,3321,15996187.82,2020-01,2026-05
CENTENNIAL PROPERTY LTD T/A THE HOUSING NETWORK,176,10429231.22,2020-12,2026-05
HOMES 4 ALL,320,9113571.77,2020-01,2026-05
DESIGNZ LTD,3862,6457684.33,2020-01,2026-05
TOP DRAWER PROPERTIES,2759,3794342.98,2020-01,2026-05
GLR CARE AND SUPPORT LIMITED,413,2896474.99,2023-08,2026-05
ASHLEY GUEST HOUSE LTD,1210,2687149.19,2020-01,2026-05
ACCESS 2 HOMES LTD,162,2642479.11,2023-12,2026-05
THE BRISTOL PROPERTY SHOP LIMITED,1533,2505552.3,2020-11,2026-04
ASHLEY COMMUNITY & HOUSING LTD,423,2202227.28,2020-01,2026-05
MOLLITIAM HOUSING LTD,160,2168310.75,2023-09,2026-05
BELL HILL HOUSING LTD,936,1459603.82,2020-03,2026-05
AUVELLE LIMITED,99,1322053.1,2024-04,2026-05
PRO ACTIVE HOMES LTD,280,833509.79,2020-01,2026-05
MANOR PROPERTIES (BRISTOL) LIMITED,44,736457.26,2023-05,2026-05
TRAVELPERK UK IRL LTD,2,653788.57,2024-06,2024-06
CARIDON PROPERTY LTD,48,565376.4,2022-07,2026-05
UNIVERSITY HOSPITALS BRISTOL AND NHS FOUNDATION TRUST,6,476000.0,2025-01,2026-02
ELIM HOUSING ASSOCIATION,24,299000.0,2020-02,2026-04
TEA ACCOMMODATIONS LIMITED,12,144037.0,2025-05,2026-05
ST MUNGO COMMUNITY HOUSING ASSN.,10,141707.67,2020-03,2020-11
PRO ACTIVE HOMES LTD (TERRY PINCOTT),8,105827.03,2025-08,2026-01
SEARCH & FIND PROPERTY SERVICES LTD,31,98852.13,2024-08,2025-12
MILLPOND HOUSING LTD,26,98608.6,2025-04,2026-05
CARIDON PROPERTY,18,98273.0,2020-06,2020-11
SOUTH GLOUCESTERSHIRE COUNCIL (MAIN ORDER ACCOUNT),18,96969.4,2020-11,2026-02
BRISTOL HOUSING & SUPPORT LTD,82,94090.0,2020-01,2020-06
HOME TURF LETTINGS,14,74696.8,2022-08,2025-08
REDACTED,5,42255.24,2020-04,2025-09
SHCE LTD,1,38897.02,2023-11,2023-11
THERESA PROPERTY RENTALS LTD,8,35364.5,2025-11,2026-04
BOSUN CARE LIMITED,32,27827.9,2025-02,2026-05
