expense_type,publisher,n,amount
"('T445) 28 July, Hotel Accommodation for 9 people, bed and breakfast rate","Department for Environment, Food and Rural Affairs",1,576.0
1 Person 13 nights BEST WESTERN HOTEL FT. COLLINS on Funded Project,"Department for Environment, Food and Rural Affairs",1,594.57
1 Person 5 nights Sokos hotel Helsinki on funded project,"Department for Environment, Food and Rural Affairs",1,533.66
1 Person Hotel Accommodation in Denver on Funded Project,"Department for Environment, Food and Rural Affairs",1,630.11
1 Person hotel room whilst attending conference in Denver,"Department for Environment, Food and Rural Affairs",1,552.54
"1 bed and breakfast for 3 nights, 2 evening meals, cement course Bamford","Department for Environment, Food and Rural Affairs",1,641.15
1 night for 6 staff bed and breakfast Customer Excellence Workshop Bristol.,"Department for Environment, Food and Rural Affairs",1,644.0
1 person 11 nights hotel on funded project,"Department for Environment, Food and Rural Affairs",1,1879.0
1 person 9 nights Hotel Accommodation Rome. Costs incurred on funded project,"Department for Environment, Food and Rural Affairs",1,1215.42
1 person Hotel accommodation Mexico City on funded project,"Department for Environment, Food and Rural Affairs",1,776.7
1 person for 5 nights @ the Ascot Hotel Copenhagen,"Department for Environment, Food and Rural Affairs",1,604.32
"1 person x  7 nights accommodation and local tax, Venice Italy to attend Environmental Management Scientific Conference relevant to Ecosystems Services. Conference was held at hotel","Department for Environment, Food and Rural Affairs",1,735.78
"1 person x  8 nights - Hotel accommodation Attendance for the 6th meeting of the Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA) of the Convention on Biological Diversity","Department for Environment, Food and Rural Affairs",1,776.61
1 person x 10 nights at Bergen Scandic City Hotel Common Monitoring Standards meeting,"Department for Environment, Food and Rural Affairs",1,1228.92
"1 person x 7 nights - Hotel accommodation Attendance for the 6th meeting of the Subsidiary Body on Scientific, Technical and Technological Advice (SBSTTA) of the Convention on Biological Diversity","Department for Environment, Food and Rural Affairs",1,634.47
1 person x 7 nights Hotel accommodation Geneva to attend Convention on International Trade Endangered Species,"Department for Environment, Food and Rural Affairs",2,2392.99
"1 person x 7 nights acconm in Madrid to attend Standing committee on Research and Statistics of the International commission for the Conservation Atlantic Tunas. There are two entries because the hotel insisted on  paying in two tranches, the first half way through stay.","Department for Environment, Food and Rural Affairs",1,621.79
1 staff; 4 nights bed and breakfast to attend North Atlantic Salmon Conservation Organisation,"Department for Environment, Food and Rural Affairs",1,556.0
10 People one night at Hilton Hotel for Joint Institute for Food Safety and Applied Nutrition Symposium,"Department for Environment, Food and Rural Affairs",1,752.0
10 days hotel accommodation for one person to attend the Celtic Sea Working Group,"Department for Environment, Food and Rural Affairs",1,1190.65
10 nights hotel accommodation,"Department for Environment, Food and Rural Affairs",1,800.0
10 nights hotel accommodation for 1 person,"Department for Environment, Food and Rural Affairs",2,2258.5699999999997
10 nights hotel accommodation in Brussels for GAP2 (European Commission funded fisheries project) Annual Meeting July2 to 6th 2012,"Department for Environment, Food and Rural Affairs",1,755.16
10 nights hotel accommodation whilst attending a Regional Coordination meeting,"Department for Environment, Food and Rural Affairs",1,1359.97
10 nights hotel accommodation whilst attending the 2011 PICES annual conference (North Pacific Science Organisation) representing GESAMP (Joint Group of Experts on Scientific Aspects of Marine Protection).,"Department for Environment, Food and Rural Affairs",1,635.04
10 x nights hotel accommodation,"Department for Environment, Food and Rural Affairs",1,1116.35
11 nights bed and breakfast for one person attending a training course. The  Inshore Fisheries Conservation Authorities (IFCA) has been recharged for this expense,"Department for Environment, Food and Rural Affairs",1,840.0
11 nights hotel accommodation IN  Copenhagen,"Department for Environment, Food and Rural Affairs",1,997.42
11 nights hotel accommodation while attending International Council for the Exploration of the Sea (ICES) working group,"Department for Environment, Food and Rural Affairs",1,1229.22
12 nights hotel accommodation,"Department for Environment, Food and Rural Affairs",2,1920.0
"12 nights hotel accommodation to attend ICES WGMG meeting in Vigo, Spain","Department for Environment, Food and Rural Affairs",1,540.0
"12 nights hotel accommodation whilst attending ICES WGMG meeting in Vigo, Spain","Department for Environment, Food and Rural Affairs",1,747.64
14 JNCC Members/staff accommodation x 1 night attending Joint Committee meeting held in Scotland who were the host for the June Meeting and sourced the hotel,"Department for Environment, Food and Rural Affairs",1,1708.0
15 EA Staff B&B one night for executive manager meeting,"Department for Environment, Food and Rural Affairs",1,1562.0
15 nights hotel accommodation for Noise Training Course,"Department for Environment, Food and Rural Affairs",1,1679.25
17 nights hotel accommodation,"Department for Environment, Food and Rural Affairs",1,1390.0
"17 staff dinner, bed & breakfast for 2 nights","Department for Environment, Food and Rural Affairs",1,2788.0
18 nights hotel accommodation,"Department for Environment, Food and Rural Affairs",1,1875.0
"2 Rooms projector/flipchart lunch for 4.2 days plus dinner, bed and breakfast for 2 tutors","Department for Environment, Food and Rural Affairs",1,1702.0
2 day national workshop event (including bed and breakfast for delegates),"Department for Environment, Food and Rural Affairs",1,2003.76
"2 day room hire team training,  equipment plus dinner, bed and breakfast for 29","Department for Environment, Food and Rural Affairs",1,6361.0
"2 days room hire plus bed and breakfast for 16 Day Delegate Rate, for Training course for 32","Department for Environment, Food and Rural Affairs",1,3004.72
2 employees 4 nights bed and breakfast check suspect illegal containers of waste,"Department for Environment, Food and Rural Affairs",1,766.55
2 nights bed and breakfast - Brussels Emmission Trading  e-Reporting Technical Working Group meeting,"Department for Environment, Food and Rural Affairs",1,542.13
2 nights bed and breakfast for 13 for National Flood Risk Assessment Training Course,"Department for Environment, Food and Rural Affairs",1,2860.0
2 nights bed and breakfast for 4 people for investigation work in Brighton,"Department for Environment, Food and Rural Affairs",1,504.0
2 nights bed and breakfast for 4 staff to attend otter survey training,"Department for Environment, Food and Rural Affairs",1,602.5
2 nights bed and breakfast for 6 people for investigation work in Brighton,"Department for Environment, Food and Rural Affairs",1,867.9
2 nights hotel accommodation to attend UN Technical Workshop in New York,"Department for Environment, Food and Rural Affairs",1,640.74
"2 people 2 nights dinner, bed and breakfast on a National Examination Board in Occupational Safety and Health course in London","Department for Environment, Food and Rural Affairs",1,589.05
2 people 4 nights hotel on funded project,"Department for Environment, Food and Rural Affairs",1,1272.0
"2 person Hotel accommodation, Edinburgh 26/04/12","Department for Environment, Food and Rural Affairs",1,607.6
