publisher,line,first_month,last_month,txns,gbp
Bristol City Council,nightly-paid/B&B TA to private landlords,2020-01,2026-05,22765,85715338.1
Uttlesford District Council,homelessness TA incl hotels,2019-04,2026-03,1574,1964457.58
Rushmoor Borough Council,B&B and hostel placements,2010-04,2026-05,1176,1616254.2
South Gloucestershire Council,B&B placements 2010-11 window only,2010-10,2011-11,733,446868.0
Plymouth City Council,client B&B costs 2015 window only,2015-03,2015-12,80,94393.23
Eden District Council,homelessness incl grants to Eden HA,2014-08,2018-08,15,250823.64
North Yorkshire Council,homeless support + unsupported TA,2023-07,2026-06,304,1570646.61
Former council of North Yorkshire,homeless support + unsupported TA,2022-04,2023-03,66,366477.16
London Borough of Richmond Upon Thames,rent rebates for B&B,,,33,39717.0
Royal Borough of Greenwich,only 2 rows labelled TA - coding hides TA,2015-10,2015-10,2,5509.2
