service,real_gbp_per_head_2013_14,real_gbp_per_head_2018_19,real_gbp_per_head_2024_25,real_pct_change_13_to_24
police,2.02,2.42,3.8,88.4
other,2.32,0.95,3.83,65.1
children_social_care,175.78,212.58,264.62,50.5
adult_social_care,370.28,364.51,429.38,16.0
public_health,63.75,74.22,70.26,10.2
housing_gfra,50.93,37.22,53.38,4.8
recycling,14.11,13.81,14.58,3.3
central,66.57,60.57,67.49,1.4
refuse_and_recycling,36.58,34.28,35.82,-2.1
total_service_expenditure,1940.19,1709.32,1850.82,-4.6
waste_collection,22.47,20.46,21.24,-5.5
development_control,5.51,3.86,5.15,-6.6
planning_development,32.09,23.32,29.69,-7.5
environmental_regulatory,117.71,103.73,102.89,-12.6
waste_disposal,38.25,36.26,32.93,-13.9
street_cleansing,18.22,15.85,15.52,-14.8
education,911.83,730.59,736.07,-19.3
fire_rescue,9.04,7.56,6.9,-23.7
cultural,68.86,48.36,43.27,-37.2
libraries,20.44,14.79,12.0,-41.3
highways_transport,69.01,43.26,39.24,-43.1
