supplier,expense_type,expense_area,txns,gbp,first_month,last_month
ASSETGROVE LETTINGS LTD,Rents Other,Housing Services,82,96823.5,2014-08,2017-06
ASSETGROVE LETTINGS LTD,,,21,18670.0,2013-11,2014-05
BETTERCARE KEYS LTD (TUDOR LODGE),,,20,212855.44,2012-02,2013-04
CORNER LODGE LTD,,,17,32350.31,2012-12,2014-01
GROVE HOTEL,,,6,6264.0,2013-03,2013-03
HOUSE TO HOME LETTINGS LTD,Rents Other,Housing Services,25,434104.1,2015-08,2017-06
LEIGHAM LODGE LTD,,,28,166241.6,2012-02,2014-06
MEADOW CROFT LODGE,,,82,96924.0,2013-03,2013-03
MEADOW CROFT LODGE,Rent,Childrens Services,65,87558.0,2014-07,2015-04
MEADOW CROFT LODGE,Rents Other,Adult and Older People,20,30492.0,2015-05,2015-09
MEADOW CROFT LODGE,Section 17,Childrens Services,8,8484.0,2015-05,2015-08
MEADOW CROFT LODGE,Children Looked After,Childrens Services,6,7644.0,2015-06,2015-07
MEADOWCROFT LODGE LTD,Rents Other,Health and Adult Services,48,74682.0,2016-04,2017-06
MEADOWCROFT LODGE LTD,Rents Other,Adult and Older People,23,36654.0,2015-10,2016-03
MEADOWCROFT LODGE LTD,S17 accommodation evicted families,Childrens Services,14,17892.0,2016-07,2016-07
MEADOWCROFT LODGE LTD,Section 17,Childrens Services,10,12852.0,2016-01,2016-01
MELBA LODGE,Services Private Contractor,Adult and Older People,75,286079.71,2014-07,2016-03
MELBA LODGE,Services Private Contractor,Health and Adult Services,34,130891.4,2016-04,2017-06
MELBA LODGE,,,2,7528.56,2013-03,2013-03
MELBA LODGE,PS Residential Respite Care,Adult and Older People,1,1028.57,2015-09,2015-09
TRAVELODGE HOTELS LTD,,,3,8327.7,2012-08,2012-08
