supplier_raw,expense_type,first_month,last_month,n,gbp
G4S CARE & JUSTICE SERVICES (UK) LTD,Detention Centres,2017-01,2017-10,98,25907505.0
SODEXO MOTIVATION SOLUTIONS UK LTD,Asylum Provision & Services,2017-02,2018-06,24,16531932.0
SERCO LTD,Asylum Provision & Services,2018-06,2018-06,24,13644126.0
G4S CARE & JUSTICE SERVICES (UK) LTD,Public Order & Security Services,2017-11,2018-05,50,11649457.0
G4S CARE & JUSTICE SERVICES (UK) LTD,Business Process Outsourcing,2017-03,2017-03,14,7265654.0
G4S CARE & JUSTICE SERVICES (UK) LTD,Asylum Provision & Services,2018-06,2018-06,12,7230944.0
SERCO LTD,"IT, Telecomms - Run Costs",2017-02,2017-10,33,6538391.0
SERCO LTD,Business Process Outsourcing,2017-03,2017-03,10,6030811.0
SERCO LTD,"IT, Telecoms - IT Run Costs",2017-11,2018-05,27,5784529.0
SERCO LTD,Detention Centres,2017-01,2017-10,14,5697967.0
CLEARSPRINGS READY HOMES LTD,Asylum Provision & Services,2018-06,2018-06,12,4943266.0
SERCO LTD,Public Order & Security Services,2017-11,2018-05,13,4846520.0
SERCO LTD,IT & Telecomms - Components,2018-06,2018-06,4,2737385.0
SERCO LTD,FM Services,2017-03,2017-06,5,2724710.0
SERCO LTD,"IT, Telecoms - Components",2017-12,2018-05,17,2393246.0
SODEXO MOTIVATION SOLUTIONS UK LTD,Voluntary Assisted Returns,2017-01,2017-06,3,2381491.0
CLEARSPRINGS READY HOMES LTD,Business Process Outsourcing,2017-03,2017-03,7,2290122.0
G4S CARE & JUSTICE SERVICES (UK) LTD,"Public Order, Security & Safety",2017-02,2017-02,11,1739557.0
SERCO LTD,Asset Clearing,2017-03,2017-10,7,1611665.0
SODEXO MOTIVATION SOLUTIONS UK LTD,Public Order & Security Services,2017-11,2018-05,4,1290000.0
G4S CARE & JUSTICE SERVICES (UK) LTD,"Public Order, Security & Safety Services",2018-06,2018-06,7,1009992.0
SERCO LTD,Law Enforcement & Safety Equipment,2017-02,2017-12,2,838123.0
SERCO LTD,"Public Order, Security & Safety",2017-02,2017-02,2,836760.0
G4S CARE & JUSTICE SERVICES (UK) LTD,FM Services,2017-06,2017-06,1,760457.0
SERCO LTD,Building Construction & Maintenance,2017-02,2017-02,2,753780.0
SERCO LTD,"Public Order, Security & Safety Services",2018-06,2018-06,2,671830.0
G4S CARE & JUSTICE SERVICES (UK) LTD,"IT, Telecomms - Run Costs",2017-06,2017-06,7,467126.0
G4S CARE & JUSTICE SERVICES (UK) LTD,Outhousing Seized Goods,2017-06,2017-06,2,303787.0
SERCO LTD,"IT, Telecoms - Application Consultancy & Development",2017-12,2018-04,3,263892.0
G4S CARE & JUSTICE SERVICES (UK) LTD,Resource Grants,2017-06,2017-06,1,176434.0
G4S SECURE SOLUTIONS (UK) LTD,Building & Construction Services,2018-06,2018-06,1,95986.0
SODEXO MOTIVATION SOLUTIONS UK LTD,Removals Flights,2017-06,2017-06,1,92780.0
SERCO LTD,Medical & Pharmaceutical,2017-08,2017-08,2,74470.0
SERCO LTD,Removals Flights,2017-06,2017-06,1,51749.0
SERCO LTD,Healthcare Services,2017-11,2017-11,2,45442.0
G4S SECURE SOLUTIONS (UK) LTD,Building Construction & Maintenance,2017-04,2017-04,5,39606.0
G4S CARE & JUSTICE SERVICES (UK) LTD,Asset Clearing,2017-06,2017-06,2,39522.0
G4S CASH SOLUTIONS (UK) LTD,Outhousing Seized Goods,2017-04,2017-04,1,38012.0
SODEXO MOTIVATION SOLUTIONS UK LTD,Business Process Outsourcing,2017-03,2017-03,1,34309.0
G4S CARE & JUSTICE SERVICES (UK) LTD,Juxtaposed Overseas Posting,2017-06,2017-06,1,28253.0
SERCO LTD,Education & Training Services,2018-06,2018-06,2,27357.0
G4S CASH SOLUTIONS (UK) LTD,Law Enforcement & Safety Equipment,2017-12,2017-12,1,26164.0
SERCO LTD,"Airport parking, Local council parking, Private owned car parks, Other parking",2017-06,2017-06,1,57.0
CLEARSPRINGS READY HOMES LTD,Controls,2017-01,2017-01,1,-14986191.0
