year_month,ho_rows_total,asylum_labeled_rows,asylum_labeled_gbp
2016-01,1026,62,17951704.0
2016-02,790,63,20894317.0
2016-03,1112,61,18885672.0
2016-04,885,0,0
2016-05,916,63,22320685.0
2016-06,1185,91,29806466.0
2016-07,1048,80,81428742.0
2016-08,1052,65,24085075.0
2016-09,1037,68,29907707.0
2016-10,1000,76,26516425.0
2017-01,785,0,0
2017-02,1008,38,9482403.0
2017-03,2012,0,0
2017-04,1071,0,0
2017-05,1183,0,0
2017-06,1423,0,0
2017-07,1190,0,0
2017-08,1045,0,0
2017-09,993,0,0
2017-10,1060,0,0
2017-11,1500,20,2072289.0
2017-12,1268,21,2071674.0
2018-01,1082,0,0
2018-02,1049,30,3467227.0
2018-03,1765,22,2119308.0
2018-04,1431,26,1750156.0
2018-05,1139,19,976006.0
2018-06,1748,84,38257310.0
