supplier_group,year,txns,gbp
Clearsprings (asylum accommodation),2010,35,14139460.35
Clearsprings (asylum accommodation),2011,112,20148502.84
Clearsprings (asylum accommodation),2012,108,19665374.38
Clearsprings (asylum accommodation),2015,61,15103070.35
Clearsprings (asylum accommodation),2016,105,32823309.87
Clearsprings (asylum accommodation),2017,8,-12696068.97
Clearsprings (asylum accommodation),2018,12,4943266.35
Serco (all Home Office work),2010,143,48710919.07
Serco (all Home Office work),2011,213,44103945.46
Serco (all Home Office work),2012,151,30671102.26
Serco (all Home Office work),2013,185,36485910.41
Serco (all Home Office work),2014,253,58453544.54
Serco (all Home Office work),2015,142,48566025.78
Serco (all Home Office work),2016,167,96201836.47
Serco (all Home Office work),2017,95,29207042.25
Serco (all Home Office work),2018,78,26365766.0
G4S (all Home Office work),2010,177,61672459.06
G4S (all Home Office work),2011,110,37291118.49
G4S (all Home Office work),2012,60,11782184.52
G4S (all Home Office work),2013,82,20157197.07
G4S (all Home Office work),2014,177,51983094.07
G4S (all Home Office work),2015,219,59208282.6
G4S (all Home Office work),2016,243,108997649.25
G4S (all Home Office work),2017,157,40472084.79
G4S (all Home Office work),2018,57,16306370.12
Direct hotel payments,2010,2,95687.62
Direct hotel payments,2011,4,156407.36
Direct hotel payments,2012,29,1740315.88
Direct hotel payments,2013,8,420717.22
Direct hotel payments,2014,4,192320.12
