supplier_string,txns,gbp
SAMUEL WHITBREAD ACADEMY,140,36946702.81
SAMUEL WHITBREAD COMMUNITY COLLEGE,211,24416892.59
BRITANNIA VILLAGE PRIMARY SCHOOL,110,10190399.87
ACCORA LTD,14,10035369.5
BRITANNIA PRIMARY AND NURSERY,69,8166861.92
GREENSQUAREACCORD LTD,11,6136180.95
ACCORD HEALTHCARE LTD,27,4906938.71
IBISWORLD LTD,15,2286883.2
ACCORD HOUSING ASSOCIATON LTD,4,1831835.75
ACCORD HOUSING ASSOCIATION LTD,36,1738404.2
ACCORD UK LTD,3,1084167.57
HIBISCUS INITIATIVES (G),22,1075921.71
ACCOR SERVICES,15,828754.82
ACCORA,758,613369.2
BRITANNIA FIRE LIMITED,11,509569.84
EDENRED (FORMERLY ACCOR SERVICES),9,474694.5
ACCORD LIFT SERVICES LTD,12,414809.54
ACCOR TA EDENRED,14,406983.7
SPORTACCORD,15,211589.65
BRITANNIA EDUCATION TRUST,2,190000.0
CALL BRITANNIA,4,186450.0
ACCORDUS LIMITED,8,177954.21
LEARNING ACCORD MULTI ACADEMY TRUST,3,165000.0
COMTEC CABLE ACCORIE LTD,50,144081.63
BRITANNIA PHARMACEUTICALS LTD,1,113000.0
BRITANNIA STORAGE SYSTEMS LIMITED,16,88277.74
ACCORD MULTI ACADEMY TRUST,1,70000.0
ACCORD HOUSING,1,65552.17
IBIS DANIDA FRAME CEDI,3,57124.31
IBISWORLD LIMITED,4,46101.0
ACCOR SERVICES LTD,1,39933.42
C MACCORMACK,43,39086.14
IBIS DAKAR,1,35394.2
ACCORD LIFT SERVICES,4,23598.41
IBIS WORLD LTD,2,15120.0
BRITANNIA FIRE LTD,7,13635.0
CORRIE MACCORMACK,13,13599.08
SMITH BROS & WEBB LIMITED BRITANNIA VEHICLE WASHING,6,12305.63
BRITANNIA FIRE,11,9212.2
COMTEC CABLE ACCORIE L,3,7731.19
BRITANNIA MONITORING SYSTEMS LTD,18,7599.01
ACCORDIA TRAINING SOLUTIONS,2,4760.0
BEST OF BRITANNIA LTD,1,3168.0
BRITANNIA LANES OF DEV,3,2960.4
TO UNDERTAKE SITE ANALYSIS AND COMPILE TECHNICAL REPORT. MEETINGS AND ATTENDANCE ON SITE AND TESTING IN ACCORDANCE WITH  OUR FEE SUBMISSION AND AGREEMENT.,1,2745.0
BRITANNIA MOVERS INTERNA,1,2640.0
BRITANNIA BUFFET SERVICES  LIMITED,8,2511.6
BRITANNIA MOVERS INTERNATIONAL,1,2400.0
HIBISCUS TRAVEL LTD,4,2176.35
GREENSQUAREACCORD LIMITED,1,1625.0
PAB BRITANNIA,2,1622.7
BRITANNIA CONSTRUCTION LIMITED,1,1477.64
SPORTACCORDCONVENTION.,1,1418.73
ACCORDIAL LIMITED,1,1368.0
IBISWORLD PTY LTD,1,1323.48
SMITH BROS & WEBB LIMITED(BRITANNIA VEHICLE WASH),1,1222.55
IBIS TRADING LTD,3,1136.0
BRITANNIA WELDING,2,1079.62
IN ACCORD CHOIR,1,1000.0
BRITANNIA METADOR,1,839.4
IBISWORLDPROCUREMENTIQ,1,667.79
IBISWORLD,1,592.39
BRITANNIA BEVERAGES LTD,2,525.94
HIBISCUS CATERING SERVICES LIMITED,1,515.0
BRITANNIA STAFFORD,2,236.0
BRITANNIA,3,218.01
SPECIALIST ACCESS TRAINING LTD T/A BRITANNIA SAFETY AND TRAINING,1,204.96
BRITANNIA PARKING LTD,1,10.0
