chain,supplier_string,txns,gbp
Holiday Inn / IHG,HOLIDAY INN,213,4433038.54
Premier Inn / Whitbread,WHITBREAD PLC,13,528633.64
Holiday Inn / IHG,SERENA INVESTMENTS LTD T/A HOLIDAY INN EXPRESS T5,2,449307.6
Holiday Inn / IHG,HOLIDAY INN MANCHESTER EAST,140,366465.59
Holiday Inn / IHG,HOLIDAY INNS,86,302562.46
Ibis / Novotel / Mercure (Accor),MERCURE TUNBRIDGE WELLS HOTEL,5,261098.0
Ibis / Novotel / Mercure (Accor),COCKPIT HOTEL (LONDON) LTD T/A IBIS LONDON EARLS COURT,2,229612.5
Holiday Inn / IHG,HOLIDAY INN EXPRESS,32,156728.08
Holiday Inn / IHG,HOLIDAY INN EXPRESS CRAWLEY - GATWICK,2,147200.0
Holiday Inn / IHG,HOLIDAY INN TRAFFORD CITY,75,133571.86
Holiday Inn / IHG,HOLIDAY INN MANCHESTER CENTRAL PARK,78,128530.7
Holiday Inn / IHG,HOLIDAY INN GATWICK AIRPORT,2,117300.0
Ibis / Novotel / Mercure (Accor),MERCURE HOTEL,3,95347.31
Holiday Inn / IHG,HOLIDAY INN EXPRESS - FOLKSTONE,1,73440.0
Holiday Inn / IHG,INTERCONTINENTAL HOTEL,59,60343.1
Holiday Inn / IHG,HOLIDAY INN EXPRESS LUTON AIRPORT,5,56430.0
Ibis / Novotel / Mercure (Accor),MERCURE BRISTOL GRAND HOTEL,2,47586.16
Travelodge,TRAVELODGE BUSINESS,13,44387.75
Holiday Inn / IHG,IHG RUIJIN,1,42156.88
Britannia Hotels,BRITANNIA HOTELS LIMITED,1,36256.0
Holiday Inn / IHG,J.H SIMEX PLC/INTERCONTINENTAL HOTEL,28,35972.39
Ibis / Novotel / Mercure (Accor),NOVOTEL ACCRA,34,34866.65
Holiday Inn / IHG,HOLIDAY INN UK LTD,1,33199.76
Ibis / Novotel / Mercure (Accor),MERCURE HOLLAND HOUSE,18,33157.6
Ibis / Novotel / Mercure (Accor),MERCURE MANCHESTER PICCADILLY HOTEL,8,32129.18
Ibis / Novotel / Mercure (Accor),IBIS HOTEL -CANNOCK COVENTRYHOTELNO1 LLP,1,31500.0
Holiday Inn / IHG,INTERCONTINENTAL HOTEL GROUP PLC,7,31484.05
Holiday Inn / IHG,HOLIDAY INNS CASA GRANDE,1,26732.4
Ibis / Novotel / Mercure (Accor),NOVOTEL LEEDS CENTRE,9,21210.2
Holiday Inn / IHG,HOLIDAY INN ACCRA,19,18088.85
Ibis / Novotel / Mercure (Accor),NOVOTEL,9,13207.29
Ibis / Novotel / Mercure (Accor),NOVOTEL BRISTOL,9,12022.49
Holiday Inn / IHG,HOLIDAY INN EXP,2,11685.0
Premier Inn / Whitbread,PREMIER INN,16,11038.45
Ibis / Novotel / Mercure (Accor),IBIS BRISTOL TEMPLE MEADS,6,10932.0
Holiday Inn / IHG,HOLIDAY INN DARLINGTON,9,10353.53
Ibis / Novotel / Mercure (Accor),MERCURE SOUTHGATE HOTE,7,9954.75
Holiday Inn / IHG,HOLIDAY INN BRISTOL CI,4,8492.16
Travelodge,TRAVELODGE HOTELS LTD,3,8327.7
Holiday Inn / IHG,HOLIDAY INN FARNBOROUGH,6,7737.24
Holiday Inn / IHG,HOLIDAY INN EXPRESS LEIGH SPORTS VI,10,7708.34
Ibis / Novotel / Mercure (Accor),NOVOTEL YORK,7,6796.0
Ibis / Novotel / Mercure (Accor),NOVOTEL MUMBAI JUHU BEACH,10,6662.88
Travelodge,TRAVELODGE HOTEL - COVENT GARDENS,1,6642.0
Travelodge,TRAVELODGE WEBSITE,24,6356.74
Ibis / Novotel / Mercure (Accor),MERCURE,2,6279.44
Holiday Inn / IHG,HOLIDAY INN EXPRESS DUBAI SAFA PARK,2,6136.5
Travelodge,TRAVELODGE AGENT,6,5989.0
Ibis / Novotel / Mercure (Accor),MERCURE LE CAFE,4,5831.82
Holiday Inn / IHG,ZZZZLONDON LRG HOTEL LTD T/A HOLIDAY INN KENSINGTON FORUM,1,5790.0
Ibis / Novotel / Mercure (Accor),NOVOTEL LONDON GREENWICH,4,5473.0
Ibis / Novotel / Mercure (Accor),GROVE F&B T/A NOVOTEL LONDON,3,5410.6
Ibis / Novotel / Mercure (Accor),HOTEL IBIS DH,5,5393.38
Ibis / Novotel / Mercure (Accor),MERCURE MANCHESTER,3,5179.0
Ibis / Novotel / Mercure (Accor),NOVOTEL IPSWICH,3,5158.35
Holiday Inn / IHG,HOLIDAY INN MANCHESTER CITY CENTRE,2,5116.58
Premier Inn / Whitbread,PREMIER INN47628415,1,5038.5
Ibis / Novotel / Mercure (Accor),HOTEL IBIS,7,4955.64
Holiday Inn / IHG,EXP BY HOLIDAY INN,4,4912.56
Premier Inn / Whitbread,PREMIER INN44521710      PLYMOUTH,8,4834.44
Premier Inn / Whitbread,PREMIER INN44123965      NORWICHNELSON,2,4799.87
Travelodge,TRAVELODGE,17,4755.34
Ibis / Novotel / Mercure (Accor),MERCURE SHREWSBURY ALBRIGHTON HALL,3,4567.0
Ibis / Novotel / Mercure (Accor),MERCURE BERLIN CITY,14,3790.95
Ibis / Novotel / Mercure (Accor),NOVOTEL MANCHESTER CENTRE,3,3737.59
Ibis / Novotel / Mercure (Accor),MERCURE HULL ROYAL HOTEL HULL,2,3044.5
Ibis / Novotel / Mercure (Accor),MERCURE HATFIELD OAK H,2,2938.0
