supplier,txns,gbp,first_month,last_month
ASHBEE GUEST HOUSE,438,731483.0,2011-03,2026-05
SOCIETY OF ST JAMES,22,158214.99,2018-04,2026-03
ANNIES GUEST HOUSE,80,152730.0,2011-08,2026-01
AIRPORT LODGE,97,118105.67,2010-12,2016-05
RNA ESTATES LTD T/A AIRPORT LODGE,33,103537.75,2020-04,2023-06
PHILLIPS ACCOMODATION LTD,139,69583.0,2010-04,2017-01
TRAVELODGE BUSINESS,13,44387.75,2025-03,2026-05
MYLONDONLETS,81,37740.0,2024-07,2026-02
WEST HILL FORUM LIMITED,36,32158.0,2023-09,2025-04
LUCENT LEASES LIMITED,34,24855.0,2025-08,2026-03
KB REAL ESTATE MANAGEMENT LIMITED,23,24150.0,2025-11,2026-04
PROJECT 114 LTD,46,24003.0,2015-07,2019-04
GHATAHORA PROPERTIES,9,18355.0,2024-07,2025-04
MAMICA PROPERTIES,1,11050.0,2025-12,2025-12
MR M CONWAY,24,9793.38,2012-11,2021-11
JUNE ABBETT,14,8720.0,2013-07,2014-01
CRIPPLE CREEK B & B,23,6323.89,2021-02,2021-07
PORTSMOUTH CITY COUNCIL,4,4621.41,2024-10,2025-11
NJH ESTATES LTD,4,4144.12,2014-06,2015-07
CEDAR COURT,3,3685.0,2016-11,2017-01
BC ACCOMMODATION LTD,11,3552.0,2017-04,2019-04
THE CABIN CAFE,10,3080.0,2016-02,2016-04
