supplier,txns,gbp,first_month,last_month
DE SALIS HOTEL,406,743700.58,2020-12,2026-03
NICKOLDS HMO MANAGEMENT & MAINTENANCE,568,535845.38,2023-01,2026-03
OASIS HOTEL HARLOW LIMITED,430,454399.87,2019-04,2026-03
SKYLINE HOTEL,103,103695.55,2020-08,2022-08
GEORGE (BISHOP STORTFORD) HOTEL LTD,29,51074.99,2020-05,2025-04
STANSTED AIRPORT LODGE,22,49066.94,2021-01,2026-01
MALVERN LODGE GUEST HOUSE,8,17400.0,2025-08,2026-03
L & Q LIVING LTD,5,6655.33,2020-11,2021-11
EAST THAMES LTD (L&Q),2,2343.0,2020-08,2021-04
SUNDRY BACS,1,275.94,2025-08,2025-08
