company,year_month,gbp
Amey,2010-05,2815.54
Amey,2010-06,2815.54
Amey,2010-07,2815.54
Amey,2010-08,30204.23
Amey,2010-09,83685.22
Amey,2010-10,29665.2
Amey,2010-11,3847808.55
Amey,2010-12,4189165.26
Amey,2011-01,3792878.6
Amey,2011-02,7537066.0
Amey,2011-03,686127.33
Amey,2011-04,651791.9
Amey,2011-05,5020056.87
Amey,2011-06,3302010.82
Amey,2011-07,2601816.47
Amey,2011-08,4942079.5
Amey,2011-09,3093125.1
Amey,2011-10,2829637.69
Amey,2011-11,2425375.76
Amey,2011-12,4323896.31
Amey,2012-01,2453210.15
Amey,2012-02,1641756.79
Amey,2012-03,3221255.77
Amey,2012-04,8153612.84
Amey,2012-05,2392086.47
Amey,2012-06,5003331.07
Amey,2012-07,4036450.99
Amey,2012-08,7573465.16
Amey,2012-09,2115376.66
Amey,2012-10,4482311.2
Amey,2012-11,2729321.77
Amey,2012-12,4186598.94
Amey,2013-01,53372.8
Amey,2013-02,559177.2
Amey,2013-03,8295658.28
Amey,2013-04,3514947.47
Amey,2013-05,4079649.67
Amey,2013-06,3117563.96
Amey,2013-07,5643296.22
Amey,2013-08,1019209.92
Amey,2013-09,9348592.01
Amey,2013-10,1949172.87
Amey,2013-11,1174604.14
Amey,2013-12,8636821.82
Amey,2014-01,3943132.59
Amey,2014-02,3925523.78
Amey,2014-03,7114876.29
Amey,2014-04,4265070.21
Amey,2014-05,2725640.07
Amey,2014-06,4412859.4
Amey,2014-07,8017156.11
Amey,2014-08,2659690.26
Amey,2014-09,6167145.71
Amey,2014-10,4026554.03
Amey,2014-11,2125099.8
Amey,2014-12,7657669.92
Amey,2015-01,3230543.66
Amey,2015-02,1672515.48
Amey,2015-03,8297906.55
Amey,2015-04,2286034.66
Amey,2015-05,2793384.79
Amey,2015-06,1543375.47
Amey,2015-07,2658090.26
Amey,2015-08,3190303.47
Amey,2015-09,3963704.74
Amey,2015-10,3407772.53
Amey,2015-11,209231.92
Amey,2015-12,8112919.47
Amey,2016-01,1368438.7
Amey,2016-02,211016.05
Amey,2016-03,631237.39
Amey,2016-04,299629.32
Amey,2016-05,163201.71
Amey,2016-06,402037.46
Amey,2016-07,166849.86
Amey,2016-08,203990.86
Amey,2016-09,856298.99
Amey,2016-10,166507.86
Amey,2016-11,163668.03
Amey,2016-12,235081.19
Amey,2017-01,314426.54
Amey,2017-02,14396.54
Amey,2017-03,947657.55
Amey,2017-04,429290.87
Amey,2017-05,478712.66
Amey,2017-06,1740906.47
Amey,2017-07,99068.52
Amey,2017-08,339144.07
Amey,2017-09,322797.57
Amey,2017-10,153192.72
Amey,2017-11,258718.31
Amey,2017-12,201207.62
Amey,2018-01,32118.75
Amey,2018-02,351097.96
Amey,2018-03,308660.49
Amey,2018-04,59364.6
Amey,2018-05,217822.76
Amey,2018-06,330385.58
Amey,2018-07,50188.67
Amey,2018-08,320930.57
Amey,2018-09,171571.12
Amey,2018-10,53222177.49
Amey,2018-11,34599553.64
Amey,2018-12,29536227.91
Amey,2019-01,37537638.24
Amey,2019-02,27905418.14
Amey,2019-03,58250304.27
Amey,2019-05,45186366.79
Amey,2019-06,45602057.08
