publisher,canonical9,year,ledger_gbp,ledger_txns,outsourcer_gbp,outsourcer_share_pct
Blaby District Council,1,2013,6833180.55,2262,27863.91,0.408
Blaby District Council,1,2014,9592166.47,3130,34642.81,0.361
Blaby District Council,1,2015,9444059.03,3137,55394.53,0.587
Blaby District Council,1,2016,12556000.14,2843,78804.92,0.628
Blaby District Council,1,2017,8957517.83,2838,105860.09,1.182
Blaby District Council,1,2018,11435532.0,3034,87484.68,0.765
Blaby District Council,1,2019,11357.5,9,0.0,0.0
Bristol City Council,0,2020,519848112.79,70922,1654597.37,0.318
Bristol City Council,0,2022,340534337.65,39171,1048575.68,0.308
Bristol City Council,0,2023,689750246.99,67981,2572463.21,0.373
Bristol City Council,0,2024,789135166.7,71955,1593424.9,0.202
Bristol City Council,0,2025,716666131.0,63097,9191.3,0.001
Bristol City Council,0,2026,330267956.52,31525,0.0,0.0
Cheltenham Borough Council,1,2019,871.35,1,0.0,0.0
Cheltenham Borough Council,1,2020,13203483.3,3406,44685.36,0.338
Eden District Council,0,,15118.7,2,0.0,0.0
Eden District Council,0,2013,6487496.77,1387,23127.62,0.356
Eden District Council,0,2014,5923254.86,1383,883208.37,14.911
Eden District Council,0,2015,8034458.91,1875,1977051.3,24.607
Eden District Council,0,2016,8255325.79,2133,1785485.28,21.628
Eden District Council,0,2017,9264627.82,2165,2025744.97,21.865
Eden District Council,0,2018,6417473.52,968,1765017.92,27.503
Former council of North Yorkshire,1,2022,251237060.11,73163,2777.88,0.001
Former council of North Yorkshire,1,2023,91976414.84,37349,8268.64,0.009
Former district of Harrogate,0,2023,2059191.73,599,0.0,0.0
Former district of Harrogate,0,2024,2702563.84,1406,0.0,0.0
Former district of Harrogate,0,2025,830182.57,53,0.0,0.0
London Borough of Richmond Upon Thames,1,,12257699.43,1953,2298509.72,18.752
North Yorkshire Council,0,2023,261663227.9,67216,35548.7,0.014
North Yorkshire Council,0,2024,125726958.16,36094,12318.29,0.01
North Yorkshire Council,0,2025,165385950.44,30060,20552.64,0.012
North Yorkshire Council,0,2026,117841441.23,26703,0.0,0.0
Plymouth City Council,1,2015,94926865.59,20213,7879010.97,8.3
Royal Borough of Greenwich,1,2012,342536520.54,32851,14775672.06,4.314
Royal Borough of Greenwich,1,2013,431147949.26,41943,12650080.9,2.934
Royal Borough of Greenwich,1,2014,440005120.22,57571,10146915.24,2.306
Royal Borough of Greenwich,1,2015,525667991.12,70456,8695591.71,1.654
Royal Borough of Greenwich,1,2016,573906091.38,67359,10130057.41,1.765
Royal Borough of Greenwich,1,2017,304489781.14,38427,3426901.54,1.125
Rushmoor Borough Council,1,,10674318.3,2668,0.0,0.0
Rushmoor Borough Council,1,2010,15887844.06,2277,2948149.22,18.556
Rushmoor Borough Council,1,2011,14749799.91,2968,4430476.71,30.038
Rushmoor Borough Council,1,2012,14222131.72,2963,4906304.54,34.498
Rushmoor Borough Council,1,2013,14676907.35,3063,4263909.11,29.052
Rushmoor Borough Council,1,2014,13594888.78,3483,4890440.79,35.973
Rushmoor Borough Council,1,2015,13454173.54,4345,4366974.84,32.458
Rushmoor Borough Council,1,2016,17855802.27,4282,4666356.7,26.134
Rushmoor Borough Council,1,2017,14366950.47,3681,3904070.51,27.174
Rushmoor Borough Council,1,2018,13136455.61,3262,3431254.32,26.12
Rushmoor Borough Council,1,2019,16230248.3,4373,4239342.42,26.12
Rushmoor Borough Council,1,2020,12903632.88,3340,3635317.97,28.173
Rushmoor Borough Council,1,2021,18066846.32,4366,4460993.75,24.692
Rushmoor Borough Council,1,2022,16804916.57,4645,4746348.39,28.244
Rushmoor Borough Council,1,2023,15517162.65,4265,4365564.61,28.134
Rushmoor Borough Council,1,2024,12628136.64,3352,3791484.5,30.024
Rushmoor Borough Council,1,2025,19084278.63,4687,4852869.54,25.429
Rushmoor Borough Council,1,2026,9161631.35,1989,2298838.99,25.092
South Gloucestershire Council,1,,190577823.45,11,0.0,0.0
South Gloucestershire Council,1,2010,52108461.1,8248,8693827.99,16.684
South Gloucestershire Council,1,2011,225936081.21,39316,27757668.72,12.286
Uttlesford District Council,1,,5627861.34,5,0.0,0.0
Uttlesford District Council,1,2019,18851026.79,4185,85023.68,0.451
Uttlesford District Council,1,2020,24365990.36,4086,106499.57,0.437
Uttlesford District Council,1,2021,99043426.4,3787,63401.53,0.064
Uttlesford District Council,1,2022,61082387.9,4178,62654.19,0.103
Uttlesford District Council,1,2023,54607799.3,4946,61904.19,0.113
Uttlesford District Council,1,2024,66714584.81,5661,65311.78,0.098
Uttlesford District Council,1,2025,51325970.12,6087,122025.66,0.238
Uttlesford District Council,1,2026,6408809.13,1553,0.0,0.0
