publisher,year,company,gbp
Eden District Council,2013,Amey,2039.12
Eden District Council,2014,Amey,861061.87
Eden District Council,2015,Amey,1951230.8
Eden District Council,2016,Amey,1758989.28
Eden District Council,2017,Amey,1997004.77
Eden District Council,2018,Amey,1745099.72
Plymouth City Council,2015,Amey,7296735.0
Cheltenham Borough Council,2020,Biffa,14835.36
Plymouth City Council,2015,Biffa,10420.55
South Gloucestershire Council,2010,Biffa,3443.3
South Gloucestershire Council,2011,Biffa,5084.62
Blaby District Council,2013,Capita,26693.91
Blaby District Council,2014,Capita,34122.06
Blaby District Council,2015,Capita,53868.7
Blaby District Council,2016,Capita,60124.95
Blaby District Council,2017,Capita,63444.85
Blaby District Council,2018,Capita,47061.85
Bristol City Council,2020,Capita,574693.08
Bristol City Council,2022,Capita,340733.42
Bristol City Council,2023,Capita,539821.91
Bristol City Council,2024,Capita,345507.38
Bristol City Council,2025,Capita,5250.8
Cheltenham Borough Council,2020,Capita,11900.0
Eden District Council,2013,Capita,21088.5
Eden District Council,2014,Capita,22146.5
Eden District Council,2015,Capita,25820.5
Eden District Council,2016,Capita,23976.0
Eden District Council,2017,Capita,28740.2
Eden District Council,2018,Capita,19918.2
Former council of North Yorkshire,2022,Capita,681.45
London Borough of Richmond Upon Thames,,Capita,19437.5
Plymouth City Council,2015,Capita,91991.43
Royal Borough of Greenwich,2012,Capita,5426302.4
Royal Borough of Greenwich,2013,Capita,5498689.94
Royal Borough of Greenwich,2014,Capita,3327592.77
Royal Borough of Greenwich,2015,Capita,2778618.91
Royal Borough of Greenwich,2016,Capita,2288426.06
Royal Borough of Greenwich,2017,Capita,529729.89
Rushmoor Borough Council,2010,Capita,35318.78
Rushmoor Borough Council,2011,Capita,58467.76
Rushmoor Borough Council,2012,Capita,63263.4
Rushmoor Borough Council,2013,Capita,66649.06
Rushmoor Borough Council,2014,Capita,60216.58
Rushmoor Borough Council,2015,Capita,69326.2
Rushmoor Borough Council,2016,Capita,77787.02
Rushmoor Borough Council,2017,Capita,91402.93
Rushmoor Borough Council,2018,Capita,56982.81
Rushmoor Borough Council,2019,Capita,75413.25
Rushmoor Borough Council,2020,Capita,71411.46
Rushmoor Borough Council,2021,Capita,84320.82
Rushmoor Borough Council,2022,Capita,73820.1
Rushmoor Borough Council,2023,Capita,26056.36
South Gloucestershire Council,2010,Capita,62462.84
South Gloucestershire Council,2011,Capita,589997.63
Uttlesford District Council,2020,Capita,66000.0
Uttlesford District Council,2021,Capita,61904.19
Uttlesford District Council,2022,Capita,61904.19
Uttlesford District Council,2023,Capita,61904.19
Uttlesford District Council,2024,Capita,65096.69
Uttlesford District Council,2025,Capita,122025.66
South Gloucestershire Council,2010,Carillion,35576.5
South Gloucestershire Council,2011,Carillion,76449.23
Former council of North Yorkshire,2022,G4S,2096.43
Former council of North Yorkshire,2023,G4S,4598.64
North Yorkshire Council,2023,G4S,35548.7
North Yorkshire Council,2024,G4S,11438.29
North Yorkshire Council,2025,G4S,11922.64
Plymouth City Council,2015,G4S,18413.31
Royal Borough of Greenwich,2012,G4S,1383.6
Royal Borough of Greenwich,2013,G4S,1383.6
Royal Borough of Greenwich,2014,G4S,1432.03
Royal Borough of Greenwich,2015,G4S,505.2
Royal Borough of Greenwich,2016,G4S,1740.0
South Gloucestershire Council,2010,G4S,1560.0
South Gloucestershire Council,2011,G4S,3002.0
Uttlesford District Council,2019,G4S,2893.28
Uttlesford District Council,2020,G4S,2893.28
Uttlesford District Council,2021,G4S,1497.34
Uttlesford District Council,2024,G4S,215.09
Eden District Council,2016,Interserve,2520.0
Royal Borough of Greenwich,2014,Interserve,534279.19
Royal Borough of Greenwich,2015,Interserve,107507.82
Royal Borough of Greenwich,2016,Interserve,103196.54
Royal Borough of Greenwich,2017,Interserve,27414.84
South Gloucestershire Council,2010,Interserve,654648.28
South Gloucestershire Council,2011,Interserve,3011456.3
Bristol City Council,2020,Kier,313975.28
Bristol City Council,2022,Kier,663314.26
Bristol City Council,2023,Kier,1417635.39
Bristol City Council,2024,Kier,1162670.86
Bristol City Council,2025,Kier,3030.5
Plymouth City Council,2015,Kier,406348.2
Royal Borough of Greenwich,2012,Kier,3587023.13
Rushmoor Borough Council,2017,Kier,180459.29
South Gloucestershire Council,2010,Kier,1180394.82
South Gloucestershire Council,2011,Kier,5517942.57
Uttlesford District Council,2019,Kier,82130.4
Uttlesford District Council,2020,Kier,37606.29
Bristol City Council,2023,Liberata,81009.65
Bristol City Council,2024,Liberata,64810.25
Royal Borough of Greenwich,2012,Liberata,287259.33
Royal Borough of Greenwich,2013,Liberata,161493.36
Royal Borough of Greenwich,2014,Liberata,141484.24
Royal Borough of Greenwich,2015,Liberata,40752.0
Royal Borough of Greenwich,2016,Liberata,280887.88
Blaby District Council,2013,Mitie,1170.0
Bristol City Council,2020,Mitie,749811.01
Bristol City Council,2022,Mitie,44528.0
Bristol City Council,2023,Mitie,516582.26
Bristol City Council,2024,Mitie,14595.16
Royal Borough of Greenwich,2012,Mitie,743340.05
Royal Borough of Greenwich,2013,Mitie,828645.39
Royal Borough of Greenwich,2014,Mitie,759446.09
Royal Borough of Greenwich,2015,Mitie,595452.27
Royal Borough of Greenwich,2016,Mitie,733202.04
Royal Borough of Greenwich,2017,Mitie,418341.22
Bristol City Council,2020,Serco,9370.0
Bristol City Council,2023,Serco,4450.0
Bristol City Council,2024,Serco,5841.25
Bristol City Council,2025,Serco,910.0
Former council of North Yorkshire,2023,Serco,3670.0
London Borough of Richmond Upon Thames,,Serco,639870.03
North Yorkshire Council,2024,Serco,880.0
North Yorkshire Council,2025,Serco,8630.0
Plymouth City Council,2015,Serco,55102.48
Royal Borough of Greenwich,2012,Serco,4500.0
Royal Borough of Greenwich,2013,Serco,8245.2
Royal Borough of Greenwich,2014,Serco,61527.2
Rushmoor Borough Council,2014,Serco,2010.0
Rushmoor Borough Council,2017,Serco,1261730.33
Rushmoor Borough Council,2018,Serco,3364520.07
Rushmoor Borough Council,2019,Serco,4160301.83
Rushmoor Borough Council,2020,Serco,3563527.34
Rushmoor Borough Council,2021,Serco,4376672.93
Rushmoor Borough Council,2022,Serco,4671828.71
Rushmoor Borough Council,2023,Serco,4338622.4
Rushmoor Borough Council,2024,Serco,3791484.5
Rushmoor Borough Council,2025,Serco,4852869.54
Rushmoor Borough Council,2026,Serco,2298838.99
South Gloucestershire Council,2011,Serco,5887.0
Blaby District Council,2014,Sodexo,520.75
Blaby District Council,2015,Sodexo,319.0
Blaby District Council,2016,Sodexo,17012.9
Blaby District Council,2017,Sodexo,41155.24
Blaby District Council,2018,Sodexo,40422.83
Bristol City Council,2020,Sodexo,6748.0
London Borough of Richmond Upon Thames,,Sodexo,5671.41
Royal Borough of Greenwich,2012,Sodexo,5528.16
Royal Borough of Greenwich,2015,Sodexo,611.75
Rushmoor Borough Council,2011,Sodexo,769.33
Rushmoor Borough Council,2012,Sodexo,563.09
Rushmoor Borough Council,2019,Sodexo,466.67
Rushmoor Borough Council,2020,Sodexo,379.17
Rushmoor Borough Council,2022,Sodexo,699.58
Rushmoor Borough Council,2023,Sodexo,885.85
Blaby District Council,2015,Sopra Steria,1206.83
Blaby District Council,2016,Sopra Steria,1667.07
Cheltenham Borough Council,2020,Sopra Steria,17950.0
Uttlesford District Council,2022,Sopra Steria,750.0
Blaby District Council,2017,Suez,1260.0
Royal Borough of Greenwich,2012,Suez,5183.64
Rushmoor Borough Council,2011,Suez,5750.0
Rushmoor Borough Council,2012,Suez,8690.0
Rushmoor Borough Council,2013,Suez,7735.42
Rushmoor Borough Council,2016,Suez,7984.8
South Gloucestershire Council,2010,Suez,6755742.25
South Gloucestershire Council,2011,Suez,18547849.37
Bristol City Council,2023,Veolia,12964.0
London Borough of Richmond Upon Thames,,Veolia,1633530.78
Royal Borough of Greenwich,2012,Veolia,4715151.75
Royal Borough of Greenwich,2013,Veolia,6151623.41
Royal Borough of Greenwich,2014,Veolia,5321153.72
Royal Borough of Greenwich,2015,Veolia,5172143.76
Royal Borough of Greenwich,2016,Veolia,6722604.89
