company,gbp_total,txns,publishers,first_ym,last_ym,top_payer,top_payer_gbp
Serco,3722514230.76,57634,32,2010-04,2026-06,Department for Work and Pensions,1002813577.05
Capita,3408356854.76,48062,49,2010-04,2026-06,Department for Work and Pensions,1436687309.89
G4S,2990252899.07,91569,30,2010-04,2026-06,Department for Work and Pensions,1456786318.93
Mitie,2082831839.47,13278,25,2010-04,2026-08,Department for Work and Pensions,1200256969.96
Interserve,1898780173.0,40262,18,2010-04,2024-03,Ministry of Defence,808267155.28
Sodexo,1529294449.2,8891,18,2010-04,2026-06,Ministry of Defence,479099848.78
CarillionAmey (JV),1212685461.03,830,1,2014-06,2018-10,Ministry of Defence,1212685461.03
Sopra Steria,1051904384.84,4589,18,2010-04,2026-02,Home Office,384508839.34
Kier,883311255.16,2373,24,2010-04,2026-06,Department for Education,383990295.47
Amey,788019635.32,4280,12,2010-05,2026-06,Ministry of Defence,493857109.78
SSCL (Sopra Steria JV),603274440.15,1389,6,2013-12,2026-06,Department for Work and Pensions,531178928.95
CarillionEnterprise (JV),498904026.88,503,1,2010-04,2014-06,Ministry of Defence,498904026.88
Carillion,333569741.39,868,13,2008-12,2021-03,Ministry of Defence,238023145.69
Veolia,253494678.81,6547,18,2010-04,2026-08,Ministry of Defence,132188154.95
Liberata,112721354.74,645,12,2010-04,2024-04,Ministry of Justice,105213033.21
Suez,26669547.06,153,10,2010-07,2022-11,South Gloucestershire Council,25303591.62
Biffa,3073940.44,999,9,2010-04,2026-06,HM Revenue and Customs,1900339.67
