company,string,gbp,reason
Capita,CAPITA TP HSBC,246522344.1,"same pass-through, HSBC account (GBP 246.5m)"
Capita,CAPITA TP NATWEST,35610511570.44,pass-through: DfE 'funding to pay Teachers' Pensions' routed via Capita's third-party bank account (GBP 35.6bn — not payments TO Capita)
Capita,Capita Consortium Nominees No 1 & No 2 Ltd,153000.0,"nominee vehicle, beneficial recipient unclear"
Capita,THE DEANERY C OF E HIGH GOVERNORS CAPITA,29349.0,same
Capita,THE DEANERY CHURCH OF ENGLAND HIGH GOVERNORS CAPITA,92712.77,school governors' account administered by Capita; beneficiary is the school
Serco,CORPORACION SERCOPLUS,5823.04,Peruvian IT retailer
Serco,HANOI TOSERCO,23245.61,same
Serco,HANOI TOSERCO 1,2311.98,same
Serco,HANOI TOSERCO-MOTO,2063.46,same
Serco,Hanoi Toserco,70896.82,"Hanoi Tourist Service Company, Vietnam"
Serco,PHONG VE HANOI TOSERCO,45416.82,same
Serco,SERCO PROJECTS LLC,3800.0,presents as a distinct LLC we could not verify as Serco Group
Serco,SERCORIEGO,782.96,unrelated card line
G4S,AMAZON.CO.UK 2X58G4SO4,1880.49,Amazon order reference containing G4S
G4S,FRIENDS OF BOXING4SCHOOLS,4200.0,same
G4S,Group 4,30180.55,"bare string, could be anything"
G4S,WAYNE LLEWELLYN T/A FRIENDS OF BOXING4SCHOOLS,5040.0,'boxing4schools' substring hit
Amey,AMEYZOO,951.48,"exotic-pet zoo in Bovingdon, not Amey plc"
Amey,CARILLIONAMEY (HOUSING PRIME) LIMITED,540150851.4,censused separately as CarillionAmey (JV)
Amey,CARILLIONAMEY LIMITED,672534609.63,censused separately as CarillionAmey (JV)
Amey,GEO AMEY PECS LTD,93236950.39,"GEOAmey: 50:50 JV with GEO Group (prisoner escort & custody) — GBP 93.2m, listed not censused"
Amey,KEOLIS AMEY DOCKLANDS LIMITED,48891.43,"JV, Keolis-led, DLR operator"
Amey,KEOLIS AMEY METROLINK LTD,693846568.61,"JV, Keolis-led (70:30), Manchester Metrolink operator — GBP 693.8m, listed not censused"
Amey,Keolis Amey Metrolink Ltd,19438.73,same JV
Interserve,INTERSERVE ACADEMIES TRUST,285000.0,same
Interserve,Interserve Academies Trust,5324402.61,"academy trust sponsored by the firm; beneficiary is schools, not the company"
Kier,KIER FOUNDATION,10000.0,"the firm's charity, not the trading company"
Kier,Kier Charles Property Services Ltd,3662.0,presents as a person-named local firm we could not verify as Kier Group
