company,publisher,year,gbp
Biffa,Cheltenham Borough Council,2020,14835.36
Biffa,"Department for Environment, Food and Rural Affairs",2011,2061.02
Biffa,"Department for Environment, Food and Rural Affairs",2012,8229.74
Biffa,HM Revenue and Customs,2014,35968.61
Biffa,HM Revenue and Customs,2019,22177.8
Biffa,HM Revenue and Customs,2020,155350.0
Biffa,HM Revenue and Customs,2022,207951.29
Biffa,HM Revenue and Customs,2023,100184.79
Biffa,HM Revenue and Customs,2024,518874.3
Biffa,HM Revenue and Customs,2025,656433.77
Biffa,HM Revenue and Customs,2026,203399.11
Biffa,Home Office,2014,190715.92
Biffa,Home Office,2017,160026.47
Biffa,Home Office,2018,98556.98
Biffa,Ministry of Defence,2010,106468.97
Biffa,Ministry of Defence,2011,213480.84
Biffa,Ministry of Defence,2012,137318.25
Biffa,Ministry of Defence,2013,667.99
Biffa,Ministry of Defence,2014,1127.53
Biffa,Ministry of Defence,2015,2500.47
Biffa,Ministry of Defence,2016,58.34
Biffa,Plymouth City Council,2015,10420.55
Biffa,Shropshire Community Health NHS Trust,2014,14039.33
Biffa,Shropshire Community Health NHS Trust,2015,18943.13
Biffa,Shropshire Community Health NHS Trust,2016,10421.91
Biffa,Shropshire Community Health NHS Trust,2017,2988.41
Biffa,South Gloucestershire Council,2010,3443.3
Biffa,South Gloucestershire Council,2011,5084.62
Biffa,Transport for Greater Manchester,2021,8358.34
Biffa,Transport for Greater Manchester,2022,36109.11
Biffa,Transport for Greater Manchester,2023,43815.72
Biffa,Transport for Greater Manchester,2024,83928.47
Suez,Blaby District Council,2017,1260.0
Suez,"Department for Digital, Culture, Media and Sport",2011,137.04
Suez,"Department for Environment, Food and Rural Affairs",2011,9285.54
Suez,"Department for Environment, Food and Rural Affairs",2012,10936.89
Suez,Department of Health and Social Care,2021,389273.15
Suez,Department of Health and Social Care,2022,786283.39
Suez,HM Revenue and Customs,2019,75000.0
Suez,Ministry of Defence,2010,3972.2
Suez,Ministry of Defence,2013,54370.36
Suez,Natural History Museum,2011,93.01
Suez,Royal Borough of Greenwich,2012,5183.64
Suez,Rushmoor Borough Council,2011,5750.0
Suez,Rushmoor Borough Council,2012,8690.0
Suez,Rushmoor Borough Council,2013,7735.42
Suez,Rushmoor Borough Council,2016,7984.8
Suez,South Gloucestershire Council,2010,6755742.25
Suez,South Gloucestershire Council,2011,18547849.37
Veolia,Bristol City Council,2023,12964.0
Veolia,Department for Education,2018,80764.98
Veolia,Department for Education,2019,513553.95
Veolia,Department for Education,2020,464544.31
Veolia,Department for Education,2021,442236.23
Veolia,Department for Education,2022,55226.64
Veolia,Department for Energy Security and Net Zero,2024,296862.0
Veolia,"Department for Environment, Food and Rural Affairs",2011,420704.45
Veolia,"Department for Environment, Food and Rural Affairs",2012,19130.07
Veolia,Department of Health and Social Care,2021,29006.97
Veolia,Department of Health and Social Care,2022,89469.59
Veolia,East Sussex Healthcare NHS Trust,2021,93998.06
Veolia,East Sussex Healthcare NHS Trust,2022,7745979.64
Veolia,East Sussex Healthcare NHS Trust,2023,16268041.02
Veolia,East Sussex Healthcare NHS Trust,2024,3107818.65
Veolia,East Sussex Healthcare NHS Trust,2025,2411623.34
Veolia,East Sussex Healthcare NHS Trust,2026,1033279.76
Veolia,Foreign and Commonwealth Office,2017,544.02
Veolia,"Foreign, Commonwealth and Development Office (FCDO)",2020,1548.11
Veolia,"Foreign, Commonwealth and Development Office (FCDO)",2024,2616.34
Veolia,George Eliot Hospital NHS Trust,2024,205191.55
Veolia,George Eliot Hospital NHS Trust,2025,159141.91
Veolia,HM Revenue and Customs,2010,572124.94
Veolia,HM Revenue and Customs,2011,704328.59
Veolia,HM Revenue and Customs,2012,577883.08
Veolia,HM Revenue and Customs,2013,246713.04
Veolia,London Borough of Richmond Upon Thames,,1633530.78
Veolia,Ministry of Defence,2010,12889188.14
Veolia,Ministry of Defence,2011,13408867.3
Veolia,Ministry of Defence,2012,13446730.25
Veolia,Ministry of Defence,2013,13917319.11
Veolia,Ministry of Defence,2014,14121425.82
Veolia,Ministry of Defence,2015,13804884.23
Veolia,Ministry of Defence,2016,7927034.18
Veolia,Ministry of Defence,2017,13369758.62
Veolia,Ministry of Defence,2018,16383147.25
Veolia,Ministry of Defence,2019,10893689.23
Veolia,Ministry of Defence,2020,2026110.82
Veolia,"Ministry of Housing, Communities and Local Government",2012,5359.08
