company,year,gbp,txns
Amey,2010,8188975.08,68
Amey,2011,41205862.35,244
Amey,2012,47988777.81,450
Amey,2013,47392066.36,533
Amey,2014,57040418.17,773
Amey,2015,41365783.0,584
Amey,2016,4867957.42,308
Amey,2017,5299519.44,231
Amey,2018,119200099.54,246
Amey,2019,308677984.54,305
Amey,2020,68529134.67,93
Amey,2021,443651.68,51
Amey,2022,6043336.12,53
Amey,2023,10708031.76,75
Amey,2024,7841490.98,105
Amey,2025,11606204.86,133
Amey,2026,1620341.54,28
Biffa,2010,109912.27,14
Biffa,2011,220626.48,25
Biffa,2012,145547.99,23
Biffa,2013,667.99,3
Biffa,2014,241851.39,252
Biffa,2015,31864.15,304
Biffa,2016,10480.25,207
Biffa,2017,163014.88,11
Biffa,2018,98556.98,4
Biffa,2019,22177.8,1
Biffa,2020,170185.36,4
Biffa,2021,8358.34,11
Biffa,2022,244060.4,58
Biffa,2023,144000.51,42
Biffa,2024,602802.77,25
Biffa,2025,656433.77,11
Biffa,2026,203399.11,4
Capita,,4618614.98,75
Capita,2010,194728793.43,2803
Capita,2011,154574024.91,3901
Capita,2012,255693824.2,6362
Capita,2013,308144984.62,5529
Capita,2014,374552833.37,8145
Capita,2015,357381070.93,8000
Capita,2016,317649737.08,7248
Capita,2017,236274687.41,2577
Capita,2018,217332334.48,836
Capita,2019,189526619.44,765
Capita,2020,158305892.04,502
Capita,2021,123285341.25,447
Capita,2022,104757034.48,258
Capita,2023,94267638.44,185
Capita,2024,88491817.92,170
Capita,2025,156870486.85,187
Capita,2026,71901118.93,72
Carillion,,569799.08,5
Carillion,2008,164904.72,1
Carillion,2009,620968.87,3
Carillion,2010,14218655.17,145
Carillion,2011,14092580.38,161
Carillion,2012,25634270.29,89
Carillion,2013,26246260.02,92
Carillion,2014,43431101.21,99
Carillion,2015,119131148.57,97
Carillion,2016,40678748.65,41
Carillion,2017,45462958.75,108
Carillion,2018,3400398.01,14
Carillion,2019,427925.65,4
Carillion,2021,-509977.98,9
CarillionAmey (JV),2014,182085182.86,119
CarillionAmey (JV),2015,235165090.82,239
CarillionAmey (JV),2016,219292536.68,142
CarillionAmey (JV),2017,311926148.44,147
CarillionAmey (JV),2018,264216502.23,183
CarillionEnterprise (JV),2010,41581544.1,72
CarillionEnterprise (JV),2011,112874638.34,158
CarillionEnterprise (JV),2012,115668765.17,119
CarillionEnterprise (JV),2013,146238631.36,115
CarillionEnterprise (JV),2014,82540447.91,39
G4S,,3628720.77,29
G4S,2010,158130378.32,272
G4S,2011,159959557.85,2719
G4S,2012,168003306.36,8715
G4S,2013,127680330.4,16118
G4S,2014,143075216.55,18710
G4S,2015,139915518.73,19957
G4S,2016,180822214.8,15285
G4S,2017,93495832.82,4830
G4S,2018,90785359.27,1081
G4S,2019,60206412.59,187
G4S,2020,209662315.69,232
G4S,2021,573887955.62,349
G4S,2022,181281396.99,354
G4S,2023,208834248.24,618
G4S,2024,221426944.84,966
G4S,2025,225662787.73,908
G4S,2026,43794401.5,239
Interserve,,1380526.14,4
Interserve,2010,106116417.84,1392
Interserve,2011,146612902.88,753
Interserve,2012,182008112.33,5578
Interserve,2013,183931461.35,7408
Interserve,2014,217371271.09,7410
Interserve,2015,216074837.07,7145
Interserve,2016,116345080.92,4711
Interserve,2017,163229887.48,1556
Interserve,2018,182201749.83,1425
Interserve,2019,145586345.54,1397
Interserve,2020,142403576.32,611
Interserve,2021,78458050.06,508
Interserve,2022,16940458.69,237
Interserve,2023,90705.24,98
Interserve,2024,28790.22,29
Kier,,983374.02,12
Kier,2010,134054814.11,155
Kier,2011,133095040.14,247
Kier,2012,43311711.8,208
Kier,2013,14132524.83,50
Kier,2014,51605039.83,104
Kier,2015,56935835.5,173
Kier,2016,54939339.43,150
Kier,2017,177298737.46,354
Kier,2018,10173013.47,69
Kier,2019,9365851.11,89
Kier,2020,3166890.25,40
Kier,2021,125199579.02,381
Kier,2022,28949176.61,148
Kier,2023,15396745.66,59
Kier,2024,12567910.2,60
Kier,2025,10248220.09,58
Kier,2026,1887451.63,16
Liberata,,17495692.23,74
Liberata,2010,13930045.47,50
Liberata,2011,19446045.97,116
Liberata,2012,24374331.0,124
Liberata,2013,14673227.92,99
Liberata,2014,20079519.58,121
Liberata,2015,1799634.78,27
Liberata,2016,777037.89,19
Liberata,2023,81009.65,11
Liberata,2024,64810.25,4
Mitie,,20648643.39,110
Mitie,2010,35350861.36,855
Mitie,2011,50481430.2,1624
Mitie,2012,51323699.48,1324
Mitie,2013,38004813.9,721
Mitie,2014,16110619.69,417
Mitie,2015,33695175.6,308
Mitie,2016,33472180.85,239
Mitie,2017,63957841.62,122
Mitie,2018,21936915.37,60
Mitie,2019,4270536.79,200
Mitie,2020,81042086.4,158
Mitie,2021,426310819.79,535
Mitie,2022,250293256.84,575
Mitie,2023,268861266.07,769
Mitie,2024,300010605.48,1916
Mitie,2025,292759700.06,2856
Mitie,2026,94301386.58,489
SSCL (Sopra Steria JV),2013,6634193.52,7
SSCL (Sopra Steria JV),2014,47892959.11,73
SSCL (Sopra Steria JV),2015,58300052.39,92
SSCL (Sopra Steria JV),2016,63709763.08,113
SSCL (Sopra Steria JV),2017,34489479.04,79
SSCL (Sopra Steria JV),2018,36641886.4,91
SSCL (Sopra Steria JV),2019,27479440.14,84
SSCL (Sopra Steria JV),2020,39996893.07,102
SSCL (Sopra Steria JV),2021,54763506.23,104
SSCL (Sopra Steria JV),2022,42791532.0,83
SSCL (Sopra Steria JV),2023,49124666.0,117
SSCL (Sopra Steria JV),2024,62528423.0,168
SSCL (Sopra Steria JV),2025,51573422.7,171
SSCL (Sopra Steria JV),2026,27348223.47,105
Serco,,3638462.02,8
Serco,2010,356778143.38,1541
Serco,2011,400147456.11,3686
Serco,2012,293387996.1,6227
Serco,2013,282628454.09,10436
Serco,2014,253888860.09,10629
Serco,2015,209226609.83,8676
Serco,2016,208186593.69,6538
Serco,2017,103099544.7,2015
Serco,2018,87413052.12,1255
Serco,2019,77617104.34,1128
Serco,2020,426153470.98,923
Serco,2021,494157250.69,908
Serco,2022,151796824.43,892
Serco,2023,78472632.23,757
Serco,2024,81313414.44,721
Serco,2025,146748071.36,874
Serco,2026,67860290.16,420
Sodexo,,12655.78,6
Sodexo,2010,77319169.35,667
Sodexo,2011,112487122.41,1358
Sodexo,2012,119991645.77,1253
Sodexo,2013,105083601.89,1185
Sodexo,2014,139879622.71,1087
Sodexo,2015,126537765.82,1035
Sodexo,2016,105629902.35,598
Sodexo,2017,60302341.6,225
Sodexo,2018,47267308.51,152
Sodexo,2019,30483444.22,112
Sodexo,2020,135696084.69,182
Sodexo,2021,256368709.48,277
Sodexo,2022,37009316.83,219
Sodexo,2023,41281323.49,275
Sodexo,2024,60634198.97,138
Sodexo,2025,49906227.14,82
Sodexo,2026,23404008.19,40
Sopra Steria,,69331622.25,174
Sopra Steria,2010,82009037.37,361
Sopra Steria,2011,132405430.32,623
Sopra Steria,2012,142115624.83,771
Sopra Steria,2013,146122888.55,801
Sopra Steria,2014,192587245.52,702
Sopra Steria,2015,92091650.33,360
Sopra Steria,2016,68290160.27,270
Sopra Steria,2017,78808628.8,296
Sopra Steria,2018,38096181.29,146
Sopra Steria,2019,3411014.98,47
Sopra Steria,2020,6453283.73,32
Sopra Steria,2022,750.0,1
Sopra Steria,2024,44527.63,1
Sopra Steria,2025,102834.24,3
Sopra Steria,2026,33504.73,1
Suez,2010,6759714.45,26
Suez,2011,18563114.96,85
Suez,2012,24810.53,21
Suez,2013,62105.78,5
Suez,2016,7984.8,2
Suez,2017,1260.0,1
Suez,2019,75000.0,1
Suez,2021,389273.15,3
