ons_code,name,cls,loss_ph,change_pct,imd_avg_score,clean,league_excluded,handcheck
E06000001,Hartlepool UA,UA,441.57,-48.41,35.04,True,False,
E06000002,Middlesbrough UA,UA,484.19,-49.06,40.46,True,False,
E06000003,Redcar & Cleveland UA,UA,369.52,-47.99,29.79,True,False,
E06000004,Stockton-on-Tees UA,UA,285.52,-45.94,25.79,True,False,
E06000005,Darlington UA,UA,313.09,-48.07,25.66,True,False,
E06000006,Halton UA,UA,205.67,-23.94,32.32,False,False,rsg_zero_2024_check_rollin
E06000007,Warrington UA,UA,278.34,-60.82,18.94,True,False,
E06000008,Blackburn with Darwen UA,UA,403.1,-44.01,36.01,True,False,
E06000009,Blackpool UA,UA,431.01,-42.16,45.04,True,False,
E06000010,Kingston-upon-Hull UA,UA,397.08,-41.52,40.56,True,False,
E06000011,East Riding of Yorkshire UA,UA,188.28,-37.9,15.6,True,False,
E06000012,North East Lincolnshire UA,UA,338.19,-45.02,31.34,True,False,
E06000013,North Lincolnshire UA,UA,177.94,-29.81,22.1,True,False,
E06000014,York UA,UA,221.43,-56.12,11.73,True,False,
E06000015,Derby City UA,UA,240.86,-38.95,26.32,True,False,
E06000016,Leicester City UA,UA,433.53,-47.77,30.88,True,False,
E06000017,Rutland UA,UA,166.21,-46.59,8.38,True,False,
E06000018,Nottingham City UA,UA,428.27,-46.38,34.89,True,False,
E06000019,Herefordshire UA,UA,305.22,-62.54,18.89,True,False,
E06000020,Telford & the Wrekin UA,UA,332.92,-48.49,24.99,True,False,
E06000021,Stoke-on-Trent UA,UA,378.26,-44.09,34.5,True,False,
E06000022,Bath & North East Somerset UA,UA,182.48,-46.1,11.75,False,False,rsg_zero_2024_check_rollin
E06000023,Bristol UA,UA,320.61,-45.94,26.36,False,False,rsg_zero_2024_check_rollin
E06000024,North Somerset UA,UA,220.43,-47.96,15.83,True,False,
E06000025,South Gloucestershire UA,UA,200.06,-47.03,11.66,False,False,rsg_zero_2024_check_rollin
E06000026,Plymouth UA,UA,317.93,-47.17,26.62,True,False,
E06000027,Torbay UA,UA,365.09,-49.44,28.1,True,False,
E06000030,Swindon UA,UA,215.3,-47.11,18.62,True,False,
E06000031,Peterborough UA,UA,267.45,-41.02,27.82,True,False,
E06000032,Luton UA,UA,399.36,-57.54,25.91,True,False,
E06000033,Southend-on-Sea UA,UA,310.23,-50.83,22.37,True,False,
E06000034,Thurrock UA,UA,538.79,-92.0,20.93,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E06000035,Medway Towns UA,UA,230.6,-45.14,23.94,True,False,
E06000036,Bracknell Forest UA,UA,208.69,-47.48,10.24,True,False,
E06000037,West Berkshire UA,UA,-16.12,7.7,9.95,False,True,incomplete_financing_return
E06000038,Reading UA,UA,302.28,-52.8,19.62,True,False,
E06000039,Slough UA,UA,355.32,-56.26,22.97,True,False,
E06000040,Windsor & Maidenhead UA,UA,145.01,-55.85,8.38,True,False,
E06000041,Wokingham UA,UA,195.52,-74.26,5.85,False,False,cliff_after_2018_one_year_check
E06000042,Milton Keynes UA,UA,251.17,-45.52,17.98,True,False,
E06000043,Brighton & Hove UA,UA,274.49,-45.9,20.76,True,False,
E06000044,Portsmouth UA,UA,272.85,-40.48,26.9,True,False,
E06000045,Southampton UA,UA,354.08,-49.94,26.88,True,False,
E06000046,Isle of Wight UA,UA,384.04,-53.06,23.29,True,False,
E06000047,Durham UA,UA,335.11,-45.36,26.79,True,False,
E06000049,Cheshire East UA,UA,206.08,-58.45,14.48,True,False,
E06000050,Cheshire West and Chester UA,UA,401.73,-82.48,18.08,False,False,cliff_after_2018_one_year_check
E06000051,Shropshire UA,UA,333.87,-65.85,17.15,True,False,
E06000052,Cornwall UA,UA,203.34,-32.89,23.07,False,False,rsg_zero_2024_check_rollin
E06000054,Wiltshire UA,UA,256.1,-69.19,13.45,True,False,
E06000055,Bedford UA,UA,252.33,-42.54,18.93,True,False,
E06000056,Central Bedfordshire UA,UA,411.36,-99.74,12.15,False,True,cliff_after_2018_one_year_check;incomplete_financing_return
E06000057,Northumberland UA,UA,289.24,-43.77,22.08,True,False,
E07000008,Cambridge,SD,47.59,-36.67,14.85525914232045,True,False,
E07000009,East Cambridgeshire,SD,0.45,-0.53,11.506953897679505,True,False,
E07000010,Fenland,SD,56.08,-50.17,25.426080200475777,True,False,
E07000011,Huntingdonshire,SD,-1.12,1.72,12.550419673919285,True,False,
E07000012,South Cambridgeshire,SD,-18.11,24.24,8.495506485940655,True,False,
E07000032,Amber Valley,SD,12.98,-15.9,17.969648798595678,True,False,
