ons_code,name,cls,imd_avg_score,imd_rank_in_class,class_n,settlement_real_ph_2013-14,settlement_real_ph_2024-25,loss_ph,change_pct,clean,league_excluded,handcheck
E09000023,Lewisham,LB,26.66,7,32,995.61,306.84,688.77,-69.18,True,False,
E09000020,Kensington & Chelsea,LB,21.53,17,32,997.93,385.24,612.69,-61.4,True,False,
E09000030,Tower Hamlets,LB,27.91,5,32,1239.59,653.22,586.37,-47.3,True,False,
E09000007,Camden,LB,20.13,20,32,1153.01,618.51,534.5,-46.36,True,False,
E09000012,Hackney,LB,32.53,2,32,1305.84,793.46,512.38,-39.24,True,False,
E09000013,Hammersmith & Fulham,LB,22.27,16,32,1049.24,556.88,492.36,-46.93,True,False,
E09000011,Greenwich,LB,24.46,13,32,947.05,480.77,466.27,-49.23,True,False,
E09000028,Southwark,LB,25.81,8,32,1158.94,698.31,460.63,-39.75,True,False,
E09000022,Lambeth,LB,25.42,11,32,1058.96,599.02,459.94,-43.43,True,False,
E09000014,Haringey,LB,27.96,4,32,935.04,534.18,400.86,-42.87,True,False,
E09000005,Brent,LB,25.56,10,32,839.03,448.54,390.49,-46.54,True,False,
E09000031,Waltham Forest,LB,25.21,12,32,790.59,424.69,365.89,-46.28,True,False,
E09000019,Islington,LB,27.54,6,32,1059.02,706.29,352.72,-33.31,True,False,
E09000002,Barking & Dagenham,LB,32.77,1,32,771.19,427.46,343.73,-44.57,True,False,
E09000009,Ealing,LB,22.71,14,32,663.0,334.72,328.28,-49.51,True,False,
E09000010,Enfield,LB,25.78,9,32,697.33,372.72,324.61,-46.55,True,False,
E09000018,Hounslow,LB,21.49,18,32,558.65,234.4,324.25,-58.04,True,False,
E09000032,Wandsworth,LB,16.61,24,32,710.37,387.5,322.87,-45.45,True,False,
E09000015,Harrow,LB,15.03,27,32,489.39,169.84,319.54,-65.29,True,False,
E09000008,Croydon,LB,22.48,15,32,595.57,290.5,305.08,-51.22,True,False,
E09000026,Redbridge,LB,17.2,22,32,551.02,257.01,294.01,-53.36,True,False,
E09000029,Sutton,LB,13.99,30,32,558.3,269.99,288.31,-51.64,True,False,
E09000016,Havering,LB,16.79,23,32,425.1,168.49,256.62,-60.37,True,False,
E09000004,Bexley,LB,16.27,25,32,472.51,223.54,248.97,-52.69,True,False,
E09000017,Hillingdon,LB,18.22,21,32,494.59,254.73,239.86,-48.5,True,False,
E09000021,Kingston Upon Thames,LB,11.38,31,32,389.62,159.72,229.9,-59.01,True,False,
E09000027,Richmond upon Thames,LB,9.42,32,32,355.15,133.84,221.31,-62.31,True,False,
E09000025,Newham,LB,29.58,3,32,796.34,581.75,214.59,-26.95,True,False,
E09000024,Merton,LB,14.65,28,32,478.83,268.36,210.46,-43.95,True,False,
E09000006,Bromley,LB,14.16,29,32,367.7,162.22,205.48,-55.88,True,False,
E09000003,Barnet,LB,16.15,26,32,410.81,221.47,189.35,-46.09,True,False,
E09000033,Westminster,LB,20.34,19,32,876.35,856.69,19.66,-2.24,True,False,
E08000028,Sandwell,MD,34.88,5,36,983.09,323.0,660.09,-67.14,False,False,rsg_zero_2024_check_rollin
E08000023,South Tyneside,MD,31.51,13,36,1001.25,474.46,526.79,-52.61,True,False,
E08000022,North Tyneside,MD,22.28,33,36,722.83,219.91,502.92,-69.58,True,False,
E08000025,Birmingham,MD,38.07,4,36,982.05,523.98,458.08,-46.64,False,False,rsg_zero_2024_check_rollin
E08000011,Knowsley,MD,43.01,1,36,1299.75,844.1,455.65,-35.06,False,False,rsg_zero_2024_check_rollin
E08000031,Wolverhampton,MD,32.1,10,36,949.61,509.57,440.03,-46.34,False,False,rsg_zero_2024_check_rollin
E08000012,Liverpool,MD,42.41,2,36,1131.14,704.06,427.07,-37.76,False,False,rsg_zero_2024_check_rollin
E08000021,Newcastle,MD,29.79,19,36,884.61,459.95,424.66,-48.01,True,False,
E08000024,Sunderland,MD,30.59,16,36,933.68,535.9,397.78,-42.6,True,False,
E08000030,Walsall,MD,31.55,11,36,820.25,427.11,393.14,-47.93,False,False,rsg_zero_2024_check_rollin
E08000037,Gateshead,MD,28.22,22,36,802.42,417.92,384.5,-47.92,True,False,
E08000032,Bradford,MD,34.67,6,36,790.66,420.92,369.74,-46.76,True,False,
E08000026,Coventry,MD,25.61,29,36,727.45,360.4,367.05,-50.46,False,False,rsg_zero_2024_check_rollin
E08000004,Oldham,MD,33.15,9,36,853.99,532.73,321.26,-37.62,False,False,rsg_zero_2024_check_rollin
E08000016,Barnsley,MD,29.93,18,36,728.06,408.4,319.66,-43.91,True,False,
E08000017,Doncaster,MD,30.29,17,36,759.38,442.51,316.87,-41.73,True,False,
E08000027,Dudley,MD,24.1,31,36,655.0,340.01,314.98,-48.09,False,False,rsg_zero_2024_check_rollin
E08000035,Leeds,MD,27.3,24,36,630.17,324.29,305.88,-48.54,True,False,
E08000006,Salford,MD,34.21,8,36,915.67,615.41,300.26,-32.79,False,False,rsg_zero_2024_check_rollin
E08000033,Calderdale,MD,26.35,27,36,622.93,332.72,290.21,-46.59,True,False,
E08000036,Wakefield,MD,27.31,23,36,656.73,369.46,287.27,-43.74,True,False,
E08000015,Wirral,MD,29.59,20,36,768.87,484.58,284.29,-36.98,False,False,rsg_zero_2024_check_rollin
E08000002,Bury MBC,MD,23.68,32,36,600.66,327.55,273.11,-45.47,False,False,rsg_zero_2024_check_rollin
E08000003,Manchester,MD,40.0,3,36,1011.92,740.12,271.81,-26.86,False,False,rsg_zero_2024_check_rollin
E08000005,Rochdale,MD,34.42,7,36,869.94,604.85,265.09,-30.47,False,False,rsg_zero_2024_check_rollin
E08000019,Sheffield,MD,27.06,25,36,697.7,439.33,258.37,-37.03,True,False,
E08000013,St Helens MBC,MD,31.52,12,36,787.5,533.43,254.07,-32.26,False,False,rsg_zero_2024_check_rollin
E08000008,Tameside,MD,31.37,14,36,772.89,525.66,247.23,-31.99,False,False,rsg_zero_2024_check_rollin
E08000014,Sefton,MD,27.04,26,36,705.42,463.74,241.69,-34.26,False,False,rsg_zero_2024_check_rollin
E08000018,Rotherham,MD,29.55,21,36,636.07,413.04,223.02,-35.06,True,False,
E08000001,Bolton,MD,30.69,15,36,726.66,512.79,213.87,-29.43,False,False,rsg_zero_2024_check_rollin
E08000034,Kirklees,MD,25.15,30,36,494.96,294.71,200.25,-40.46,True,False,
E08000010,Wigan MBC,MD,25.71,28,36,662.43,463.05,199.38,-30.1,False,False,rsg_zero_2024_check_rollin
E08000007,Stockport MBC,MD,20.83,34,36,503.37,321.82,181.54,-36.07,False,False,rsg_zero_2024_check_rollin
