normalised_name,publishers_normalised,publishers_best_exact_string,exact_strings_merged,gbp
SOFTCAT,41,18,11,905098134.61
CIVICA UK,37,15,9,34885500.71
INSIGHT DIRECT UK,50,29,13,284081773.38
VODAFONE,31,12,6,323443750.48
TRUSTMARQUE SOLUTIONS,36,18,8,236540747.21
PHOENIX SOFTWARE,31,13,6,56920522.77
CANON UK,24,7,8,18344007.22
AECOM,23,6,6,79147908.74
QA,28,12,11,141548005.19
ORACLE CORPORATION UK,30,15,7,519974546.7
PROBRAND,27,12,6,19571750.1
JONES LANG LASALLE,25,10,10,88832644.49
ROYAL MAIL GROUP,23,8,6,728316363.35
SPECIALIST COMPUTER CENTRES,33,19,7,287726120.81
KNOWLEDGE ACADEMY,22,8,9,882069.69
COPYRIGHT LICENSING AGENCY,21,7,9,59647472.29
DELOITTE LLP,36,23,6,279499200.96
ERNST YOUNG LLP,34,21,7,380167845.66
SERCO,27,14,7,3448027282.41
OPEN UNIVERSITY,23,10,4,67277828.09
VODAFONE CORPORATE,23,10,9,32426848.12
NEWSPAPER LICENSING AGENCY,17,4,11,1551454.1
HM REVENUE CUSTOMS,34,22,6,2097288210.11
CAPITA BUSINESS SERVICES,32,20,8,2845862410.11
COMPUTACENTER UK,27,15,9,1179330121.78
CDW,24,12,7,337498166.73
NLA MEDIA ACCESS,22,10,5,4595571.73
HEWLETT PACKARD,20,8,10,86014570.07
IBM UNITED KINGDOM,20,8,7,1258112055.73
CIPFA BUSINESS,19,7,7,9851418.91
ESRI UK,16,4,12,14149188.55
SAVILLS UK,16,4,10,29959451.72
CABINET OFFICE,37,26,3,1740792582.86
XMA,33,22,9,209687970.8
EDF ENERGY,31,20,11,190905291.76
BYTES SOFTWARE SERVICES,31,20,6,552919758.06
EUROPEAN ELECTRONIQUE,23,12,5,22918193.4
FUJITSU SERVICES,22,11,4,4271479051.54
RICOH UK,22,11,7,17153027.08
CCS MEDIA,20,9,8,8873917.47
DX NETWORK SERVICES,17,6,7,123128746.79
HAYMARKET MEDIA GROUP,17,6,5,396520.09
GRANT THORNTON UK LLP,28,18,4,56344862.38
EXPERIAN,25,15,6,52772300.43
DELL CORPORATION,23,13,4,36948573.76
ENVIRONMENT AGENCY,23,13,4,50471606.9
BRITISH TELECOM,20,10,6,27914562.77
MICROSOFT,19,9,5,140942513.24
NPOWER,18,8,8,42233769.09
PORTAKABIN,18,8,4,30850760.14
UNIVERSITY OF MANCHESTER,18,8,6,88067127.71
GARTNER UK,17,7,6,16790963.7
SIEMENS,17,7,5,62610642.14
VIRGIN MEDIA BUSINESS,17,7,7,32663314.87
VIRGIN MEDIA,16,6,4,4756158.2
IRON MOUNTAIN UK,15,5,10,90988690.21
TURNER TOWNSEND PROJECT MANAGEMENT,15,5,8,49538787.44
ADT FIRE SECURITY,14,4,10,2776285.86
DUN BRADSTREET,14,4,8,4054845.18
OVE ARUP PARTNERS,13,3,9,23270511.17
NATIONAL AUDIT OFFICE,26,17,3,12975975.52
PA CONSULTING SERVICES,24,15,6,194275184.8
ATKINS,23,14,6,112879640.0
SOUTHERN ELECTRIC,19,10,7,13977451.34
CACI,18,9,4,7038333.66
HEALTH MANAGEMENT,16,7,5,30485763.8
IDOX SOFTWARE,16,7,6,7569108.74
REED SPECIALIST RECRUITMENT,16,7,6,12116415.46
SCOTTISH GOVERNMENT,16,7,4,489042566.07
TOTAL GAS POWER,16,7,8,151041005.0
BADENOCH CLARK,15,6,8,2888692.76
GATENBYSANDERSON,15,6,6,1177016.68
NEOPOST,15,6,6,22549941.37
PHS GROUP,15,6,10,10855657.37
HEALTH SAFETY EXECUTIVE,14,5,5,7354824.33
KELWAY UK,14,5,7,5155357.57
MINISTRY OF JUSTICE,26,18,3,561387549.49
MANCHESTER CITY COUNCIL,23,15,2,3446638995.17
PENNA,20,12,6,5880305.35
HAYS SPECIALIST RECRUITMENT,19,11,5,24536181.67
CABLE WIRELESS,18,10,8,44260369.26
GVA GRIMLEY,18,10,6,276523283.87
SURREY COUNTY COUNCIL,18,10,2,5173486318.86
UNIVERSITY OF BRISTOL,18,10,4,43644708.15
DEPARTMENT FOR WORK PENSIONS,16,8,4,519188416.91
ACCENTURE UK,15,7,6,1744326332.34
KAPLAN FINANCIAL,15,7,5,162571834.66
ROCHE DIAGNOSTICS,15,7,5,107155372.9
UNIVERSITY OF NOTTINGHAM,15,7,6,33427017.11
BOC,14,6,6,42330545.63
BPP PROFESSIONAL EDUCATION,14,6,8,93761017.15
BROOK STREET UK,14,6,7,13586460.89
FINANCIAL REPORTING COUNCIL,14,6,6,2888570.65
UNIVERSITY OF EDINBURGH,14,6,5,8715383.18
WILLIAMS LEA,14,6,5,107766597.94
BOXXE,13,5,6,94108806.31
BRAMBLE HUB,13,5,5,29045198.18
BROWNE JACOBSON LLP,13,5,3,5501547.13
IHS GLOBAL,13,5,9,2583962.81
LEARNING POOL,13,5,6,1068014.78
LLOYDS PHARMACY,13,5,6,159760985.75
SWETS INFORMATION SERVICES,13,5,5,3521210.86
TMP UK,13,5,8,4662973.11
VENN GROUP,13,5,6,2427067.43
ASSOCIATION OF ELECTORAL ADMINISTRATORS,12,4,4,334386.42
ENTERPRISE RENT A CAR,12,4,6,1281030.74
EVAC CHAIR INTERNATIONAL,12,4,10,49967.42
FRONTIER ECONOMICS,12,4,4,3268687.27
HP INC UK,12,4,6,9877532.67
KONICA MINOLTA BUSINESS SOLUTIONS UK,10,2,8,8444867.95
BRITISH GAS BUSINESS,24,17,2,13965492.35
HOME OFFICE,23,16,5,3619967132.31
CARE QUALITY COMMISSION,22,15,3,22113258.65
SOFTWARE BOX,22,15,8,132690116.8
BRITISH TELECOMMUNICATIONS,21,14,7,136004016.12
UNIVERSITY COLLEGE LONDON,21,14,2,46702598.88
STATIONERY OFFICE,20,13,7,22033185.17
UNIVERSITY OF WARWICK,19,12,5,69734432.43
LANCASHIRE COUNTY COUNCIL,17,10,3,7063272519.13
ATOS IT SERVICES UK,17,10,7,1568886713.88
NEWCASTLE CITY COUNCIL,17,10,2,1224512209.7
UNIVERSITY OF BIRMINGHAM,17,10,5,63063436.79
UNIVERSITY OF OXFORD,17,10,6,80476544.66
LOCAL GOVERNMENT ASSOCIATION,16,9,2,10569859.71
WILTSHIRE COUNCIL,16,9,3,1789528756.49
XEROX UK,16,9,8,130223395.19
BRIGHTON HOVE CITY COUNCIL,15,8,4,1989710748.71
DEPARTMENT OF ENERGY CLIMATE CHANGE,15,8,6,34644335.0
REDFERN TRAVEL,15,8,7,228814604.77
RS COMPONENTS,15,8,6,615768.94
REED BUSINESS INFORMATION,14,7,7,410672.36
DAISY COMMUNICATIONS,14,7,7,2540952.6
ILX GROUP,14,7,6,494468.56
MACE,14,7,6,179035814.08
MOORHOUSE CONSULTING,14,7,5,17969335.69
THAMES WATER UTILITIES,14,7,6,19336729.69
TRIBAL EDUCATION,14,7,6,50569830.27
WILLIS,14,7,5,14854366.83
CB RICHARD ELLIS,13,6,6,22065019.41
CIPD ENTERPRISES,13,6,5,1294171.78
CIVIL SERVICE COLLEGE,13,6,5,146526.7
G4S SECURE SOLUTIONS UK,13,6,7,602219169.63
SAP UK,13,6,6,98519808.32
SWEET MAXWELL,13,6,6,4133676.94
BAE SYSTEMS APPLIED INTELLIGENCE,12,5,5,197788878.71
BOTTOMLINE TECHNOLOGIES,12,5,6,9344899.32
DIGITAL ID,12,5,5,99532.34
HUB EVENTS,12,5,5,94569.8
PRESS ASSOCIATION,12,5,6,494499.49
QUADIENT UK,12,5,6,5217949.53
BROXAP,11,4,4,1526373.57
CSA WAVERLEY,11,4,6,7601194.35
DAVITT JONES BOULD,11,4,5,257393329.5
EDENRED UK GROUP,11,4,4,3759978.81
KINGSFIELD COMPUTER PRODUCTS,11,4,5,1056154.57
NEOPOST FINANCE,11,4,4,1515400.32
WOMBLE BOND DICKINSON UK LLP,11,4,5,66439210.51
DEPARTMENT OF HEALTH SOCIAL CARE,10,3,6,42507054.71
KILLGERM CHEMICALS,10,3,4,1398130.35
MORGAN HUNT UK,10,3,5,979542.88
PURE DATA SOLUTIONS,10,3,5,452062.19
ROYAL BANK OF SCOTLAND,10,3,7,592956386.8
ROYAL MAIL,26,20,2,112559009.42
BT,21,15,5,39157962.12
CAPITA RESOURCING,21,15,7,132817555.38
SENATOR INTERNATIONAL,19,13,6,47845714.95
MOTT MACDONALD,18,12,8,647520672.95
UNIVERSITY OF CAMBRIDGE,18,12,3,52136877.97
VALUATION OFFICE AGENCY,17,11,4,1346555445.06
BEVAN BRITTAN LLP,16,10,3,26992519.66
KENT COUNTY COUNCIL,16,10,3,7064401836.98
SIEMENS FINANCIAL SERVICES,16,10,5,3463723.26
CAPITA SYMONDS,15,9,6,20634168.49
PLYMOUTH CITY COUNCIL,15,9,3,1406596210.2
GUARDIAN NEWS MEDIA,14,8,6,1385958.49
KAINOS SOFTWARE,14,8,5,76906122.94
CALDER CONFERENCES,13,7,6,25191584.53
COLLEGE OF POLICING,13,7,5,3815718.18
GATENBY SANDERSON,13,7,5,2761846.7
LAW SOCIETY,13,7,4,437210.02
NCC GROUP SECURITY SERVICES,13,7,5,5140519.53
SOMERSET COUNTY COUNCIL,13,7,3,2126402400.58
STONE COMPUTERS,13,7,4,12965063.38
GOVERNMENT CAR DESPATCH AGENCY,12,6,3,3129450.65
ACADEMIA,11,5,5,1932667.45
BNP PARIBAS REAL ESTATE,11,5,4,3056613.51
BOOTS UK,11,5,3,18256731.93
DANWOOD GROUP,11,5,5,6424862.27
DEPARTMENT FOR CULTURE MEDIA SPORT,11,5,4,691272177.21
FIREBRAND TRAINING,11,5,5,17156086.37
GLASDON UK,11,5,6,269766.63
HARROW GREEN,11,5,5,1026599.27
HAYMARKET PUBLISHING SERVICES,11,5,5,131734.04
IPSOS MORI,11,5,4,32715967.74
NATIONAL AUTISTIC SOCIETY,11,5,4,7601090.54
RICARDO AEA,11,5,7,7494657.23
SODEXO,11,5,7,1115195482.97
ALEXANDER MANN SOLUTIONS,10,4,5,292869438.21
BAM CONSTRUCTION,10,4,4,317877410.64
BRITISH RED CROSS SOCIETY,10,4,4,28307556.97
