supplier_normalised,amount,publisher,months,payments,first_ym,last_ym,expense_types
SUPPLIER NAME WITHHELD,15000000.0,Department for International Development,7,9,2015-04,2016-12,"FCO shared service charges,Aid Programme - Core contributions,Aid Programme - Humanitarian Material Relief Assistance an"
SUPPLIER NAME WITHHELD,15000000.0,"Foreign, Commonwealth and Development Office (FCDO)",3,3,2020-09,2022-02,
SUPPLIER NAME WITHHELD,10000000.0,Department for International Development,14,20,2012-04,2019-07,"Aid Programme - Voluntary contributions,Aid Programme - Trust Funds contributions,Aid Programme - Core contributions"
SUPPLIER NAME WITHHELD,10000000.0,"Foreign, Commonwealth and Development Office (FCDO)",3,3,2020-11,2022-01,
WFP CONTRIBUTIONS UNIT,6000000.0,Department for International Development,4,6,2010-12,2018-05,"Aid to international organisations,Aid Programme - Humanitarian Material Relief Assistance and Services,Aid Programme - "
WFP CONTRIBUTIONS UNIT,6000000.0,"Foreign, Commonwealth and Development Office (FCDO)",3,3,2021-03,2021-12,
SUPPLIER NAME WITHHELD,5000000.0,Department for International Development,16,27,2013-07,2020-08,"Aid Programme - Voluntary contributions,Aid Programme - Core contributions,Aid Programme - Humanitarian Material Relief "
SUPPLIER NAME WITHHELD,5000000.0,"Foreign, Commonwealth and Development Office (FCDO)",5,5,2020-09,2022-03,
WFP CONTRIBUTIONS UNIT,5000000.0,Department for International Development,13,14,2012-03,2020-03,"Aid Programme - Emergency Food Aid,Aid Programme - Voluntary contributions,Aid Programme - Humanitarian Material Relief "
WFP CONTRIBUTIONS UNIT,5000000.0,"Foreign, Commonwealth and Development Office (FCDO)",5,6,2020-12,2022-05,Aid Programme - Humanitarian Material Relief Assistance and Services
IBRD HSBC T,4000000.0,Department for International Development,8,8,2010-05,2019-05,"Aid Programme - Trust Funds contributions,Aid to international organisations"
IBRD HSBC T,4000000.0,"Foreign, Commonwealth and Development Office (FCDO)",3,3,2020-09,2021-03,
INTERNATIONAL COMMITTEE OF THE RED CROSS ICRC,4000000.0,Department for International Development,7,9,2010-12,2019-10,"Aid Programme - Refugee Relief Payments,Aid Programme - Voluntary contributions,Emergency / Humanitarian Assistance,Aid "
INTERNATIONAL COMMITTEE OF THE RED CROSS ICRC,4000000.0,"Foreign, Commonwealth and Development Office (FCDO)",3,3,2021-03,2022-02,
WFP CONTRIBUTIONS UNIT,4000000.0,Department for International Development,9,11,2010-09,2019-09,"Aid Programme - Voluntary contributions,Aid Programme - Humanitarian Material Relief Assistance and Services,Emergency /"
