company,variant,publishers,txns,gbp
BT Group,BT GROUP PLC,3,964,1546210749.2
BT Group,BT GLOBAL SERVICES,11,5084,1266068096.49
BT Group,BRITISH TELECOMMUNICATIONS PUBLIC LIMITED COMPANY,1,667,227436315.87
BT Group,BT SYNTEGRA,1,295,170825066.55
BT Group,BRITISH TELECOMMUNICATIONS PLC,14,719,123019136.51
BT Group,BT GLOBAL SERVICES LTD,2,117,118806002.31
BT Group,BRITISH TELECOMMUNICATION PLC,1,4,43144850.0
BT Group,BT MEDIA BROADCAST ACCOUNTS,1,5,30387986.0
BT Group,BT,5,2382,26202659.1
BT Group,BRITISH TELECOM PLC,10,245,25495063.82
BT Group,BT GLOBAL SERVICE SOLUTIONS,1,188,23842257.44
BT Group,BT Syntegra,1,27,20744913.15
BT Group,BT Global Services,5,178,18754832.27
BT Group,BT Group PLC,1,21,13515575.63
BT Group,BT - DFTS,1,77,11354406.43
BT Group,BT MEDIA & BROADCAST ACCOUNTS,1,7,10385921.19
BT Group,BRITISH TELECOMMUNICATIONS LTD,1,85,8770442.16
BT Group,BT OPENREACH (SALFORD),1,165,8646703.78
BT Group,BT PLC,15,3040,8610183.31
BT Group,BT ENGAGE IT,3,455,3527652.64
BT Group,Bt Plc,3,33,3526871.48
BT Group,BT - PP3B,1,35,2984419.6
BT Group,BT GLOBAL SERVICES.,1,24,2968992.48
BT Group,BT TELECOMMUNICATIONS PLC,1,63,2578854.95
BT Group,British Telecommunications Plc,8,222,2559302.79
BT Group,BT REDCARE,1,228,1777013.46
BT Group,Bt Global Services Ltd,1,2,1509704.0
BT Group,BT GLOBAL SERVICES SOLUTIONS,2,22,1397255.93
BT Group,Openreach Bt PLC,1,73,1329583.41
BT Group,BT PAYPHONES,2,53,1156901.25
BT Group,BT Billing Enquiries,1,164,1148910.66
BT Group,British Telecommunications PLC,2,27,1009172.36
BT Group,BT IT Services Limited,1,12,843535.94
BT Group,BT Payment Services Ltd,2,30,835172.6
BT Group,British Telecom,5,20,825511.34
BT Group,BT Plc,1,42,762602.95
BT Group,BT Lynx (BT Engage IT),1,17,683660.35
BT Group,BT GROUP ENG'RING SERVICES,1,5,657184.61
BT Group,BT GROUPS ENGINEERING SERVICES,1,18,604162.77
BT Group,BT PLC - DFTS,1,14,577609.39
BT Group,BT PAYMENT SERVICES LIMITED,1,14,569586.77
BT Group,BRITISH TELECOM  PLC,1,101,565473.12
BT Group,BRITISH TELECOM,6,15,557760.14
BT Group,BT BUSINESS DIRECT,2,3,548529.84
BT Group,Bt Payment Services Ltd,2,15,501362.41
BT Group,British Telecom Plc (BT),1,97,472894.33
BT Group,BT RETAIL GLOBAL BILLING,1,9,466872.42
BT Group,BRITISH TELECOMMUNIC,1,7,422354.62
BT Group,BT BACS PAYMENTS,1,135,381242.97
BT Group,British Telecom PLC,1,68,331096.37
BT Group,BRITISH TELECOMMUNICATIONS,2,33,324452.95
BT Group,BT Telecomms plc (calls),1,3,264814.62
BT Group,BRITISH TELECOM PLC~105000844,1,6,244819.05
BT Group,Bt Global Services,1,6,233769.98
BT Group,BT GLOBAL SERVICES~105053928,1,1,228950.71
BT Group,British Telecommunications plc,3,11,217779.46
BT Group,BT PAYMENT SERVICES LTD,3,13,166633.15
BT Group,BT Redcare,5,48,147573.07
BT Group,British Telecom Plc,1,7,139657.98
BT Group,BT IT SERVICES LTD,1,3,120357.55
BT Group,BT Mobile,1,4,111858.84
BT Group,Bt Engage It,1,2,107939.08
BT Group,BT BUSINESS DIRECT LTD,6,51,106647.92
BT Group,British Telecommunications plc.,2,4,103729.89
BT Group,BT Lynx,1,2,93854.65
BT Group,British Telecommunications Plc (Bt),1,1,78000.0
BT Group,BT Engage IT,1,2,77575.18
BT Group,Bt Convergent Solutions Ltd,1,1,76130.23
BT Group,BT One Bill,1,7,65411.66
BT Group,BT plc,1,17,55645.28
BT Group,BT GROUP ENGINEERING SERVICES,1,1,49638.0
BT Group,BT IT Services,1,1,47455.81
BT Group,BT Business Direct Ltd,2,4,47363.5
BT Group,BRITISH TELECOMMUICATIONS PLC,1,1,43765.44
BT Group,BT CONFERENCING ACCOUNTS,1,1,40598.6
BT Group,BT PLC (OPENREACH BILLING TEAM CNS),1,10,40466.66
BT Group,BT CONFERENCING,4,6,35278.82
BT Group,BT PAYMENTS SERVICES LTD,1,1,33987.62
BT Group,BT Engage IT Limited,1,1,31156.5
BT Group,Bt Lynx (BT Engage IT),1,1,28440.34
BT Group,Bt Redcare,1,18,27250.01
BT Group,BT GLOBAL,1,13,26964.34
BT Group,BT Lines,1,2,19534.79
BT Group,BT Payment Services Limited,1,5,17180.76
BT Group,BT Onebillplus,1,7,13525.49
BT Group,BRITISH TELECOMMUNICATIONS plc (BT),1,108,12970.1
BT Group,BT Business Direct Limited,1,2,12456.49
BT Group,BRITISH TELECOME VP31400270Q07101,1,1,12420.52
BT Group,BT PAY PHONES PAYMENT SERVICES,1,2,12282.35
BT Group,BT Global Services Solutions,1,15,11389.65
BT Group,Bt Payphones,1,2,10760.39
BT Group,BT (Business Billing - Durham),1,9,10053.65
BT Group,BRITISH TELECOM - VP31400270Q07201,1,1,9606.19
BT Group,BRITISH TELECOM VP31400270Q07301,1,1,9605.7
BT Group,BRITISH TELECOM - VP31400270Q07401,1,1,9334.28
BT Group,BT GLOBAL SERVICES SOL (USE437544),1,1,8773.53
BT Group,Openreach BT,1,1,8203.5
BT Group,BT Telephone Line charges,1,1,8172.14
BT Group,BT REPAYMENT WORKS,1,3,4616.32
BT Group,BT SHOP,1,1,3898.69
BT Group,BT LYNX,1,1,3498.0
BT Group,THE PHONE BOOK FROM BT,1,2,3486.12
BT Group,BT PHONE BOOK,1,4,3209.22
BT Group,BT Payphones,1,1,2755.21
BT Group,BT COMPANY,1,1,2629.74
BT Group,BT BUSINESS DIRECT LTD (FORMERLY DABS.COM),1,1,1554.0
BT Group,BT REPAYMENT WORKS       NEWCASTLE UPO,1,1,1518.6
BT Group,BT CONTRACT RENTALS,1,39,1418.9
BT Group,BT Plc T/as BT Business Direct,1,1,1352.05
BT Group,BT BILL PAYMENT 1,2,2,1084.11
BT Group,BRITISH TELECOMMUNCATIONS,1,1,840.51
BT Group,B.T. BUSINESS DIRECT,2,2,828.8
BT Group,BT PLC BUSINESS MOTO B,1,1,532.94
BT Group,BT BILL PAYMENT 3,1,8,472.92
BT Group,BT BILL PAYMENT 2,2,5,210.48
BT Group,BT OPEN ZONE,2,2,19.98
Royal Mail,ROYAL MAIL GROUP PLC,8,217376,377485681.57
Royal Mail,ROYAL MAIL WHOLESALE,1,273,323710782.64
Royal Mail,Royal Mail Group Ltd,5,921,309907332.73
Royal Mail,ROYAL MAIL HOLDINGS PLC,1,223,156498518.14
Royal Mail,Royal Mail Wholesale,1,55,74568734.84
Royal Mail,ROYAL MAIL,20,1984,68380451.47
Royal Mail,Royal Mail,10,861,44178557.95
Royal Mail,ROYAL MAIL GROUP LIMITED,2,1286,24168215.29
Royal Mail,Royal Mail Group Ltd T/A Royal Mail,1,2,16065699.65
Royal Mail,ROYAL MAIL GROUP LTD,4,1026,15614709.6
Royal Mail,Royal Mail Group Plc,2,90,1007700.31
Royal Mail,ROYAL MAIL RETAIL,1,2,575005.55
Royal Mail,ROYAL MAIL NW,1,134,195924.32
Royal Mail,ROYAL MAIL GROUP,6,147,132723.85
Royal Mail,ROYAL MAIL~105047406,1,4,129371.57
Royal Mail,ROYAL MAIL LETTERS SECURITY RECOVERY (G),1,2,75027.43
Royal Mail,Royal Mail Group Property,1,1,33923.0
Royal Mail,Royal Mail (Property),1,11,28000.0
Royal Mail,Royal Mail (Billing),1,13,23207.47
Royal Mail,ROYAL MAIL ONLINE SHOP,2,7,10036.0
Royal Mail,ROYAL MAIL GROUP         BOLTON,1,10,9317.26
Royal Mail,WWW.ROYALMAIL.COM,3,23,7390.81
Royal Mail,WWW.ROYALMAIL.COM        INTERNET,2,5,2068.0
Royal Mail,ROYAL MAIL SHOP          LONDON,1,1,1272.95
Royal Mail,Royal Mail (Courier),1,2,1210.5
Royal Mail,Royal Mail Group Limited (Stamps - 42046626),1,1,955.0
Royal Mail,ROYAL MAIL FEES,1,1,700.0
Royal Mail,ROYAL MAIL S&C,1,1,315.0
Royal Mail,ROYAL MAIL  0845606040,2,2,13.83
Royal Mail,ROYAL MAIL PRE-PAY,1,1,6.75
Royal Mail,ROYAL MAIL  0845606040   INTERNET,1,1,1.11
EDF Energy,EDF ENERGY CUSTOMERS PLC,3,1162,928045596.51
EDF Energy,EDF ENERGY 1 LTD SCC UTILITIES ONLY,1,295,281798685.62
EDF Energy,EDF ENERGY,20,6701,126728778.35
EDF Energy,EDF ENERGY 1 LIMITED,3,1173,34900013.72
EDF Energy,EDF ENERGY LTD,5,330,16429842.03
EDF Energy,Edf Energy,4,312,12695104.75
EDF Energy,EDF Energy,8,197,11733029.38
EDF Energy,EDF ENERGY PLC,4,309,10382538.06
EDF Energy,EDF Energy Limited - DIRECT DEBIT ONLY,1,153,9158573.93
EDF Energy,Edf Energy 1 Limited,1,92,6911055.6
EDF Energy,(DIRECT DEBIT ONLY)  EDF Energy Limited,1,99,6464391.69
EDF Energy,EDF ENERGY 1 LTD,2,66,4331197.59
EDF Energy,EDF ENERGY LIMITED,1,56,4083198.37
EDF Energy,EDF Energy Plc,2,61,3909082.31
EDF Energy,EDF Energy Ltd,3,42,3900708.01
EDF Energy,EDF Energy Exeter,1,126,1927207.64
EDF Energy,EDF Energy 1 Limited,2,409,1217033.26
EDF Energy,EDF ENERGY1 LIMITED,1,14,1113411.22
EDF Energy,EDF Energy Customers plc,1,27,1072023.82
EDF Energy,EDF Energy Limited,1,11,983246.9
EDF Energy,Edf Energy R And D Uk Centre Ltd,1,8,945207.3
EDF Energy,EDF Energy R and D UK Centre Ltd,1,5,641330.53
EDF Energy,EDF Energy Customers Plc,1,7,601754.72
EDF Energy,EDF ENERGY DUST FIELD SERVICES,1,12,502071.04
EDF Energy,EDF Trading Ltd,1,2,325692.52
EDF Energy,Edf Energy Nuclear Generation Ltd,1,1,164498.07
EDF Energy,EDF TRADING LTD,4,4,120984.3
EDF Energy,EDF ENERGY 1 LTD.,1,6,115256.63
EDF Energy,EDF Trading Limited,1,1,97681.0
EDF Energy,Edf Energy Cust Field Services,1,2,94300.09
EDF Energy,EDF Energy Customer Field Services,1,1,88112.0
EDF Energy,EDF Energy Total,1,1,52188.57
EDF Energy,EDF energy,1,5,47135.92
EDF Energy,EDF ENERGY CONTRACTING LIMITED,1,1,41783.0
EDF Energy,EDF ENERGY(USE408795),1,3,35310.98
EDF Energy,EDF ENERGY 1-MAJ',2,15,34976.71
EDF Energy,"EDF Energy Networks, Major Project.",1,1,28875.62
EDF Energy,EDF Energy Customers PLC,2,4,23660.66
EDF Energy,EDF ENERGY NETWORK,1,5,13721.04
EDF Energy,*EDF ENERGY,1,1,12627.68
EDF Energy,EDF Energy Networks Ltd,3,4,10968.2
EDF Energy,EDF Energy 1 Ltd,1,10,8243.89
EDF Energy,EDF Energy Customer Ltd,1,7,5260.38
EDF Energy,EDF Energy Customers Ltd,1,4,5045.68
EDF Energy,EDF ENERGY CUSTOMER FIELD SERVICES,1,6,3772.8
EDF Energy,EDF ENERGY CUSTOMERS LTD,1,5,3416.57
EDF Energy,EDF LTD,1,1,2327.73
EDF Energy,EDF ENERGY NETWORKS LTD,1,2,1596.32
EDF Energy,EDF Energy Cust Field Services,1,2,1194.0
EDF Energy,Edf Energy-Cust F,1,1,797.0
EDF Energy,"EDF ENERGY CUST FIELD SERVICES
(annual)",1,1,597.0
EDF Energy,EDF ENERGY-IVR,1,3,305.12
British Gas / Centrica,BRITISH GAS TRADING LIMITED,3,1366,43689670.94
British Gas / Centrica,BRITISH GAS BUSINESS,17,2892,10532037.1
British Gas / Centrica,BRITISH GAS SERVICES LIMITED,1,47,4606129.35
British Gas / Centrica,BRITISH GAS BUSINESS SCC UTILITIES ONLY,1,61,4095473.72
British Gas / Centrica,British Gas Business,8,330,3433455.25
British Gas / Centrica,British Gas Social Housing Ltd t/a PH Jones,2,1627,1476153.58
British Gas / Centrica,BRITISH GAS,7,33,911808.47
British Gas / Centrica,CENTRICA BUSINESS SOLUTIONS UK LTD,1,11,251388.49
British Gas / Centrica,British Gas Trading Ltd,5,196,211866.47
British Gas / Centrica,CENTRICA PLC,1,1,120445.6
British Gas / Centrica,BRITISH GAS SERVICES (COMMERCIAL) LTD,1,2,109048.0
British Gas / Centrica,British Gas Business Services Ltd,1,2,85631.37
British Gas / Centrica,CENTRICA BUSINESS SOLUTIONS,1,5,75882.46
British Gas / Centrica,British Gas,1,27,71460.05
British Gas / Centrica,Centrica Overseas Holdings Ltd,1,1,68500.0
British Gas / Centrica,British Gas Service Commercial (Ltd),1,1,33558.37
British Gas / Centrica,Centrica Business Solutions (Generations) limited,1,12,32070.93
British Gas / Centrica,Centrica Business Solutions Uk Optimisation Ltd,1,1,26150.53
British Gas / Centrica,British Gas Trading Limited NHC,1,9,21400.14
British Gas / Centrica,BRITISH GAS(ELECTR,1,7,15172.8
